我们	wo3'men
他们	ta1'men
没有	mei2'you3
自己	zi4'ji3
中国	zhong1'guo2
可以	ke3'yi3
问题	wen4'ti2
工作	gong1'zuo4
这个	zhe4'ge
生活	sheng1'huo2
这样	zhe4'yang4
已经	yi3'jing
这些	zhe4'xie1
一些	yi1'xie1
起来	qi3'lai2
什么	shen2'me
现在	xian4'zai4
社会	she4'hui4
关系	guan1'xi4
第一	di4'yi1
因为	yin1'wei4
开始	kai1'shi3
许多	xu3'duo1
时间	shi2'jian1
人们	ren2'men
今天	jin1'tian1
国家	guo2'jia1
思想	si1'xiang3
一定	yi1'ding4
如果	ru2'guo3
同时	tong2'shi2
需要	xu1'yao4
重要	zhong4'yao4
为了	wei4'le
就是	jiu4'shi4
人民	ren2'min2
认为	ren4'wei2
成为	cheng2'wei2
北京	bei3'jing1
历史	li4'shi3
方面	fang1'mian4
情况	qing2'kuang4
而且	er2'qie3
学生	xue2'sheng1
这里	zhe4'li3
但是	dan4'shi4
孩子	hai2'zi3
可能	ke3'neng2
发生	fa1'sheng1
必须	bi4'xu1
只有	zhi3'you3
要求	yao1'qiu2
发现	fa1'xian4
进行	jin4'xing2
特别	te4'bie2
得到	de2'dao4
文化	wen2'hua4
同志	tong2'zhi4
发展	fa1'zhan3
日本	ri4'ben3
因此	yin1'ci3
对于	dui4'yu2
领导	ling3'dao3
时候	shi2'hou4
政府	zheng4'fu3
决定	jue2'ding4
还是	hai2'shi
应该	ying1'gai1
政治	zheng4'zhi4
公司	gong1'si1
干部	gan4'bu4
出现	chu1'xian4
一切	yi1'qie4
研究	yan2'jiu1
认识	ren4'shi
十分	shi2'fen1
之间	zhi1'jian1
希望	xi1'wang4
虽然	sui1'ran2
美国	mei3'guo2
知道	zhi1'dao4
大家	da4'jia1
学校	xue2'xiao4
组织	zu3'zhi1
由于	you2'yu2
正在	zheng4'zai4
表示	biao3'shi4
一样	yi1'yang4
活动	huo2'dong4
如何	ru2'he2
教育	jiao4'yu4
城市	cheng2'shi4
艺术	yi4'shu4
经济	jing1'ji4
以及	yi3'ji2
影响	ying3'xiang3
其中	qi2'zhong1
先生	xian1'sheng1
完全	wan2'quan2
主要	zhu3'yao4
继续	ji4'xu4
革命	ge2'ming4
之后	zhi1'hou4
参加	can1'jia1
能够	neng2'gou4
上海	shang4'hai3
经过	jing1'guo4
非常	fei1'chang2
甚至	shen4'zhi4
一直	yi1'zhi2
学习	xue2'xi2
所以	suo3'yi3
代表	dai4'biao3
最后	zui4'hou4
一起	yi1'qi3
所有	suo3'you3
那么	na4'me
办法	ban4'fa3
有些	you3'xie1
通过	tong1'guo4
解决	jie3'jue2
一般	yi1'ban1
或者	huo4'zhe3
时代	shi2'dai4
作品	zuo4'pin3
不断	bu4'duan4
以后	yi3'hou4
关于	guan1'yu2
青年	qing1'nian2
各种	ge4'zhong3
其他	qi2'ta1
农民	nong2'min2
那些	na4'xie1
有的	you3'de
根本	gen1'ben3
作者	zuo4'zhe3
感到	gan3'dao4
怎么	zen3'me
任何	ren4'he2
表现	biao3'xian4
存在	cun2'zai4
然而	ran2'er2
准备	zhun3'bei4
比较	bi3'jiao4
书记	shu1'ji4
单位	dan1'wei4
群众	qun2'zhong4
应当	ying1'dang1
个人	ge4'ren2
全国	quan2'guo2
意义	yi4'yi4
条件	tiao2'jian4
环境	huan2'jing4
了解	liao3'jie3
力量	li4'liang
不仅	bu4'jin3
目前	mu4'qian2
经验	jing1'yan4
产生	chan3'sheng1
真正	zhen1'zheng4
有关	you3'guan1
会议	hui4'yi4
生命	sheng1'ming4
今年	jin1'nian2
努力	nu3'li4
意见	yi4'jian4
民族	min2'zu2
只要	zhi3'yao4
文学	wen2'xue2
成功	cheng2'gong1
变化	bian4'hua4
你们	ni3'men
地区	di4'qu1
注意	zhu4'yi4
当然	dang1'ran2
家庭	jia1'ting2
原因	yuan2'yin1
进入	jin4'ru4
介绍	jie4'shao4
下来	xia4'lai2
事情	shi4'qing
方式	fang1'shi4
计划	ji4'hua4
人类	ren2'lei4
报告	bao4'gao4
