首长	shou3'zhang3
农资	nong2'zi1
搬迁	ban1'qian1
供求	gong1'qiu2
至关重要	zhi4'guan1'zhong4'yao4
辅导	fu3'dao3
老虎	lao3'hu3
演奏	yan3'zou4
贵阳	gui4'yang2
披露	pi1'lu4
贫穷	pin2'qiong2
吸取	xi1'qu3
屏幕	ping2'mu4
上空	shang4'kong1
不要紧	bu4'yao4'jin3
打断	da3'duan4
出动	chu1'dong4
显现	xian3'xian4
而后	er2'hou4
三角	san1'jiao3
假若	jia3'ruo4
旅行社	lv3'xing2'she4
覆盖率	fu4'gai4'lv4
索性	suo3'xing4
暗暗	an4'an4
紧迫	jin3'po4
签名	qian1'ming2
波动	bo1'dong4
觉悟	jue2'wu4
说服	shuo1'fu2
一点儿	yi1'dian3'er
自觉性	zi4'jue2'xing4
频频	pin2'pin2
无意	wu2'yi4
正月	zheng1'yue4
妨碍	fang2'ai4
聊天	liao2'tian1
不由得	bu4'you2'de
暗中	an4'zhong1
参谋	can1'mou2
从容	cong2'rong2
山坡	shan1'po1
司令员	si1'ling4'yuan2
田野	tian2'ye3
满堂	man3'tang2
点评	dian3'ping2
未曾	wei4'ceng2
艰辛	jian1'xin1
死刑	si3'xing2
豪华	hao2'hua2
分成	fen1'cheng2
疼痛	teng2'tong4
林场	lin2'chang3
曼谷	man4'gu3
城市化	cheng2'shi4'hua4
藏族	zang4'zu2
器官	qi4'guan1
头顶	tou2'ding3
人生观	ren2'sheng1'guan1
多半	duo1'ban4
电池	dian4'chi2
农作物	nong2'zuo4'wu4
烦恼	fan2'nao3
港澳	gang3'ao4
转型	zhuan3'xing2
批示	pi1'shi4
领取	ling3'qu3
温饱	wen1'bao3
民国	min2'guo2
设有	she4'you3
文化大革命	wen2'hua4'da4'ge2'ming4
指引	zhi3'yin3
缓和	huan3'he2
幼儿园	you4'er2'yuan2
伦理	lun2'li3
大道	da4'dao4
向往	xiang4'wang3
登山	deng1'shan1
流血	liu2'xue4
风向	feng1'xiang4
反馈	fan3'kui4
撰写	zhuan4'xie3
目录	mu4'lu4
每逢	mei3'feng2
教堂	jiao4'tang2
丈夫	zhang4'fu1
亚运会	ya4'yun4'hui4
不容	bu4'rong2
赛季	sai4'ji4
销售额	xiao1'shou4'e2
半岛	ban4'dao3
开阔	kai1'kuo4
粉碎	fen3'sui4
抱怨	bao4'yuan4
什么的	shen2'me'de
歧视	qi2'shi4
下达	xia4'da2
保安	bao3'an1
永恒	yong3'heng2
天文	tian1'wen2
公报	gong1'bao4
血肉	xue4'rou4
罕见	han3'jian4
建筑物	jian4'zhu4'wu4
医护	yi1'hu4
知识产权	zhi1'shi2'chan3'quan2
征集	zheng1'ji2
年产	nian2'chan3
激光	ji1'guang1
飞跃	fei1'yue4
羡慕	xian4'mu4
男性	nan2'xing4
亮点	liang4'dian3
不至于	bu4'zhi4'yu2
人道主义	ren2'dao4'zhu3'yi4
小时候	xiao3'shi2'hou4
小声	xiao3'sheng1
裤子	ku4'zi3
向来	xiang4'lai2
扭转	niu3'zhuan3
奴隶	nu2'li4
无情	wu2'qing2
郑重	zheng4'zhong4
忙碌	mang2'lu4
震动	zhen4'dong4
盗版	dao4'ban3
形式主义	xing2'shi4'zhu3'yi4
驻地	zhu4'di4
原材料	yuan2'cai2'liao4
意识形态	yi4'shi2'xing2'tai4
次日	ci4'ri4
提拔	ti2'ba2
不知不觉	bu4'zhi1'bu4'jue2
数据库	shu4'ju4'ku4
推翻	tui1'fan1
开车	kai1'che1
童年	tong2'nian2
生意	sheng1'yi4
颁奖	ban1'jiang3
亮相	liang4'xiang4
携手	xie2'shou3
结算	jie2'suan4
高山	gao1'shan1
先前	xian1'qian2
颤抖	chan4'dou3
仓库	cang1'ku4
大风	da4'feng1
迅猛	xun4'meng3
提取	ti2'qu3
年内	nian2'nei4
客运	ke4'yun4
上诉	shang4'su4
反革命	fan3'ge2'ming4
体力	ti3'li4
大部	da4'bu4
墙壁	qiang2'bi4
受过	shou4'guo4
尽力	jin4'li4
疑问	yi2'wen4
永不	yong3'bu4
基本法	ji1'ben3'fa3
代表性	dai4'biao3'xing4
学费	xue2'fei4
大妈	da4'ma1
四人帮	si4'ren2'bang1
祝福	zhu4'fu2
后期	hou4'qi1
往事	wang3'shi4
两旁	liang3'pang2
上山	shang4'shan1
公示	gong1'shi4
防守	fang2'shou3
贵族	gui4'zu2
暴雨	bao4'yu3
无形	wu2'xing2
中队	zhong1'dui4
指明	zhi3'ming2
正气	zheng4'qi4
武力	wu3'li4
交代;交待	jiao1'dai4
起初	qi3'chu1
海岸	hai3'an4
脆弱	cui4'ruo4
各种各样	ge4'zhong3'ge4'yang4
余额	yu2'e2
普法	pu3'fa3
德育	de2'yu4
佩服	pei4'fu2
出任	chu1'ren4
河边	he2'bian1
美化	mei3'hua4
刻苦	ke4'ku3
元旦	yuan2'dan4
变更	bian4'geng1
侧面	ce4'mian4
自然界	zi4'ran2'jie4
蛋白质	dan4'bai2'zhi4
筷子	kuai4'zi3
舍不得	she3'bu'de
价钱	jia4'qian
分量	fen4'liang4
女足	nv3'zu2
生成	sheng1'cheng2
咳嗽	ke2'sou
采集	cai3'ji2
日后	ri4'hou4
处境	chu3'jing4
特刊	te4'kan1
航班	hang2'ban1
家电	jia1'dian4
莫名其妙	mo4'ming2'qi2'miao4
漫画	man4'hua4
前期	qian2'qi1
克隆	ke4'long2
来回	lai2'hui2
子弟	zi3'di4
从实	cong2'shi2
峰会	feng1'hui4
评审	ping2'shen3
因地制宜	yin1'di4'zhi4'yi2
上演	shang4'yan3
事宜	shi4'yi2
春季	chun1'ji4
接轨	jie1'gui3
神色	shen2'se4
只管	zhi3'guan3
定义	ding4'yi4
兑现	dui4'xian4
调度	diao4'du4
问世	wen4'shi4
陶瓷	tao2'ci2
治沙	zhi4'sha1
挂牌	gua4'pai2
攻坚	gong1'jian1
全会	quan2'hui4
看好	kan4'hao3
生育	sheng1'yu4
暗示	an4'shi4
点燃	dian3'ran2
感人	gan3'ren2
总公司	zong3'gong1'si1
传销	chuan2'xiao1
负有	fu4'you3
踊跃	yong3'yue4
案子	an4'zi3
天真	tian1'zhen1
膨胀	peng2'zhang4
版次	ban3'ci4
劲儿	jin4'er2
上任	shang4'ren4
往年	wang3'nian2
边疆	bian1'jiang1
玩具	wan2'ju4
聚焦	ju4'jiao1
离退休	li2'tui4'xiu1
海口	hai3'kou3
事务所	shi4'wu4'suo3
管制	guan3'zhi4
心愿	xin1'yuan4
优点	you1'dian3
日夜	ri4'ye4
理智	li3'zhi4
雷阵雨	lei2'zhen4'yu3
预警	yu4'jing3
征文	zheng1'wen2
廉洁	lian2'jie2
不正之风	bu4'zheng4'zhi1'feng1
介入	jie4'ru4
电站	dian4'zhan4
根据地	gen1'ju4'di4
开除	kai1'chu2
起伏	qi3'fu2
个头儿	ge4'tou2'er
恰好	qia4'hao3
中毒	zhong4'du2
罪恶	zui4'e4
共建	gong4'jian4
打量	da3'liang
嘱咐	zhu3'fu4
反倒	fan3'dao4
不服	bu4'fu2
彩色	cai3'se4
有望	you3'wang4
赞助	zan4'zhu4
水位	shui3'wei4
以内	yi3'nei4
好奇	hao4'qi2
老家	lao3'jia1
主角	zhu3'jue2
禁毒	jin4'du2
宣讲	xuan1'jiang3
后边	hou4'bian1
识别	shi2'bie2
相连	xiang1'lian2
时而	shi2'er2
大棚	da4'peng2
工商局	gong1'shang1'ju2
半夜	ban4'ye4
传媒	chuan2'mei2
地铁	di4'tie3
