敝帚自珍	bi4'zhou3'zi4'zhen1
边锋	bian1'feng1
别体	bie2'ti3
别有天地	bie2'you3'tian1'di4
摈除	bin4'chu2
冰消瓦解	bing1'xiao1'wa3'jie3
病征	bing4'zheng1
拨叫	bo1'jiao4
波荡	bo1'dang4
不负重望	bu4'fu4'zhong4'wang4
布菜	bu4'cai4
猜枚	cai1'mei2
裁处	cai2'chu3
彩券	cai3'quan4
彩色片	cai3'se4'pian4
参检	can1'jian3
参量	can1'liang4
惨毒	can3'du2
惨境	can3'jing4
策问	ce4'wen4
差数	cha1'shu4
茶盏	cha2'zhan3
查号台	cha2'hao4'tai2
谗害	chan2'hai4
超逸	chao1'yi4
炒买炒卖	chao3'mai3'chao3'mai4
撤免	che4'mian3
趁空	chen4'kong1
成丁	cheng2'ding1
承修	cheng2'xiu1
秤星	cheng4'xing1
痴傻	chi1'sha3
侈靡	chi3'mi2
冲服	chong1'fu2
储积	chu3'ji1
吹冷风	chui1'leng3'feng1
醇和	chun2'he2
辍笔	chuo4'bi3
词法	ci2'fa3
促进派	cu4'jin4'pai4
醋坛子	cu4'tan2'zi3
汆子	cuan1'zi3
存底	cun2'di3
蹉跎岁月	cuo1'tuo2'sui4'yue4
错谬	cuo4'miu4
沓子	da2'zi
打光棍儿	da3'guang1'gun4'er
大概其	da4'gai4'qi2
大染缸	da4'ran3'gang1
代食品	dai4'shi2'pin3
带头羊	dai4'tou2'yang2
待产	dai4'chan3
单季稻	dan1'ji4'dao4
胆虚	dan3'xu1
蛋鸭	dan4'ya1
倒嚼	dao3'jiao4
倒座	dao4'zuo4
低糖	di1'tang2
滴水穿石	di1'shui3'chuan1'shi2
点穿	dian3'chuan1
点金术	dian3'jin1'shu4
电烤箱	dian4'kao3'xiang1
叠罗汉	die2'luo2'han4
定盘星	ding4'pan2'xing1
东床	dong1'chuang2
东鳞西爪	dong1'lin2'xi1'zhao3
冻豆腐	dong4'dou4'fu3
洞天福地	dong4'tian1'fu2'di4
豆腐皮	dou4'fu3'pi2
煅烧	duan4'shao1
敦睦	dun1'mu4
多面体	duo1'mian4'ti3
额骨	e2'gu3
耳顺	er3'shun4
二愣子	er4'leng4'zi3
发蜡	fa4'la4
发油	fa1'you2
翻牌	fan1'pai2
烦琐哲学	fan2'suo3'zhe2'xue2
犯浑	fan4'hun2
泛酸	fan4'suan1
防滑链	fang2'hua2'lian4
防化服	fang2'hua4'fu2
防涝	fang2'lao4
放榜	fang4'bang3
放私	fang4'si1
废品站	fei4'pin3'zhan4
分子式	fen1'zi3'shi4
风光片	feng1'guang1'pian4
风源	feng1'yuan2
封港	feng1'gang3
敷料	fu1'liao4
扶病	fu2'bing4
浮漂	fu2'piao1
福无双至	fu2'wu2'shuang1'zhi4
斧正	fu3'zheng4
腐旧	fu3'jiu4
付邮	fu4'you2
负屈	fu4'qu1
妇婴	fu4'ying1
附载	fu4'zai3
复本	fu4'ben3
复演	fu4'yan3
改产	gai3'chan3
干柴烈火	gan1'chai2'lie4'huo3
肝气	gan1'qi4
膏粱	gao1'liang2
功夫片	gong1'fu'pian4
箍儿	gu1'er2
瓜架	gua1'jia4
瓜子仁儿	gua1'zi3'ren2'er2
刮宫	gua1'gong1
冠词	guan1'ci2
灌溉渠	guan4'gai4'qu2
灌米汤	guan4'mi3'tang1
归总	gui1'zong3
锅饼	guo1'bing3
过甚其词	guo4'shen4'qi2'ci2
海米	hai3'mi3
合共	he2'gong4
盒式	he2'shi4
横眉怒目	heng2'mei2'nu4'mu4
横眉竖目	heng2'mei2'shu4'mu4
烘炉	hong1'lu2
喉炎	hou2'yan2
狐步舞	hu2'bu4'wu3
虎胆	hu3'dan3
护从	hu4'cong2
护膝	hu4'xi1
画页	hua4'ye4
话外音	hua4'wai4'yin1
怀鬼胎	huai2'gui3'tai1
幻灯机	huan4'deng1'ji1
换档	huan4'dang4
换约	huan4'yue1
黄熟	huang2'shu2
挥斥	hui1'chi4
会籍	hui4'ji2
豁嘴	huo1'zui3
活死人	huo2'si3'ren2
火蛇	huo3'she2
火焰喷射器	huo3'yan4'pen1'she4'qi4
火中取栗	huo3'zhong1'qu3'li4
货郎鼓	huo4'lang2'gu3
鸡胸	ji1'xiong1
激将	ji1'jiang4
级任	ji2'ren4
集邮册	ji2'you2'ce4
家鼠	jia1'shu3
架子工	jia4'zi3'gong1
建置	jian4'zhi4
剑舞	jian4'wu3
江洋大盗	jiang1'yang2'da4'dao4
交欢	jiao1'huan1
交迫	jiao1'po4
胶乳	jiao1'ru3
角铁	jiao3'tie3
搅浑	jiao3'hun2
接客	jie1'ke4
接生员	jie1'sheng1'yuan2
劫案	jie2'an4
疥癣	jie4'xuan3
金合欢	jin1'he2'huan1
金盏花	jin1'zhan3'hua1
缙绅	jin4'shen1
经年	jing1'nian2
经纬线	jing1'wei3'xian4
晶片	jing1'pian4
净水器	jing4'shui3'qi4
竞卖	jing4'mai4
敬挽	jing4'wan3
窘促	jiong3'cu4
酒色财气	jiu3'se4'cai2'qi4
酒糟鼻	jiu3'zao1'bi2
救荒	jiu4'huang1
举哀	ju3'ai1
举案齐眉	ju3'an4'qi2'mei2
聚讼纷纭	ju4'song4'fen1'yun2
绢画	juan4'hua4
绝色	jue2'se4
军婚	jun1'hun1
开洋荤	kai1'yang2'hun1
开仗	kai1'zhang4
刊本	kan1'ben3
炕梢	kang4'shao1
考妣	kao3'bi3
可望而不可即	ke3'wang4'er2'bu4'ke3'ji2
刻工	ke4'gong1
客舍	ke4'she3
课室	ke4'shi4
空耗	kong1'hao4
空言	kong1'yan2
口称	kou3'cheng1
酷肖	ku4'xiao4
夸饰	kua1'shi4
蓝筹股	lan2'chou2'gu3
揽胜	lan3'sheng4
老来俏	lao3'lai2'qiao4
络子	lao4'zi
落枕	lao4'zhen3
冷泉	leng3'quan2
哩哩啦啦	li1'li'la1'la1
力点	li4'dian3
连锅端	lian2'guo1'duan1
敛钱	lian3'qian2
练功房	lian4'gong1'fang2
亮分	liang4'fen1
亮牌	liang4'pai2
撩动	liao2'dong4
料器	liao4'qi4
猎猎	lie4'lie4
领巾	ling3'jin1
流气	liu2'qi4
流徙	liu2'xi3
六弦琴	liu4'xian2'qin2
龙须面	long2'xu1'mian4
陋规	lou4'gui1
漏检	lou4'jian3
录放	lu4'fang4
缕析	lv3'xi1
绿阴	lv4'yin1
乱码	luan4'ma3
骆驼草	luo4'tuo2'cao3
落槌	luo4'chui2
落地式	luo4'di4'shi4
