抱恨终天	bao4'hen4'zhong1'tian1
爆仗	bao4'zhang4
碑身	bei1'shen1
贝雕	bei4'diao1
本籍	ben3'ji2
崩落	beng1'luo4
迸流	beng4'liu2
痹症	bi4'zheng4
变例	bian4'li4
辨正	bian4'zheng4
别业	bie2'ye4
冰船	bing1'chuan2
冰肌玉骨	ning2'ji1'yu4'gu3
不才	bu4'cai2
不二价	bu4'er4'jia4
不名一文	bu4'ming2'yi1'wen2
才赋	cai2'fu4
财界	cai2'jie4
仓位	cang1'wei4
苍耳	cang1'er3
草体	cao3'ti3
侧根	ce4'gen1
茶碱	cha2'jian3
碴口	cha2'kou3
岔气	cha4'qi4
差派	cha1'pai4
长筒袜	chang2'tong3'wa4
常性	chang2'xing4
唱碟	chang4'die2
唱针	chang4'zhen1
车险	che1'xian3
扯腿	che3'tui3
陈货	chen2'huo4
蛏子	cheng1'zi3
呈阅	cheng2'yue4
承购	cheng2'gou4
吃准	chi1'zhun3
痴恋	chi1'lian4
抽换	chou1'huan4
愁怀	chou2'huai2
筹算	chou2'suan4
初潮	chu1'chao2
除垢	chu2'gou4
传代	chuan2'dai4
窗扉	chuang1'fei1
窗格子	chuang1'ge2'zi
闯江湖	chuang3'jiang1'hu2
春秋笔法	chun1'qiu1'bi3'fa3
纯钢	chun2'gang1
唇裂	chun2'lie4
刺啦	ci1'la1
刺刺不休	ci4'ci4'bu4'xiu1
苁蓉	cong1'rong2
粗厚	cu1'hou4
崔巍	cui1'wei1
催情	cui1'qing2
搓弄	cuo1'nong4
错动	cuo4'dong4
打不住	da3'bu4'zhu4
打秋风	da3'qiu1'feng1
大肚汉	da4'du4'han4
大撒把	da4'sa1'ba3
戴胜	dai4'sheng4
单摆	dan1'bai3
挡泥板	dang3'ni2'ban3
刀把子	dao1'ba4'zi3
刀豆	dao1'dou4
低质	di1'zhi4
堤堰	di1'yan4
地漏	di4'lou4
第二人称	di4'er4'ren2'cheng1
电褥子	dian4'ru4'zi3
电视柜	dian4'shi4'gui4
电椅	dian4'yi3
佃客	dian4'ke4
刁顽	diao1'wan2
凋萎	diao1'wei3
吊球	diao4'qiu2
叠韵	die2'yun4
顶门杠	ding3'men2'gang4
丢盔弃甲	diu1'kui1'qi4'jia3
豆酱	dou4'jiang4
笃厚	du3'hou4
赌本	du3'ben3
赌窝	du3'wo1
端量	duan1'liang
断种	duan4'zhong3
锻件	duan4'jian4
对口相声	dui4'kou3'xiang4'sheng
舵工	duo4'gong1
恶徒	e4'tu2
儿化	er2'hua4
鸸鹋	li2'miao2
耳饰	er3'shi4
发标	fa1'biao1
发嗲	fa1'dia3
发躁	fa1'zao4
翻斗	fan1'dou3
凡例	fan2'li4
反比例	fan3'bi3'li4
返迁	fan3'qian1
方向舵	fang1'xiang4'duo4
防沙林	fang2'sha1'lin2
仿宋体	fang3'song4'ti3
放大炮	fang4'da4'pao4
放情	fang4'qing2
沸反盈天	fei4'fan3'ying2'tian1
痱子粉	fei4'zi3'fen3
粉团	fen3'tuan2
风磨	feng1'mo4
风墙	feng1'qiang2
缝合线	feng2'he2'xian4
复市	fu4'shi4
复视	fu4'shi4
覆被	fu4'bei4
概言之	gai4'yan2'zhi1
干薪	gan1'xin1
赶活儿	gan3'huo2'er2
缸瓦	gang1'wa3
割治	ge1'zhi4
各尽其职	ge4'jin4'qi2'zhi2
攻其不备	gong1'qi2'bu4'bei4
汞柱	gong3'zhu4
骨膜	gu3'mo2
关饷	guan1'xiang3
轨枕	gui3'zhen3
聒耳	guo1'er3
哈哈镜	ha1'ha1'jing4
哈喇子	ha1'la2'zi
汉显	han4'xian3
夯歌	hang1'ge1
夯土	hang1'tu3
蚝油	hao2'you2
壕堑	hao2'qian4
好声好气	hao3'sheng1'hao3'qi4
合闸	he2'zha2
