把角	ba3'jiao3
把水搅浑	ba3'shui3'jiao3'hun2
白费蜡	bai2'fei4'la4
白木耳	bai2'mu4'er3
白浊	bai2'zhuo2
拜请	bai4'qing3
斑蝥	ban1'mao2
半休	ban4'xiu1
扮酷	ban4'ku4
扮装	ban4'zhuang1
胞姐	bao1'jie3
保胎	bao3'tai1
保险套	bao3'xian3'tao4
鸨儿	bao3'er2
刨床	bao4'chuang2
逼婚	bi1'hun1
笔算	bi3'suan4
鄙见	bi3'jian4
壁饰	bi4'shi4
便函	bian4'han2
便签	bian4'qian1
冰挂	bing1'gua4
冰室	bing1'shi4
冰硬	bing1'ying4
秉烛夜游	bing3'zhu2'ye4'you2
屏弃	bing3'qi4
剥取	bo1'qu3
泊地	bo2'di4
不哼不哈	bu4'heng1'bu4'ha1
不落窠臼	bu4'luo4'ke1'jiu4
不蔓不枝	bu4'man4'bu4'zhi1
不平则鸣	bu4'ping2'ze2'ming2
菜墩子	cai4'dun1'zi3
测震	ce4'zhen4
插翅难飞	cha1'chi4'nan2'fei1
茶晶	cha2'jing1
查岗	cha2'gang3
谗佞	chan2'ning4
超升	chao1'sheng1
车圈	che1'quan1
车种	che1'zhong3
扯闲篇	che3'xian2'pian1
陈账	chen2'zhang4
衬领	chen4'ling3
吃独食	chi1'du2'shi2
池鱼之殃	chi2'yu2'zhi1'yang1
持之有故	chi2'zhi1'you3'gu4
斥力	chi4'li4
抽考	chou1'kao3
抽壮丁	chou1'zhuang4'ding1
出乖露丑	chu1'guai1'lu4'chou3
出圃	chu1'pu3
穿心莲	chuan1'xin1'lian2
船籍	chuan2'ji2
疮口	chuang1'kou3
床帷	chuang2'wei2
闯练	chuang3'lian4
词谱	ci2'pu3
词性	ci2'xing4
词序	ci2'xu4
雌蜂	ci2'feng1
粗实	cu1'shi2
寸草不留	cun4'cao3'bu4'liu2
寸阴	cun4'yin1
打卡机	da3'ka3'ji1
打泡	da3'pao4
打头炮	da3'tou2'pao4
大陆性气候	da4'lu4'xing4'qi4'hou4
大排行	da4'pai2'hang2
大天白日	da4'tian1'bai2'ri4
待办	dai4'ban4
单帮	dan1'bang1
单被	dan1'bei4
单放机	dan1'fang4'ji1
单利	dan1'li4
担担面	dan1'dan1'mian4
导尿	dao3'niao4
祷文	dao3'wen2
倒赔	dao4'pei2
道不拾遗	dao4'bu4'shi2'yi2
