正途	zheng4'tu2
直贡呢	zhi2'gong4'ni2
值星	zhi2'xing1
趾骨	zhi3'gu3
治印	zhi4'yin4
重病号	zhong4'bing4'hao4
肘腋之患	zhou3'ye4'zhi1'huan4
朱鹮	zhu1'huan2
株型	zhu1'xing2
助推火箭	zhu4'tui1'huo3'jian4
蛀蚀	zhu4'shi2
转文	zhuai3'wen2
准话	zhun3'hua4
自我作古	zi4'wo3'zuo4'gu3
总章	zong3'zhang1
走风	zou3'feng1
走油	zou3'you2
左道旁门	zuo3'dao4'pang2'men2
作伐	zuo4'fa2
作俑	zuo4'yong3
坐地分赃	zuo4'di4'fen1'zang1
坐骨	zuo4'gu3
阿嚏	a1'ti4
碍口	ai4'kou3
暗哨	an4'shao4
暗线	an4'xian4
八拜之交	ba1'bai4'zhi1'jiao1
八音盒	ba1'yin1'he2
八字形	ba1'zi4'xing2
扒车	ba1'che1
拔罐子	ba2'guan4'zi3
白璧无瑕	bai2'bi4'wu2'xia2
白化病	bai2'hua4'bing4
稗官野史	bai4'guan1'ye3'shi3
斑秃	ban1'tu1
半瓶醋	ban4'ping2'cu4
帮规	bang1'gui1
傍依	bang4'yi1
宝刹	bao3'cha4
保种	bao3'zhong3
报呈	bao4'cheng2
暴戾恣睢	bao4'li4'zi4'sui1
背带裤	bei1'dai4'ku4
奔逐	ben1'zhu2
崩坍	beng1'tan1
笔友	bi3'you3
碧血丹心	bi4'xue4'dan1'xin1
壁钟	bi4'zhong1
编录	bian1'lu4
编内	bian1'nei4
便步	bian4'bu4
辩词	bian4'ci2
标准语	biao1'zhun3'yu3
表报	biao3'bao4
表解	biao3'jie3
别无长物	bie2'wu2'zhang3'wu4
冰镐	bing1'gao3
摒绝	bing4'jue2
驳论	bo2'lun4
驳运	bo2'yun4
薄技	bo2'ji4
补假	bu3'jia4
不成文法	bu4'cheng2'wen2'fa3
不孚众望	bu4'fu2'zhong4'wang4
采景	cai3'jing3
彩旦	cai3'dan4
彩管	cai3'guan3
彩像	cai3'xiang4
菜案	cai4'an4
餐位	can1'wei4
残次品	can2'ci4'pin3
蚕室	can2'shi4
藏奸	cang2'jian1
草写	cao3'xie3
侧视	ce4'shi4
插脚	cha1'jiao3
插屏	cha1'ping2
茶褐色	cha2'he4'se4
察勘	cha2'kan1
察验	cha2'yan4
产院	chan3'yuan4
羼杂	chan4'za2
长款	chang2'kuan3
倡办	chang4'ban4
唱双簧	chang4'shuang1'huang2
唱头	chang4'tou2
车条	che1'tiao2
车贴	che1'tie1
承望	cheng2'wang4
吃货	chi1'huo4
吃开口饭	chi1'kai1'kou3'fan4
赤忱	chi4'chen2
虫牙	chong2'ya2
重霄	chong2'xiao1
重映	chong2'ying4
抽肥补瘦	chou1'fei2'bu3'shou4
抽纱	chou1'sha1
酬唱	chou2'chang4
除服	chu2'fu2
储备金	chu3'bei4'jin1
揣手儿	chuai1'shou3'er
吹灯拔蜡	chui1'deng1'ba2'la4
炊饼	chui1'bing3
瓷土	ci2'tu3
从俭	cong2'jian3
醋精	cu4'jing1
窜逃	cuan4'tao2
催产	cui1'chan3
村貌	cun1'mao4
皴裂	cun1'lie4
打把式	da3'ba3'shi
打春	da3'chun1
打钩	da3'gou1
打寒战	da3'han2'zhan4
打斜	da3'xie2
打皱	da3'zhou4
打嘴仗	da3'zui3'zhang4
大公国	da4'gong1'guo2
单号	dan1'hao4
单鞋	dan1'xie2
党棍	dang3'gun4
荡除	dang4'chu2
滴溜圆	di1'liu1'yuan2
滴淌	di1'tang3
底样	di3'yang4
地线	di4'xian4
递降	di4'jiang4
典册	dian3'ce4
典押	dian3'ya1
点头之交	dian3'tou2'zhi1'jiao1
电水壶	dian4'shui3'hu2
电子玩具	dian4'zi3'wan2'ju4
垫补	dian4'bu
吊钩	diao4'gou1
吊子	diao4'zi3
掉点儿	diao4'dian3'er
丁克	ding1'ke4
顶角	ding3'jiao3
定刑	ding4'xing2
对心	dui4'xin1
鹅掌	e2'zhang3
遏阻	e4'zu3
恩断义绝	en1'duan4'yi4'jue2
耳音	er3'yin1
发横	fa1'heng4
法不责众	fa3'bu4'ze2'zhong4
