南下	nan2'xia4
行走	xing2'zou3
降价	jiang4'jia4
乘坐	cheng2'zuo4
源泉	yuan2'quan2
直线	zhi2'xian4
机电	ji1'dian4
抗洪	kang4'hong2
讽刺	feng3'ci4
本能	ben3'neng2
馆长	guan3'chang2
阿姨	a1'yi2
流露	liu2'lu4
支书	zhi1'shu1
颇为	po1'wei2
真心	zhen1'xin1
老爷子	lao3'ye2'zi3
增值	zeng1'zhi2
第一线	di4'yi1'xian4
辛勤	xin1'qin2
常用	chang2'yong4
茶叶	cha2'ye4
剧团	ju4'tuan2
柜台	gui4'tai2
惊喜	jing1'xi3
纪念馆	ji4'nian4'guan3
一番	yi1'fan1
兼并	jian1'bing4
勤奋	qin2'fen4
只顾	zhi3'gu4
卡车	ka3'che1
做饭	zuo4'fan4
出面	chu1'mian4
天堂	tian1'tang2
右派	you4'pai4
起源	qi3'yuan2
教会	jiao4'hui4
名词	ming2'ci2
想来	xiang3'lai2
公款	gong1'kuan3
尺度	chi3'du4
女生	nv3'sheng1
分化	fen1'hua4
导师	dao3'shi1
高压	gao1'ya1
用途	yong4'tu2
传奇	chuan2'qi2
沙滩	sha1'tan1
怕是	pa4'shi4
经纬	jing1'wei3
牧民	mu4'min2
再见	zai4'jian4
储量	chu3'liang4
坚信	jian1'xin4
孤立	gu1'li4
油画	you2'hua4
互访	hu4'fang3
纺织品	fang3'zhi1'pin3
双向	shuang1'xiang4
鬼子	gui3'zi3
当面	dang1'mian4
地形	di4'xing2
局限	ju2'xian4
难怪	nan2'guai4
标语	biao1'yu3
请问	qing3'wen4
不如	bu4'ru2
干吗	gan4'ma2
签约	qian1'yue1
惩治	cheng2'zhi4
拳头	quan2'tou2
冰雪	bing1'xue3
驻军	zhu4'jun1
心目中	xin1'mu4'zhong1
浓度	nong2'du4
团队	tuan2'dui4
网球	wang3'qiu2
连锁	lian2'suo3
三国	san1'guo2
推迟	tui1'chi2
最快	zui4'kuai4
田间	tian2'jian1
竭力	jie2'li4
后代	hou4'dai4
图像	tu2'xiang4
简报	jian3'bao4
女排	nv3'pai2
数字化	shu4'zi4'hua4
临近	lin2'jin4
剥夺	bo1'duo2
治病	zhi4'bing4
专程	zhuan1'cheng2
将领	jiang4'ling3
山村	shan1'cun1
再三	zai4'san1
革新	ge2'xin1
友人	you3'ren2
黑人	hei1'ren2
幸运	xing4'yun4
华夏	hua2'xia4
平方	ping2'fang1
衔接	xian2'jie1
肿瘤	zhong3'liu2
密集	mi4'ji2
规格	gui1'ge2
亲密	qin1'mi4
冷笑	leng3'xiao4
修正案	xiu1'zheng4'an4
脱贫致富	tuo1'pin2'zhi4'fu4
提名	ti2'ming2
器材	qi4'cai2
传真	chuan2'zhen1
公务	gong1'wu4
编者	bian1'zhe3
上千	shang4'qian1
社团	she4'tuan2
不解	bu4'jie3
输送	shu1'song4
徘徊	pai2'huai2
色情	se4'qing2
自然灾害	zi4'ran2'zai1'hai4
味儿	wei4'er2
自来水	zi4'lai2'shui3
发给	fa1'gei3
思潮	si1'chao2
繁华	fan2'hua2
团中央	tuan2'zhong1'yang1
