童话	tong2'hua4
转入	zhuan3'ru4
端正	duan1'zheng4
的当	di2'dang4
集训	ji2'xun4
设计师	she4'ji4'shi1
合影	he2'ying3
风筝	feng1'zheng1
明知	ming2'zhi1
送行	song4'xing2
意图	yi4'tu2
毛巾	mao2'jin1
体质	ti3'zhi4
晚年	wan3'nian2
筹资	chou2'zi1
南海	nan2'hai3
表率	biao3'shuai4
原子能	yuan2'zi3'neng2
误会	wu4'hui4
可行	ke3'xing2
乐趣	le4'qu4
外婆	wai4'po2
有毒	you3'du2
恰当	qia4'dang4
言行	yan2'xing2
入户	ru4'hu4
反之	fan3'zhi1
心疼	xin1'teng2
谅解	liang4'jie3
上边	shang4'bian
本色	ben3'se4
公然	gong1'ran2
种田	zhong4'tian2
路上	lu4'shang
反射	fan3'she4
防汛	fang2'xun4
象棋	xiang4'qi2
认知	ren4'zhi1
等到	deng3'dao4
就职	jiu4'zhi2
遗体	yi2'ti3
毁灭	hui3'mie4
减弱	jian3'ruo4
文凭	wen2'ping2
协同	xie2'tong2
相遇	xiang1'yu4
抽屉	chou1'ti4
裁定	cai2'ding4
惊醒	jing1'xing3
汇集	hui4'ji2
相识	xiang1'shi2
官僚	guan1'liao2
一早	yi1'zao3
订阅	ding4'yue4
哀悼	ai1'dao4
出让	chu1'rang4
孤儿	gu1'er2
猴子	hou2'zi3
山路	shan1'lu4
站长	zhan4'chang2
山顶	shan1'ding3
投标	tou2'biao1
下级	xia4'ji2
虚拟	xu1'ni3
运气	yun4'qi
转业	zhuan3'ye4
钻研	zuan1'yan2
红十字会	hong2'shi2'zi4'hui4
节假日	jie2'jia4'ri4
相见	xiang1'jian4
见识	jian4'shi
突击	tu1'ji1
上当	shang4'dang4
歪曲	wai1'qu1
出击	chu1'ji1
地段	di4'duan4
诗词	shi1'ci2
退化	tui4'hua4
侦察	zhen1'cha2
正经	zheng4'jing
社会保险	she4'hui4'bao3'xian3
宪章	xian4'zhang1
疑心	yi2'xin1
防疫	fang2'yi4
交际	jiao1'ji4
出土	chu1'tu3
新房	xin1'fang2
孕育	yun4'yu4
背影	bei4'ying3
驱动	qu1'dong4
笑脸	xiao4'lian3
促成	cu4'cheng2
钢材	gang1'cai2
好听	hao3'ting1
双赢	shuang1'ying2
理会	li3'hui4
不法	bu4'fa3
撤出	che4'chu1
敬业	jing4'ye4
忍耐	ren3'nai4
西欧	xi1'ou1
下边	xia4'bian1
地毯	di4'tan3
侵蚀	qin1'shi2
报销	bao4'xiao1
机动	ji1'dong4
吃亏	chi1'kui1
运河	yun4'he2
涵盖	han2'gai4
后备	hou4'bei4
眼皮	yan3'pi2
均匀	jun1'yun2
督办	du1'ban4
大衣	da4'yi1
但愿	dan4'yuan4
深知	shen1'zhi1
时髦	shi2'mao2
特权	te4'quan2
随手	sui2'shou3
姿势	zi1'shi4
两清	liang3'qing1
区政府	qu1'zheng4'fu3
党史	dang3'shi3
发光	fa1'guang1
阁下	ge2'xia4
才华	cai2'hua2
花生	hua1'sheng1
声誉	sheng1'yu4
唯有;惟有	wei2'you3
好坏	hao3'huai4
物力	wu4'li4
造反	zao4'fan3
界定	jie4'ding4
损伤	sun3'shang1
江河	jiang1'he2
赶忙	gan3'mang2
红火	hong2'huo
茫然	mang2'ran2
表扬	biao3'yang2
沿途	yan2'tu2
粒子	li4'zi3
裙子	qun2'zi3
闺女	gui1'nv
细则	xi4'ze2
定额	ding4'e2
媒介	mei2'jie4
完工	wan2'gong1
比喻	bi3'yu4
大字	da4'zi4
公式	gong1'shi4
卓有成效	zhuo2'you3'cheng2'xiao4
处方	chu3'fang1
共同体	gong4'tong2'ti3
技术员	ji4'shu4'yuan2
攀登	pan1'deng1
被捕	bei4'bu3
部下	bu4'xia4
零部件	ling2'bu4'jian4
体重	ti3'zhong4
沿岸	yan2'an4
醒目	xing3'mu4
自立	zi4'li4
总共	zong3'gong4
开水	kai1'shui3
木头	mu4'tou2
水量	shui3'liang4
文坛	wen2'tan2
佳节	jia1'jie2
连夜	lian2'ye4
亲近	qin1'jin4
时分	shi2'fen4
住处	zhu4'chu4
本土	ben3'tu3
路过	lu4'guo4
情趣	qing2'qu4
请教	qing3'jiao4
信封	xin4'feng1
注意力	zhu4'yi4'li4
开局	kai1'ju2
专机	zhuan1'ji1
快捷	kuai4'jie2
月球	yue4'qiu2
评比	ping2'bi3
前人	qian2'ren2
草坪	cao3'ping2
馒头	man2'tou2
堕落	duo4'luo4
天然林	tian1'ran2'lin2
滑雪	hua2'xue3
总收入	zong3'shou1'ru4
行之有效	xing2'zhi1'you3'xiao4
顺序	shun4'xu4
钟头	zhong1'tou2
惊异	jing1'yi4
图画	tu2'hua4
行程	xing2'cheng2
杂交	za2'jiao1
利用率	li4'yong4'lv4
娘家	niang2'jia
素养	su4'yang3
指头	zhi3'tou2
出入境	chu1'ru4'jing4
餐饮	can1'yin3
撤军	che4'jun1
换届	huan4'jie4
地貌	di4'mao4
干啥	gan1'sha2
方方面面	fang1'fang1'mian4'mian4
残留	can2'liu2
供销社	gong4'xiao1'she4
进驻	jin4'zhu4
容纳	rong2'na4
作案	zuo4'an4
混凝土	hun4'ning2'tu3
降落	jiang4'luo4
王朝	wang2'chao2
本就	ben3'jiu4
温和	wen1'he2
审定	shen3'ding4
题词	ti2'ci2
驾驶员	jia4'shi3'yuan2
反感	fan3'gan3
空虚	kong1'xu1
礼貌	li3'mao4
能手	neng2'shou3
冶金	ye3'jin1
医治	yi1'zhi4
遍布	bian4'bu4
树叶	shu4'ye4
鲜艳	xian1'yan4
字样	zi4'yang4
定价	ding4'jia4
变相	bian4'xiang4
打发	da3'fa
法西斯	fa3'xi1'si1
