商定	shang1'ding4
财物	cai2'wu4
大腿	da4'tui3
归宿	gui1'su4
黑白	hei1'bai2
人头	ren2'tou2
圈子	quan1'zi
人流	ren2'liu2
综述	zong1'shu4
使劲儿	shi3'jin4'er2
伊斯兰堡	yi1'si1'lan2'bao3
蒸发	zheng1'fa1
大炮	da4'pao4
兼任	jian1'ren4
旧社会	jiu4'she4'hui4
落成	luo4'cheng2
大熊猫	da4'xiong2'mao1
交纳	jiao1'na4
露天	lu4'tian1
轮廓	lun2'kuo4
上旬	shang4'xun2
与否	yu3'fou3
大方	da4'fang
反动派	fan3'dong4'pai4
归还	gui1'huan2
好笑	hao3'xiao4
骗取	pian4'qu3
收受	shou1'shou4
铲除	chan3'chu2
大红	da4'hong2
国务	guo2'wu4
疗效	liao2'xiao4
胜负	sheng4'fu4
扫描	sao3'miao2
打牌	da3'pai2
凤凰	feng4'huang2
心境	xin1'jing4
支行	zhi1'xing2
长治久安	chang2'zhi4'jiu3'an1
到手	dao4'shou3
火光	huo3'guang1
书本	shu1'ben3
大纲	da4'gang1
高雅	gao1'ya3
关头	guan1'tou2
舰队	jian4'dui4
瓦斯	wa3'si1
异议	yi4'yi4
大肆	da4'si4
卫生院	wei4'sheng1'yuan4
化合物	hua4'he2'wu4
昆虫	kun1'chong2
参数	can1'shu4
警务	jing3'wu4
产出	chan3'chu1
光亮	guang1'liang4
奇异	qi2'yi4
宣读	xuan1'du2
杂技	za2'ji4
迟迟	chi2'chi2
复杂性	fu4'za2'xing4
前行	qian2'xing2
上将	shang4'jiang4
身亡	shen1'wang2
边远	bian1'yuan3
打响	da3'xiang3
开启	kai1'qi3
蜡烛	la4'zhu2
姨太太	yi2'tai4'tai4
苍蝇	cang1'ying2
跳跃	tiao4'yue4
兔子	tu4'zi
一通	yi1'tong4
一阵子	yi1'zhen4'zi3
口吻	kou3'wen3
碰见	peng4'jian4
热泪	re4'lei4
使者	shi3'zhe3
特使	te4'shi3
急救	ji2'jiu4
就任	jiu4'ren4
山谷	shan1'gu3
政局	zheng4'ju2
电压	dian4'ya1
平行	ping2'xing2
工农业	gong1'nong2'ye4
提及	ti2'ji2
峡谷	xia2'gu3
冤枉	yuan1'wang3
地表	di4'biao3
辣椒	la4'jiao1
谈心	tan2'xin1
意境	yi4'jing4
亟待	ji2'dai4
源远流长	yuan2'yuan3'liu2'chang2
