发泄	fa1'xie4
宫廷	gong1'ting2
情不自禁	qing2'bu4'zi4'jin1
要点	yao4'dian3
一并	yi1'bing4
照亮	zhao4'liang4
初衷	chu1'zhong1
弹药	dan4'yao4
气概	qi4'gai4
无序	wu2'xu4
小雪	xiao3'xue3
致命	zhi4'ming4
编导	bian1'dao3
单方面	dan1'fang1'mian4
电子邮件	dian4'zi3'you2'jian4
堆积	dui1'ji1
含笑	han2'xiao4
嫉妒	ji2'du4
经纪人	jing1'ji4'ren2
就读	jiu4'du2
培植	pei2'zhi2
涉案	she4'an4
首领	shou3'ling3
探望	tan4'wang4
活性	huo2'xing4
客体	ke4'ti3
沉痛	chen2'tong4
成天	cheng2'tian1
后世	hou4'shi4
晋升	jin4'sheng1
精通	jing1'tong1
美感	mei3'gan3
奶粉	nai3'fen3
文化馆	wen2'hua4'guan3
放手	fang4'shou3
孵化	fu1'hua4
施政	shi1'zheng4
鲜红	xian1'hong2
琢磨	zhuo2'mo
天文台	tian1'wen2'tai2
国策	guo2'ce4
偏差	pian1'cha1
日月	ri4'yue4
邀请赛	yao1'qing3'sai4
云集	yun2'ji2
行车	xing2'che1
责成	ze2'cheng2
畅销	chang4'xiao1
风浪	feng1'lang4
江水	jiang1'shui3
实习	shi2'xi2
未卜	wei4'bu3
兴致勃勃	xing4'zhi4'bo2'bo2
肮脏	ang1'zang1
工作日	gong1'zuo4'ri4
古迹	gu3'ji4
克制	ke4'zhi4
清单	qing1'dan1
山沟	shan1'gou1
西边	xi1'bian1
小儿	xiao3'er2
一条龙	yi1'tiao2'long2
正中	zheng4'zhong1
庄稼人	zhuang1'jia4'ren2
创伤	chuang1'shang1
及早	ji2'zao3
经销	jing1'xiao1
牧场	mu4'chang3
同级	tong2'ji2
外债	wai4'zhai4
柴油	chai2'you2
负债	fu4'zhai4
老远	lao3'yuan3
力图	li4'tu2
漆黑	qi1'hei1
身体力行	shen1'ti3'li4'xing2
产地	chan3'di4
长叹	chang2'tan4
窗帘	chuang1'lian2
激励机制	ji1'li4'ji1'zhi4
联名	lian2'ming2
史诗	shi3'shi1
板块	ban3'kuai4
编辑部	bian1'ji2'bu4
尘土	chen2'tu3
发誓	fa1'shi4
聆听	ling2'ting1
屡屡	lv3'lv3
通电	tong1'dian4
铜牌	tong2'pai2
畜禽	chu4'qin2
废墟	fei4'xu1
抚养	fu3'yang3
轨迹	gui3'ji4
红包	hong2'bao1
时段	shi2'duan4
想象力	xiang3'xiang4'li4
饮酒	yin3'jiu3
果真	guo3'zhen1
开战	kai1'zhan4
夸大	kua1'da4
实绩	shi2'ji4
坦白	tan3'bai2
一心一意	yi1'xin1'yi1'yi4
支流	zhi1'liu2
老爹	lao3'die1
水产品	shui3'chan3'pin3
糟糕	zao1'gao1
报废	bao4'fei4
搏斗	bo2'dou4
功勋	gong1'xun1
患病	huan4'bing4
俨然	yan3'ran2
诱人	you4'ren2
不复	bu4'fu4
个子	ge4'zi
互为	hu4'wei2
话音	hua4'yin1
手帕	shou3'pa4
坦率	tan3'shuai4
天主教	tian1'zhu3'jiao4
卫生间	wei4'sheng1'jian1
自主权	zi4'zhu3'quan2
合唱	he2'chang4
及至	ji2'zhi4
疗法	liao2'fa3
人造	ren2'zao4
想念	xiang3'nian4
东欧	dong1'ou1
汇聚	hui4'ju4
精湛	jing1'zhan4
默然	mo4'ran2
实情	shi2'qing2
市场体系	shi4'chang3'ti3'xi4
照射	zhao4'she4
争相	zheng1'xiang1
暗地	an4'di4
丑闻	chou3'wen2
顾不得	gu4'bu4'de2
火烧	huo3'shao1
全运会	quan2'yun4'hui4
步兵	bu4'bing1
出声	chu1'sheng1
楷模	kai3'mo2
空间站	kong1'jian1'zhan4
炉子	lu2'zi3
说服力	shuo1'fu2'li4
中资	zhong1'zi1
终点	zhong1'dian3
撞击	zhuang4'ji1
总指挥	zong3'zhi3'hui1
昂扬	ang2'yang2
麻子	ma2'zi
免不了	mian3'bu'liao3
宁愿	ning4'yuan4
天性	tian1'xing4
通告	tong1'gao4
无权	wu2'quan2
杂志社	za2'zhi4'she4
败坏	bai4'huai4
成年	cheng2'nian2
倒退	dao4'tui4
怜悯	lian2'min3
锣鼓	luo2'gu3
个体户	ge4'ti3'hu4
机票	ji1'piao4
芦苇	lu2'wei3
哪能	na3'neng2
特殊性	te4'shu1'xing4
超前	chao1'qian2
出线	chu1'xian4
赶赴	gan3'fu4
巨人	ju4'ren2
录音	lu4'yin1
面容	mian4'rong2
煽动	shan1'dong4
作曲家	zuo4'qu3'jia1
大将	da4'jiang4
浮躁	fu2'zao4
积压	ji1'ya1
听从	ting1'cong2
许诺	xu3'nuo4
摇晃	yao2'huang4
移送	yi2'song4
冰冷	bing1'leng3
察觉	cha2'jue2
纪录片	ji4'lu4'pian4
喀布尔	ka1'bu4'er3
人才市场	ren2'cai2'shi4'chang3
采矿	cai3'kuang4
帝王	di4'wang2
深山	shen1'shan1
惋惜	wan3'xi1
营运	ying2'yun4
优待	you1'dai4
淡薄	dan4'bo2
点缀	dian3'zhui4
桂花	gui4'hua1
急促	ji2'cu4
紧缩	jin3'suo1
凝结	ning2'jie2
破裂	po4'lie4
入股	ru4'gu3
身躯	shen1'qu1
洗衣机	xi3'yi1'ji1
远近	yuan3'jin4
殖民地	zhi2'min2'di4
车轮	che1'lun2
脚踏实地	jiao3'ta4'shi2'di4
隶属	li4'shu3
人世	ren2'shi4
任教	ren4'jiao4
辩证法	bian4'zheng4'fa3
吵架	chao3'jia4
举手	ju3'shou3
聘用	pin4'yong4
忍心	ren3'xin1
说了算	shuo1'le'suan4
外围	wai4'wei2
想必	xiang3'bi4
坟墓	fen2'mu4
赖以	lai4'yi3
连任	lian2'ren4
扫除	sao3'chu2
头疼	tou2'teng2
杂文	za2'wen2
战机	zhan4'ji1
终日	zhong1'ri4
悲壮	bei1'zhuang4
别说	bie2'shuo1
名言	ming2'yan2
拟定	ni3'ding4
四肢	si4'zhi1
微型	wei1'xing2
香味	xiang1'wei4
胸膛	xiong1'tang2
征程	zheng1'cheng2
志愿军	zhi4'yuan4'jun1
酿成	niang4'cheng2
炮弹	pao4'dan4
思绪	si1'xu4
帮教	bang1'jiao4
沉积	chen2'ji1
丰满	feng1'man3
高官	gao1'guan1
毁坏	hui3'huai4
降雨	jiang4'yu3
兽医	shou4'yi1
肆虐	si4'nve4
译本	yi4'ben3
真实性	zhen1'shi2'xing4
正要	zheng4'yao4
政变	zheng4'bian4
车门	che1'men2
风声	feng1'sheng1
航道	hang2'dao4
快车	kuai4'che1
面色	mian4'se4
名副其实	ming2'fu4'qi2'shi2
谦虚	qian1'xu1
受骗	shou4'pian4
治愈	zhi4'yu4
传记	zhuan4'ji4
自有	zi4'you3
变质	bian4'zhi4
残忍	can2'ren3
长处	chang2'chu
底蕴	di3'yun4
受害	shou4'hai4
通航	tong1'hang2
不约而同	bu4'yue1'er2'tong2
村落	cun1'luo4
返乡	fan3'xiang1
后顾之忧	hou4'gu4'zhi1'you1
纪念日	ji4'nian4'ri4
假使	jia3'shi3
苗木	miao2'mu4
张扬	zhang1'yang2
法令	fa3'ling4
横向	heng2'xiang4
男单	nan2'dan1
疯子	feng1'zi3
开国	kai1'guo2
匮乏	kui4'fa2
留守	liu2'shou3
诊所	zhen3'suo3
额度	e2'du4
家禽	jia1'qin2
调配	tiao2'pei4
驻外	zhu4'wai4
筹划	chou2'hua4
辍学	chuo4'xue2
规程	gui1'cheng2
