引渡	yin3'du4
中标	zhong4'biao1
专注	zhuan1'zhu4
不合	bu4'he2
打官司	da3'guan1'si
国事	guo2'shi4
海区	hai3'qu1
惊恐	jing1'kong3
军舰	jun1'jian4
络绎不绝	luo4'yi4'bu4'jue2
铜钱	tong2'qian2
新居	xin1'ju1
战乱	zhan4'luan4
阵线	zhen4'xian4
指甲	zhi3'jia3
儿媳	er2'xi2
感知	gan3'zhi1
见效	jian4'xiao4
留言	liu2'yan2
入睡	ru4'shui4
授课	shou4'ke4
田园	tian2'yuan2
弯曲	wan1'qu1
校门	xiao4'men2
叶片	ye4'pian4
忧伤	you1'shang1
政企	zheng4'qi3
坐标	zuo4'biao1
短信	duan3'xin4
沐浴	mu4'yu4
树干	shu4'gan4
细微	xi4'wei1
报送	bao4'song4
不景气	bu4'jing3'qi4
荡漾	dang4'yang4
继往开来	ji4'wang3'kai1'lai2
讲演	jiang3'yan3
失落	shi1'luo4
演示	yan3'shi4
愈加	yu4'jia1
远程教育	yuan3'cheng2'jiao4'yu4
高祖	gao1'zu3
剪纸	jian3'zhi3
解放区	jie3'fang4'qu1
戒毒	jie4'du2
开垦	kai1'ken3
冷暖	leng3'nuan3
例行	li4'xing2
磨难	mo2'nan4
不意	bu4'yi4
查封	cha2'feng1
出海	chu1'hai3
低迷	di1'mi2
简要	jian3'yao4
裸露	luo3'lu4
皮包	pi2'bao1
商讨	shang1'tao3
头等	tou2'deng3
相称	xiang1'chen4
野兽	ye3'shou4
种群	zhong3'qun2
北京时间	bei3'jing1'shi2'jian1
便宜	pian2'yi2
长河	chang2'he2
留意	liu2'yi4
票据	piao4'ju4
全集	quan2'ji2
月初	yue4'chu1
展品	zhan3'pin3
张贴	zhang1'tie1
至上	zhi4'shang4
编号	bian1'hao4
技工	ji4'gong1
简洁	jian3'jie2
厉声	li4'sheng1
联结	lian2'jie2
灭绝	mie4'jue2
品味	pin3'wei4
不可或缺	bu4'ke3'huo4'que1
广度	guang3'du4
经济作物	jing1'ji4'zuo4'wu4
女兵	nv3'bing1
日光	ri4'guang1
天鹅	tian1'e2
外在	wai4'zai4
野心	ye3'xin1
远东	yuan3'dong1
道士	dao4'shi4
雕像	diao1'xiang4
机密	ji1'mi4
开场	kai1'chang3
浓缩	nong2'suo1
少不了	shao3'bu'liao3
压制	ya1'zhi4
增效	zeng1'xiao4
挣脱	zheng4'tuo1
沉闷	chen2'men4
迟早	chi2'zao3
关口	guan1'kou3
羁押	ji1'ya1
傻瓜	sha3'gua1
实有	shi2'you3
悬念	xuan2'nian4
加班	jia1'ban1
结识	jie2'shi2
盘旋	pan2'xuan2
深邃	shen1'sui4
学识	xue2'shi2
分会	fen1'hui4
青蛙	qing1'wa1
特派员	te4'pai4'yuan2
隐约	yin3'yue1
钓鱼	diao4'yu2
即位	ji2'wei4
敏捷	min3'jie2
想见	xiang3'jian4
姨妈	yi2'ma1
读本	du2'ben3
黄瓜	huang2'gua1
检阅	jian3'yue4
泪珠	lei4'zhu1
明朗	ming2'lang3
新意	xin1'yi4
与众不同	yu3'zhong4'bu4'tong2
出厂	chu1'chang3
东边	dong1'bian1
方位	fang1'wei4
干流	gan4'liu2
口腔	kou3'qiang1
前程	qian2'cheng2
燃气	ran2'qi4
相待	xiang1'dai4
高粱	gao1'liang
毫升	hao2'sheng1
机能	ji1'neng2
