潮水	chao2'shui3
风范	feng1'fan4
钢筋	gang1'jin1
哗啦	hua1'la1
活生生	huo2'sheng1'sheng1
劳动法	lao2'dong4'fa3
旅途	lv3'tu2
清香	qing1'xiang1
突厥	tu1'jue2
外形	wai4'xing2
修缮	xiu1'shan4
银幕	yin2'mu4
班级	ban1'ji2
报关	bao4'guan1
惯性	guan4'xing4
河岸	he2'an4
胡闹	hu2'nao4
秋风	qiu1'feng1
摄制	she4'zhi4
原子弹	yuan2'zi3'dan4
援建	yuan2'jian4
乐章	yue4'zhang1
证人	zheng4'ren2
遵纪守法	zun1'ji4'shou3'fa3
保护伞	bao3'hu4'san3
表哥	biao3'ge1
痴迷	chi1'mi2
充斥	chong1'chi4
低廉	di1'lian2
电费	dian4'fei4
耕种	geng1'zhong4
恭敬	gong1'jing4
接替	jie1'ti4
卷烟	juan3'yan1
千秋	qian1'qiu1
湿度	shi1'du4
不愧	bu4'kui4
草木	cao3'mu4
公职	gong1'zhi2
缉私	ji1'si1
位子	wei4'zi
张罗	zhang1'luo2
爆破	bao4'po4
嘀咕	di2'gu
攻读	gong1'du2
昏暗	hun1'an4
火把	huo3'ba3
就绪	jiu4'xu4
狼狈	lang2'bei4
灭火	mie4'huo3
山峰	shan1'feng1
上阵	shang4'zhen4
时速	shi2'su4
疏导	shu1'dao3
听差	ting1'chai1
头衔	tou2'xian2
选题	xuan3'ti2
以期	yi3'qi1
折合	zhe2'he2
贮存	zhu4'cun2
报国	bao4'guo2
答话	da2'hua4
获利	huo4'li4
殴打	ou1'da3
亲生	qin1'sheng1
屈辱	qu1'ru3
群山	qun2'shan1
士官	shi4'guan1
搜救	sou1'jiu4
途经	tu2'jing1
下棋	xia4'qi2
先期	xian1'qi1
消遣	xiao1'qian3
硝烟	xiao1'yan1
彝族	yi2'zu2
召唤	zhao4'huan4
专心	zhuan1'xin1
表妹	biao3'mei4
波澜	bo1'lan2
厨子	chu2'zi3
第三者	di4'san1'zhe3
结案	jie2'an4
流行病	liu2'xing2'bing4
石窟	shi2'ku1
承接	cheng2'jie1
祠堂	ci2'tang2
答卷	da2'juan4
货款	huo4'kuan3
景气	jing3'qi4
久远	jiu3'yuan3
开眼	kai1'yan3
年月	nian2'yue
女神	nv3'shen2
欠缺	qian4'que1
取暖	qu3'nuan3
式样	shi4'yang4
疏通	shu1'tong1
险恶	xian3'e4
怨恨	yuan4'hen4
指战员	zhi3'zhan4'yuan2
党纪	dang3'ji4
分区	fen1'qu1
关乎	guan1'hu1
莫须有	mo4'xu1'you3
撒谎	sa1'huang3
嗓音	sang3'yin1
失控	shi1'kong4
手印	shou3'yin4
特命	te4'ming4
挑剔	tiao1'ti1
推诿	tui1'wei3
驻足	zhu4'zu2
惨重	can3'zhong4
出神	chu1'shen2
答辩	da2'bian4
机智	ji1'zhi4
景物	jing3'wu4
贫下中农	pin2'xia4'zhong1'nong2
水汽	shui3'qi4
特许	te4'xu3
夏令营	xia4'ling4'ying2
养殖场	yang3'zhi2'chang3
择优	ze2'you1
胆量	dan3'liang4
道教	dao4'jiao4
幌子	huang3'zi3
急功近利	ji2'gong1'jin4'li4
居高不下	ju1'gao1'bu4'xia4
列强	lie4'qiang2
零下	ling2'xia4
乞丐	qi3'gai4
松弛	song1'chi2
薪水	xin1'shui3
自由泳	zi4'you2'yong3
并列	bing4'lie4
反差	fan3'cha1
耗资	hao4'zi1
佳作	jia1'zuo4
进货	jin4'huo4
绿叶	lv4'ye4
采风	cai3'feng1
出人意料	chu1'ren2'yi4'liao4
两极	liang3'ji2
透彻	tou4'che4
兴衰	xing1'shuai1
调子	diao4'zi
二氧化硫	er4'yang3'hua4'liu2
发扬光大	fa1'yang2'guang1'da4
联营	lian2'ying2
强力	qiang2'li4
嫂嫂	sao3'sao3
社稷	she4'ji4
希望工程	xi1'wang4'gong1'cheng2
摇动	yao2'dong4
原则上	yuan2'ze2'shang4
跃居	yue4'ju1
自居	zi4'ju1
观察员	guan1'cha2'yuan2
含蓄	han2'xu4
火花	huo3'hua1
科幻	ke1'huan4
款式	kuan3'shi4
棉衣	mian2'yi1
热水器	re4'shui3'qi4
上司	shang4'si
退伍	tui4'wu3
胸部	xiong1'bu4
优劣	you1'lie4
张嘴	zhang1'zui3
地缘	di4'yuan2
供奉	gong4'feng4
后顾	hou4'gu4
径直	jing4'zhi2
谋生	mou2'sheng1
气压	qi4'ya1
闪耀	shan3'yao4
史实	shi3'shi2
收敛	shou1'lian3
大漠	da4'mo4
耽搁	dan1'ge
疯牛病	feng1'niu2'bing4
胡须	hu2'xu1
幻觉	huan4'jue2
困苦	kun4'ku3
末期	mo4'qi1
妩媚	wu3'mei4
沿用	yan2'yong4
整修	zheng3'xiu1
出游	chu1'you2
呼叫	hu1'jiao4
伙食	huo3'shi2
落泪	luo4'lei4
莫大	mo4'da4
肉类	rou4'lei4
收录	shou1'lu4
殊荣	shu1'rong2
体味	ti3'wei4
油灯	you2'deng1
转交	zhuan3'jiao1
安康	an1'kang1
