参战	can1'zhan4
长虹	chang2'hong2
长衫	chang2'shan1
发呆	fa1'dai1
红叶	hong2'ye4
街坊	jie1'fang
容许	rong2'xu3
声乐	sheng1'yue4
险些	xian3'xie1
政要	zheng4'yao4
纵观	zong4'guan1
北欧	bei3'ou1
表弟	biao3'di4
抽签	chou1'qian1
电能	dian4'neng2
拐杖	guai3'zhang4
怪物	guai4'wu4
劫持	jie2'chi2
影院	ying3'yuan4
抓捕	zhua1'bu3
作画	zuo4'hua4
不妙	bu4'miao4
茶水	cha2'shui3
朝代	chao2'dai4
凑巧	cou4'qiao3
党务	dang3'wu4
风云变幻	feng1'yun2'bian4'huan4
华尔街	hua2'er3'jie1
化妆	hua4'zhuang1
基准	ji1'zhun3
起劲	qi3'jin4
前卫	qian2'wei4
商用	shang1'yong4
顺畅	shun4'chang4
天数	tian1'shu4
吞噬	tun1'shi4
外向型	wai4'xiang4'xing2
学习班	xue2'xi2'ban1
鸳鸯	yuan1'yang1
当天	dang1'tian1
尔后	er3'hou4
给以	gei3'yi3
公厕	gong1'ce4
骨架	gu3'jia4
苛刻	ke1'ke4
可恨	ke3'hen4
快感	kuai4'gan3
唠叨	lao2'dao
龙舟	long2'zhou1
如愿	ru2'yuan4
收治	shou1'zhi4
讨价还价	tao3'jia4'huan2'jia4
委派	wei3'pai4
厢房	xiang1'fang2
子宫	zi3'gong1
臭氧	chou4'yang3
打折	da3'zhe2
多功能	duo1'gong1'neng2
火炉	huo3'lu2
甲板	jia3'ban3
牢骚	lao2'sao1
力所能及	li4'suo3'neng2'ji2
偌大	ruo4'da4
失事	shi1'shi4
问答	wen4'da2
相隔	xiang1'ge2
眼见	yan3'jian4
悠扬	you1'yang2
眨眼	zha3'yan3
忠臣	zhong1'chen2
苍老	cang1'lao3
称得上	cheng1'de2'shang4
纯一	chun2'yi1
工友	gong1'you3
恰巧	qia4'qiao3
探究	tan4'jiu1
匣子	xia2'zi3
小轿车	xiao3'jiao4'che1
衣衫	yi1'shan1
远景	yuan3'jing3
岳母	yue4'mu3
长袍	chang2'pao2
颠覆	dian1'fu4
断言	duan4'yan2
他指	ta1'zhi3
梯田	ti1'tian2
务求	wu4'qiu2
先人	xian1'ren2
有机物	you3'ji1'wu4
针灸	zhen1'jiu3
智能化	zhi4'neng2'hua4
罪人	zui4'ren2
发火	fa1'huo3
风味	feng1'wei4
画画	hua4'hua4
欢笑	huan1'xiao4
家教	jia1'jiao4
监护	jian1'hu4
里屋	li3'wu1
密封	mi4'feng1
气球	qi4'qiu2
侨务	qiao2'wu4
燃油	ran2'you2
史册	shi3'ce4
现场会	xian4'chang3'hui4
阅览室	yue4'lan3'shi4
征战	zheng1'zhan4
珠宝	zhu1'bao3
变色	bian4'shai3
成片	cheng2'pian4
催生	cui1'sheng1
奋发	fen4'fa1
革命化	ge2'ming4'hua4
黄海	huang2'hai3
回声	hui2'sheng1
火力	huo3'li4
尾气	wei3'qi4
学府	xue2'fu3
步枪	bu4'qiang1
成名	cheng2'ming2
驰名	chi2'ming2
单薄	dan1'bo2
腐烂	fu3'lan4
过量	guo4'liang4
过热	guo4're4
美味	mei3'wei4
难事	nan2'shi4
旗帜鲜明	qi2'zhi4'xian1'ming2
情理	qing2'li3
全盘	quan2'pan2
三维	san1'wei2
石灰	shi2'hui1
幸好	xing4'hao3
在下	zai4'xia4
择业	ze2'ye4
储户	chu3'hu4
大元帅	da4'yuan2'shuai4
尖子	jian1'zi3
结尾	jie2'wei3
据点	ju4'dian3
求知	qiu2'zhi1
食粮	shi2'liang2
王后	wang2'hou4
渥太华	wo4'tai4'hua2
细长	xi4'chang2
小吃	xiao3'chi1
写生	xie3'sheng1
悦耳	yue4'er3
自卑	zi4'bei1
成语	cheng2'yu3
到访	dao4'fang3
发电机	fa1'dian4'ji1
发问	fa1'wen4
衰落	shuai1'luo4
死活	si3'huo2
寺院	si4'yuan4
台词	tai2'ci2
王宫	wang2'gong1
无尽	wu2'jin4
应诉	ying4'su4
菜农	cai4'nong2
灯泡	deng1'pao4
换个儿	huan4'ge4'er
慌张	huang1'zhang1
挤占	ji3'zhan4
浸泡	jin4'pao4
开朗	kai1'lang3
老弟	lao3'di4
毛驴	mao2'lv2
墓葬	mu4'zang4
山寨	shan1'zhai4
堂堂	tang2'tang2
壮烈	zhuang4'lie4
包容	bao1'rong2
倍加	bei4'jia1
当月	dang4'yue4
泛起	fan4'qi3
封建主义	feng1'jian4'zhu3'yi4
荒谬	huang1'miu4
几经	ji3'jing1
普及率	pu3'ji2'lv4
热能	re4'neng2
人行道	ren2'xing2'dao4
三更	san1'geng4
硕果	shuo4'guo3
索赔	suo3'pei2
现年	xian4'nian2
益处	yi4'chu
寓意	yu4'yi4
政客	zheng4'ke4
春雨	chun1'yu3
存有	cun2'you3
犯法	fan4'fa3
国度	guo2'du4
哼哼	heng1'heng1
敬爱	jing4'ai4
力作	li4'zuo4
麻痹	ma2'bi4
农具	nong2'ju4
牵涉	qian1'she4
熟知	shu2'zhi1
述评	shu4'ping2
戏剧性	xi4'ju4'xing4
享誉	xiang3'yu4
艳丽	yan4'li4
远古	yuan3'gu3
真假	zhen1'jia3
病逝	bing4'shi4
不胜	bu4'sheng4
出山	chu1'shan1
待人	dai4'ren2
冻土	dong4'tu3
官场	guan1'chang3
过人	guo4'ren2
街区	jie1'qu1
冷清	leng3'qing1
强壮	qiang2'zhuang4
全胜	quan2'sheng4
严酷	yan2'ku4
碧绿	bi4'lv4
宠物	chong3'wu4
创举	chuang4'ju3
发脾气	fa1'pi2'qi
疏远	shu1'yuan3
水井	shui3'jing3
统帅	tong3'shuai4
西风	xi1'feng1
百花齐放	bai3'hua1'qi2'fang4
传教士	chuan2'jiao4'shi4
催化剂	cui1'hua4'ji4
淡漠	dan4'mo4
点球	dian3'qiu2
干涸	gan1'he2
公决	gong1'jue2
好戏	hao3'xi4
拘束	ju1'shu4
窟窿	ku1'long2
适龄	shi4'ling2
台胞	tai2'bao1
调处	tiao2'chu3
先天	xian1'tian1
杨树	yang2'shu4
直通	zhi2'tong1
逼迫	bi1'po4
逼真	bi1'zhen1
大理石	da4'li3'shi2
捣毁	dao3'hui3
乏力	fa2'li4
