坦言	tan3'yan2
项链	xiang4'lian4
刑事诉讼	xing2'shi4'su4'song4
亦即	yi4'ji2
增量	zeng1'liang4
班组	ban1'zu3
分院	fen1'yuan4
海浪	hai3'lang4
鸿沟	hong2'gou1
护卫	hu4'wei4
舅父	jiu4'fu4
砍伐	kan3'fa2
南宋	nan2'song4
泥泞	ni2'ning4
晴天	qing2'tian1
山洞	shan1'dong4
生硬	sheng1'ying4
首发	shou3'fa1
探求	tan4'qiu2
通商	tong1'shang1
文科	wen2'ke1
燕子	yan4'zi
葬礼	zang4'li3
整日	zheng3'ri4
助残	zhu4'can2
迟缓	chi2'huan3
分发	fen1'fa1
分娩	fen1'mian3
高位	gao1'wei4
焕然一新	huan4'ran2'yi1'xin1
恍然大悟	huang3'ran2'da4'wu4
君主	jun1'zhu3
纳闷儿	na4'men4'er
千米	qian1'mi3
抢修	qiang3'xiu1
无赖	wu2'lai4
无理	wu2'li3
紫外线	zi3'wai4'xian4
自查	zi4'cha2
窗台	chuang1'tai2
大少爷	da4'shao4'ye
掉头	diao4'tou2
肝脏	gan1'zang4
稿费	gao3'fei4
故作	gu4'zuo4
拐卖	guai3'mai4
海运	hai3'yun4
好学	hao3'xue2
活佛	huo2'fo2
蒙受	meng2'shou4
猛虎	meng3'hu3
免不得	mian3'bu'de
名列前茅	ming2'lie4'qian2'mao2
扇子	shan4'zi
怂恿	song3'yong3
推断	tui1'duan4
议和	yi4'he2
屹立	yi4'li4
月色	yue4'se4
桌椅	zhuo1'yi3
比率	bi3'lv4
大有作为	da4'you3'zuo4'wei2
故土	gu4'tu3
赫然	he4'ran2
候鸟	hou4'niao3
身价	shen1'jia4
硕大	shuo4'da4
淘气	tao2'qi4
席卷	xi2'juan3
小看	xiao3'kan4
辛酸	xin1'suan1
兴隆	xing1'long2
胸襟	xiong1'jin1
遗物	yi2'wu4
追加	zhui1'jia1
参选	can1'xuan3
产区	chan3'qu1
纯属	chun2'shu3
点名	dian3'ming2
电场	dian4'chang3
奋起	fen4'qi3
涵养	han2'yang3
黄沙	huang2'sha1
混蛋	hun2'dan4
凉水	liang2'shui3
马拉松	ma3'la1'song1
女王	nv3'wang2
入关	ru4'guan1
师德	shi1'de2
羞涩	xiu1'se4
液晶	ye4'jing1
用量	yong4'liang4
掌柜的	zhang3'gui4'de
版画	ban3'hua4
长工	chang2'gong1
凑合	cou4'he
干粮	gan1'liang2
雇佣	gu4'yong1
裂缝	lie4'feng4
前门	qian2'men2
欠款	qian4'kuan3
歉意	qian4'yi4
蠕动	ru2'dong4
骚动	sao1'dong4
商贩	shang1'fan4
提法	ti2'fa3
洗手	xi3'shou3
宣战	xuan1'zhan4
宜人	yi2'ren2
引力	yin3'li4
编队	bian1'dui4
虫子	chong2'zi3
订购	ding4'gou4
冠名	guan1'ming2
急速	ji2'su4
家产	jia1'chan3
南面	nan2'mian4
起因	qi3'yin1
王室	wang2'shi4
物件	wu4'jian4
血腥	xue4'xing1
霸权	ba4'quan2
出没	chu1'mo4
床单	chuang2'dan1
动画片	dong4'hua4'pian4
对头	dui4'tou2
光合作用	guang1'he2'zuo4'yong4
归根结底	gui1'gen1'jie2'di3
宦官	huan4'guan1
结核病	jie2'he2'bing4
来人	lai2'ren2
流逝	liu2'shi4
文艺复兴	wen2'yi4'fu4'xing1
病变	bing4'bian4
地道	di4'dao4
动心	dong4'xin1
挥霍	hui1'huo4
极地	ji2'di4
架设	jia4'she4
截住	jie2'zhu4
没完没了	mei2'wan2'mei2'liao3
宁肯	ning4'ken3
平生	ping2'sheng1
守卫	shou3'wei4
耸立	song3'li4
文风	wen2'feng1
