波澜壮阔	bo1'lan2'zhuang4'kuo4
惨案	can3'an4
晨报	chen2'bao4
呼吸道	hu1'xi1'dao4
季节性	ji4'jie2'xing4
剧组	ju4'zu3
老话	lao3'hua4
联谊	lian2'yi4
略微	lve4'wei1
苗头	miao2'tou2
飘逸	piao1'yi4
迫在眉睫	po4'zai4'mei2'jie2
切割	qie1'ge1
切齿	qie4'chi3
外文	wai4'wen2
虚实	xu1'shi2
足坛	zu2'tan2
本该	ben3'gai1
不言而喻	bu4'yan2'er2'yu4
茶壶	cha2'hu2
锤炼	chui2'lian4
大政方针	da4'zheng4'fang1'zhen1
调拨	diao4'bo1
调任	diao4'ren4
飞奔	fei1'ben1
高寒	gao1'han2
近海	jin4'hai3
考查	kao3'cha2
可巧	ke3'qiao3
腼腆	mian3'tian3
渺小	miao3'xiao3
强加	qiang2'jia1
清廉	qing1'lian2
山乡	shan1'xiang1
时至今日	shi2'zhi4'jin1'ri4
现时	xian4'shi2
忧心忡忡	you1'xin1'chong1'chong1
晕倒	yun4'dao3
终审	zhong1'shen3
冰雹	bing1'bao2
改称	gai3'cheng1
孤单	gu1'dan1
怪事	guai4'shi4
季风	ji4'feng1
监禁	jian1'jin4
句号	ju4'hao4
诺言	nuo4'yan2
迁入	qian1'ru4
钱包	qian2'bao1
切要	qie4'yao4
锐利	rui4'li4
圣洁	sheng4'jie2
庭审	ting2'shen3
夏粮	xia4'liang2
血缘	xue4'yuan2
应市	ying4'shi4
有数	you3'shu4
张力	zhang1'li4
殖民主义	zhi2'min2'zhu3'yi4
庄园	zhuang1'yuan2
安放	an1'fang4
重振	zhong4'zhen4
绸缎	chou2'duan4
大势所趋	da4'shi4'suo3'qu1
抵挡	di3'dang3
粉尘	fen3'chen2
话头	hua4'tou2
决计	jue2'ji4
老板娘	lao3'ban3'niang2
任性	ren4'xing4
商品化	shang1'pin3'hua4
随地	sui2'di4
停泊	ting2'bo2
无异	wu2'yi4
优于	you1'yu2
原子核	yuan2'zi3'he2
憎恨	zeng1'hen4
奔放	ben1'fang4
衬托	chen4'tuo1
丰功伟绩	feng1'gong1'wei3'ji4
甘于	gan1'yu2
港人	gang3'ren2
归功于	gui1'gong1'yu2
柜子	gui4'zi
开导	kai1'dao3
苦衷	ku3'zhong1
满面	man3'mian4
桥牌	qiao2'pai2
试制	shi4'zhi4
挺身而出	ting3'shen1'er2'chu1
晚霞	wan3'xia2
沃土	wo4'tu3
音符	yin1'fu2
早起	zao3'qi3
宅基地	zhai2'ji1'di4
侦探小说	zhen1'tan4'xiao3'shuo1
专卖店	zhuan1'mai4'dian4
总分	zong3'fen1
嘲弄	chao2'nong4
程式	cheng2'shi4
串联	chuan4'lian2
大团结	da4'tuan2'jie2
纷争	fen1'zheng1
丰产	feng1'chan3
丰盛	feng1'sheng4
风能	feng1'neng2
惊呆	jing1'dai1
卖淫	mai4'yin2
士卒	shi4'zu2
手提	shou3'ti2
岁末	sui4'mo4
游泳池	you2'yong3'chi2
语义	yu3'yi4
蕴涵	yun4'han2
变量	bian4'liang4
残废	can2'fei4
潮汐	chao2'xi1
筹委会	chou2'wei3'hui4
击退	ji1'tui4
嘹亮	liao2'liang4
临时工	lin2'shi2'gong1
落伍	luo4'wu3
门下	men2'xia4
密集型	mi4'ji2'xing2
面包车	mian4'bao1'che1
潜水	qian2'shui3
先发制人	xian1'fa1'zhi4'ren2
小行星	xiao3'xing2'xing1
笑眯眯	xiao4'mi1'mi1
造诣	zao4'yi4
政令	zheng4'ling4
包厢	bao1'xiang1
当先	dang1'xian1
到头	dao4'tou2
愕然	e4'ran2
法纪	fa3'ji4
共同点	gong4'tong2'dian3
回响	hui2'xiang3
浇灌	jiao1'guan4
螺旋	luo2'xuan2
轻工业	qing1'gong1'ye4
审慎	shen3'shen4
升降	sheng1'jiang4
水系	shui3'xi4
维吾尔族	wei2'wu2'er3'zu2
戏院	xi4'yuan4
小米	xiao3'mi3
眼睁睁	yan3'zheng1'zheng1
盎然	ang4'ran2
得胜	de2'sheng4
负伤	fu4'shang1
洪灾	hong2'zai1
及格	ji2'ge2
酒会	jiu3'hui4
救护车	jiu4'hu4'che1
刊发	kan1'fa1
扫地	sao3'di4
沙沙	sha1'sha1
时时刻刻	shi2'shi2'ke4'ke4
紊乱	wen3'luan4
问卷	wen4'juan4
武士	wu3'shi4
烟袋	yan1'dai4
瞻仰	zhan1'yang3
展位	zhan3'wei4
族人	zu2'ren2
表象	biao3'xiang4
床沿	chuang2'yan2
高强	gao1'qiang2
洪流	hong2'liu2
吉隆坡	ji2'long2'po1
秘诀	mi4'jue2
女将	nv3'jiang1
皮革	pi2'ge2
取名	qu3'ming2
三包	san1'bao1
特约	te4'yue1
天涯	tian1'ya2
脱口	tuo1'kou3
心甘情愿	xin1'gan1'qing2'yuan4
珠子	zhu1'zi3
并行	bing4'xing2
端详	duan1'xiang
断流	duan4'liu2
服药	fu2'yao4
进退	jin4'tui4
拉扯	la1'che
私有制	si1'you3'zhi4
选编	xuan3'bian1
眼帘	yan3'lian2
一刀切	yi1'dao1'qie1
营房	ying2'fang2
友善	you3'shan4
着装	zhuo2'zhuang1
出租汽车	chu1'zu1'qi4'che1
初具规模	chu1'ju4'gui1'mo2
独占	du2'zhan4
发源地	fa1'yuan2'di4
仿真	fang3'zhen1
改动	gai3'dong4
广袤	guang3'mao4
欢送	huan1'song4
涣散	huan4'san4
捷径	jie2'jing4
九州	jiu3'zhou1
韭菜	jiu3'cai4
惧怕	ju4'pa4
可否	ke3'fou3
宽厚	kuan1'hou4
理论界	li3'lun4'jie4
沥青	li4'qing1
美育	mei3'yu4
青天	qing1'tian1
山歌	shan1'ge1
尸首	shi1'shou3
藤椅	teng2'yi3
铁矿	tie3'kuang4
中风	zhong4'feng1
畜生	chu4'sheng
底细	di3'xi4
蹲点	dun1'dian3
多彩	duo1'cai3
根除	gen1'chu2
孤寡	gu1'gua3
孤零零	gu1'ling2'ling2
减速	jian3'su4
静态	jing4'tai4
开动	kai1'dong4
凉风	liang2'feng1
刷卡	shua1'ka3
原名	yuan2'ming2
白银	bai2'yin2
保护价	bao3'hu4'jia4
驳斥	bo2'chi4
藏身	cang2'shen1
查实	cha2'shi2
出狱	chu1'yu4
厄运	e4'yun4
告急	gao4'ji2
河面	he2'mian4
轰鸣	hong1'ming2
交费	jiao1'fei4
惊险	jing1'xian3
举世	ju3'shi4
买主	mai3'zhu3
毛笔	mao2'bi3
母校	mu3'xiao4
男士	nan2'shi4
寝室	qin3'shi4
省事	sheng3'shi4
盛装	sheng4'zhuang1
停工	ting2'gong1
头皮	tou2'pi2
五彩	wu3'cai3
西非	xi1'fei1
鞋底	xie2'di3
羞辱	xiu1'ru3
演进	yan3'jin4
引路	yin3'lu4
