巷子	xiang4'zi
心甘	xin1'gan1
亚热带	ya4're4'dai4
一朝	yi1'zhao1
右倾	you4'qing1
中锋	zhong1'feng1
乘胜	cheng2'sheng4
单向	dan1'xiang4
方兴未艾	fang1'xing1'wei4'ai4
馆藏	guan3'cang2
海风	hai3'feng1
经常化	jing1'chang2'hua4
勘测	kan1'ce4
玲珑	ling2'long2
米饭	mi3'fan4
湿漉漉	shi1'lu4'lu4
水管	shui3'guan3
象征性	xiang4'zheng1'xing4
异口同声	yi4'kou3'tong2'sheng1
浴场	yu4'chang3
在此期间	zai4'ci3'qi1'jian1
中草药	zhong1'cao3'yao4
大鼓	da4'gu3
道口	dao4'kou3
对不住	dui4'bu4'zhu4
甘愿	gan1'yuan4
管子	guan3'zi3
敬仰	jing4'yang3
窘迫	jiong3'po4
民房	min2'fang2
墓碑	mu4'bei1
赔付	pei2'fu4
区间	qu1'jian1
权衡	quan2'heng2
赛马	sai4'ma3
哨所	shao4'suo3
盛产	sheng4'chan3
士大夫	shi4'da4'fu1
孝子	xiao4'zi3
蓄意	xu4'yi4
义理	yi4'li3
侄子	zhi2'zi3
撰文	zhuan4'wen2
阿妈	a1'ma1
保重	bao3'zhong4
吹牛	chui1'niu2
大不了	da4'bu'liao3
东汉	dong1'han4
分立	fen1'li4
和善	he2'shan4
集团军	ji2'tuan2'jun1
剪影	jian3'ying3
经办	jing1'ban4
巨龙	ju4'long2
凯旋	kai3'xuan2
默默无闻	mo4'mo4'wu2'wen2
穷困	qiong2'kun4
受挫	shou4'cuo4
头版	tou2'ban3
阻塞	zu3'se4
背道而驰	bei4'dao4'er2'chi2
被害人	bei4'hai4'ren2
变故	bian4'gu4
成见	cheng2'jian4
副作用	fu4'zuo4'yong4
记忆力	ji4'yi4'li4
矿长	kuang4'chang2
面颊	mian4'jia2
难民营	nan4'min2'ying2
清退	qing1'tui4
上风	shang4'feng1
小脚	xiao3'jiao3
血汗	xue4'han4
音调	yin1'diao4
硬性	ying4'xing4
育才	yu4'cai2
咱家	za2'jia1
直截了当	zhi2'jie2'liao3'dang4
充裕	chong1'yu4
第一时间	di4'yi1'shi2'jian1
掉过儿	diao4'guo4'er
动脑筋	dong4'nao3'jin1
发案	fa1'an4
滚烫	gun3'tang4
奖杯	jiang3'bei1
接壤	jie1'rang3
决非	jue2'fei1
裤裆	ku4'dang1
老大难	lao3'da4'nan2
木棍	mu4'gun4
曲目	qu3'mu4
日头	ri4'tou
盛况	sheng4'kuang4
无毒	wu2'du2
在逃	zai4'tao2
备用	bei4'yong4
匕首	bi3'shou3
钢板	gang1'ban3
后宫	hou4'gong1
江北	jiang1'bei3
念叨	nian4'dao
善恶	shan4'e4
上浮	shang4'fu2
睡梦	shui4'meng4
无公害蔬菜	wu2'gong1'hai4'shu1'cai4
霞光	xia2'guang1
早春	zao3'chun1
转弯	zhuan3'wan1
自传	zi4'zhuan4
字号	zi4'hao
总站	zong3'zhan4
坐镇	zuo4'zhen4
矮小	ai3'xiao3
采写	cai3'xie3
发笑	fa1'xiao4
帆船	fan1'chuan2
感化	gan3'hua4
核发	he2'fa1
激流	ji1'liu2
艰苦卓绝	jian1'ku3'zhuo2'jue2
连累	lian2'lei3
粮农	liang2'nong2
面面相觑	mian4'mian4'xiang1'qu4
皮箱	pi2'xiang1
婆家	po2'jia
青菜	qing1'cai4
扫兴	sao3'xing4
