静谧	jing4'mi4
来年	lai2'nian2
迷茫	mi2'mang2
密谋	mi4'mou2
盘问	pan2'wen4
取笑	qu3'xiao4
认错	ren4'cuo4
素来	su4'lai2
素描	su4'miao2
掩埋	yan3'mai2
咬牙切齿	yao3'ya2'qie4'chi3
约会	yue1'hui4
真人	zhen1'ren2
边关	bian1'guan1
车身	che1'shen1
分列	fen1'lie4
富足	fu4'zu2
共商国是	gong4'shang1'guo2'shi4
过道	guo4'dao4
集散地	ji2'san4'di4
伎俩	ji4'liang3
讲师	jiang3'shi1
口令	kou3'ling4
陆路	lu4'lu4
门板	men2'ban3
木屋	mu4'wu1
牧业	mu4'ye4
僻静	pi4'jing4
删除	shan1'chu2
双星	shuang1'xing1
天敌	tian1'di2
通宵	tong1'xiao1
涂抹	tu2'mo3
网址	wang3'zhi3
相逢	xiang1'feng2
星火	xing1'huo3
学年	xue2'nian2
伊人	yi1'ren2
主教	zhu3'jiao4
坠入	zhui4'ru4
大餐	da4'can1
党代会	dang3'dai4'hui4
动词	dong4'ci2
交汇	jiao1'hui4
可汗	ke4'han2
冒烟	mao4'yan1
母爱	mu3'ai4
勤工俭学	qin2'gong1'jian3'xue2
勤于	qin2'yu2
燃放	ran2'fang4
食欲	shi2'yu4
受聘	shou4'pin4
竖立	shu4'li4
跳板	tiao4'ban3
王公	wang2'gong1
卫视	wei4'shi4
佣人	yong1'ren2
元朝	yuan2'chao2
终将	zhong1'jiang1
字体	zi4'ti3
北国	bei3'guo2
不拘	bu4'ju1
不治	bu4'zhi4
财源	cai2'yuan2
臭气	chou4'qi4
处女	chu3'nv3
加班加点	jia1'ban1'jia1'dian3
建筑群	jian4'zhu4'qun2
惊天动地	jing1'tian1'dong4'di4
看管	kan1'guan3
理赔	li3'pei2
亲昵	qin1'ni4
蜻蜓	qing1'ting2
调停	tiao2'ting2
无味	wu2'wei4
信纸	xin4'zhi3
选举权	xuan3'ju3'quan2
转悠	zhuan4'you
爆满	bao4'man3
旅程	lv3'cheng2
牦牛	mao2'niu2
强健	qiang2'jian4
撒娇	sa1'jiao1
上吊	shang4'diao4
生死存亡	sheng1'si3'cun2'wang2
未雨绸缪	wei4'yu3'chou2'mou2
无阻	wu2'zu3
报批	bao4'pi1
北面	bei3'mian4
惨白	can3'bai2
喳喳	cha1'cha1
冲刷	chong1'shua1
出庭	chu1'ting2
恍然	huang3'ran2
积聚	ji1'ju4
明摆着	ming2'bai3'zhe
南国	nan2'guo2
彷徨	pang2'huang2
墙头	qiang2'tou2
轻信	qing1'xin4
去路	qu4'lu4
如火如荼	ru2'huo3'ru2'tu2
市面	shi4'mian4
适量	shi4'liang4
舒心	shu1'xin1
闲人	xian2'ren2
小腿	xiao3'tui3
盐酸	yan2'suan1
衣冠	yi1'guan1
游说	you2'shui4
鱼塘	yu2'tang2
原作	yuan2'zuo4
质优	zhi4'you1
桎梏	zhi4'gu4
主页	zhu3'ye4
著述	zhu4'shu4
总领事	zong3'ling3'shi4
茶楼	cha2'lou2
低落	di1'luo4
方能	fang1'neng2
赶集	gan3'ji2
更迭	geng1'die2
公害	gong1'hai4
豪爽	hao2'shuang3
好意思	hao3'yi4'si
华山	hua2'shan1
接通	jie1'tong1
军品	jun1'pin3
梨园	li2'yuan2
两弹一星	liang3'dan4'yi1'xing1
赔款	pei2'kuan3
皮球	pi2'qiu2
日照	ri4'zhao4
收视率	shou1'shi4'lv4
天国	tian1'guo2
相助	xiang1'zhu4
笑语	xiao4'yu3
寻访	xun2'fang3
洋车	yang2'che1
养人	yang3'ren2
罂粟	ying1'su4
玉兰	yu4'lan2
责无旁贷	ze2'wu2'pang2'dai4
拔地而起	ba2'di4'er2'qi3
不堪设想	bu4'kan1'she4'xiang3
草鞋	cao3'xie2
大展	da4'zhan3
道谢	dao4'xie4
东宫	dong1'gong1
发售	fa1'shou4
纷至沓来	fen1'zhi4'ta4'lai2
根系	gen1'xi4
棺木	guan1'mu4
化装	hua4'zhuang1
结伴	jie2'ban4
科举	ke1'ju3
灵巧	ling2'qiao3
录制	lu4'zhi4
落马	luo4'ma3
水渠	shui3'qu2
五色	wu3'se4
衍生	yan3'sheng1
怎奈	zen3'nai4
正宗	zheng4'zong1
忠告	zhong1'gao4
百倍	bai3'bei4
茶园	cha2'yuan2
从军	cong2'jun1
丢脸	diu1'lian3
多谢	duo1'xie4
法师	fa3'shi1
分得	fen1'de2
活动室	huo2'dong4'shi4
简单化	jian3'dan1'hua4
今人	jin1'ren2
姥爷	lao3'ye
袅袅	niao3'niao3
蹒跚	pan2'shan1
散装	san3'zhuang1
天王	tian1'wang2
相联	xiang1'lian2
颜料	yan2'liao4
营业税	ying2'ye4'shui4
杂粮	za2'liang2
征询	zheng1'xun2
地下室	di4'xia4'shi4
俄语	e2'yu3
故而	gu4'er2
憨厚	han1'hou4
火红	huo3'hong2
慨叹	kai3'tan4
联姻	lian2'yin1
零点	ling2'dian3
能上能下	neng2'shang4'neng2'xia4
皮毛	pi2'mao2
抢夺	qiang3'duo2
收效	shou1'xiao4
武官	wu3'guan1
欣欣向荣	xin1'xin1'xiang4'rong2
凶恶	xiong1'e4
用餐	yong4'can1
在野党	zai4'ye3'dang3
淳朴	chun2'pu3
度假村	du4'jia4'cun1
古文	gu3'wen2
记号	ji4'hao4
荆棘	jing1'ji2
拘谨	ju1'jin3
贸易壁垒	mao4'yi4'bi4'lei3
魔力	mo2'li4
声息	sheng1'xi1
树丛	shu4'cong2
探头	tan4'tou2
小商品	xiao3'shang1'pin3
须要	xu1'yao4
学杂费	xue2'za2'fei4
增殖	zeng1'zhi2
政风	zheng4'feng1
本息	ben3'xi1
常数	chang2'shu4
炊烟	chui1'yan1
店员	dian4'yuan2
分辨率	fen1'bian4'lv4
高程	gao1'cheng2
隔膜	ge2'mo2
各抒己见	ge4'shu1'ji3'jian4
功不可没	gong1'bu4'ke3'mei2
好事	hao4'shi4
活该	huo2'gai1
即兴	ji2'xing4
懒洋洋	lan3'yang2'yang2
老农	lao3'nong2
扫黄	sao3'huang2
扫盲	sao3'mang2
提成	ti2'cheng2
围城	wei2'cheng2
喜鹊	xi3'que4
辛劳	xin1'lao2
雪上加霜	xue3'shang4'jia1'shuang1
愈发	yu4'fa1
元宵	yuan2'xiao1
中秋节	zhong1'qiu1'jie2
总政	zong3'zheng4
半路	ban4'lu4
弊病	bi4'bing4
搭讪	da1'shan4
电文	dian4'wen2
国学	guo2'xue2
教条	jiao4'tiao2
老大爷	lao3'da4'ye2
弄堂	long4'tang2
满心	man3'xin1
忙乱	mang2'luan4
评级	ping2'ji2
请愿	qing3'yuan4
入室	ru4'shi4
升旗	sheng1'qi2
提纲	ti2'gang1
显示屏	xian3'shi4'ping2
新月	xin1'yue4
炸毁	zha4'hui3
中篇小说	zhong1'pian1'xiao3'shuo1
