成熟	cheng2'shu2
痛苦	tong4'ku3
地下	di4'xia4
决心	jue2'xin1
别的	bie2'de
将来	jiang1'lai2
路线	lu4'xian4
不得不	bu4'de2'bu4
主题	zhu3'ti2
举办	ju3'ban4
降低	jiang4'di1
用于	yong4'yu2
森林	sen1'lin2
是不是	shi4'bu4'shi4
此时	ci3'shi2
承担	cheng2'dan1
博士	bo2'shi4
落后	luo4'hou4
人士	ren2'shi4
动作	dong4'zuo4
科研	ke1'yan2
作风	zuo4'feng1
大型	da4'xing2
主持	zhu3'chi2
争取	zheng1'qu3
结果	jie2'guo3
吃饭	chi1'fan4
全球	quan2'qiu2
运输	yun4'shu1
协议	xie2'yi4
法院	fa3'yuan4
成本	cheng2'ben3
当代	dang1'dai4
日期	ri4'qi1
标志	biao1'zhi4
天下	tian1'xia4
食品	shi2'pin3
警察	jing3'cha2
培训	pei2'xun4
决策	jue2'ce4
避免	bi4'mian3
核心	he2'xin1
接触	jie1'chu4
依靠	yi1'kao4
想象	xiang3'xiang4
友好	you3'hao3
老板	lao3'ban3
似的	shi4'de
并非	bing4'fei1
允许	yun3'xu3
一生	yi1'sheng1
基层	ji1'ceng2
印象	yin4'xiang4
推广	tui1'guang3
节目	jie2'mu4
突破	tu1'po4
转移	zhuan3'yi2
奋斗	fen4'dou4
时刻	shi2'ke4
一套	yi1'tao4
情感	qing2'gan3
多么	duo1'me
现场	xian4'chang3
足球	zu2'qiu2
思考	si1'kao3
大小	da4'xiao3
平衡	ping2'heng2
国有	guo2'you3
出席	chu1'xi2
熟悉	shu2'xi1
医疗	yi1'liao2
公民	gong1'min2
涉及	she4'ji2
资格	zi1'ge2
正文	zheng4'wen2
距离	ju4'li2
老百姓	lao3'bai3'xing4
交换	jiao1'huan4
激动	ji1'dong4
否则	fou3'ze2
保险	bao3'xian3
长江	chang2'jiang1
意思	yi4'si
财产	cai2'chan3
能源	neng2'yuan2
趋势	qu1'shi4
上升	shang4'sheng1
记得	ji4'de
纪念	ji4'nian4
市场经济	shi4'chang3'jing1'ji4
法制	fa3'zhi4
亲切	qin1'qie4
不错	bu4'cuo4
俄罗斯	e2'luo2'si1
运行	yun4'xing2
一方面	yi1'fang1'mian4
负责人	fu4'ze2'ren2
日益	ri4'yi4
义务	yi4'wu4
比例	bi3'li4
生产力	sheng1'chan3'li4
休息	xiu1'xi
办事	ban4'shi4
试验	shi4'yan4
品种	pin3'zhong3
的确	di2'que4
患者	huan4'zhe3
考试	kao3'shi4
数字	shu4'zi4
武装	wu3'zhuang1
选举	xuan3'ju3
设立	she4'li4
费用	fei4'yong4
针对	zhen1'dui4
进展	jin4'zhan3
街道	jie1'dao4
兴趣	xing4'qu4
平等	ping2'deng3
资本	zi1'ben3
经理	jing1'li3
地球	di4'qiu2
相比	xiang1'bi3
重庆	zhong4'qing4
改进	gai3'jin4
办理	ban4'li3
样子	yang4'zi3
多次	duo1'ci4
咱们	zan2'men
挑战	tiao3'zhan4
切实	qie4'shi2
科学家	ke1'xue2'jia1
大地	da4'di4
从此	cong2'ci3
中的	zhong1'de
前面	qian2'mian
一阵	yi1'zhen4
女人	nv3'ren2
威胁	wei1'xie2
系列	xi4'lie4
事故	shi4'gu4
从来	cong2'lai2
深深	shen1'shen1
修改	xiu1'gai3
即将	ji2'jiang1
人家	ren2'jia
背景	bei4'jing3
四川	si4'chuan1
计算机	ji4'suan4'ji1
作战	zuo4'zhan4
美好	mei3'hao3
命令	ming4'ling4
引进	yin3'jin4
戏剧	xi4'ju4
党中央	dang3'zhong1'yang1
朝鲜	chao2'xian1
实验	shi2'yan4
法规	fa3'gui1
官员	guan1'yuan2
首都	shou3'du1
数据	shu4'ju4
效益	xiao4'yi4
信心	xin4'xin1
传播	chuan2'bo1
强大	qiang2'da4
工具	gong1'ju4
进程	jin4'cheng2
气氛	qi4'fen1
石油	shi2'you2
效率	xiao4'lv4
防止	fang2'zhi3
海洋	hai3'yang2
非洲	fei1'zhou1
加大	jia1'da4
特征	te4'zheng1
所在	suo3'zai4
女士	nv3'shi4
用户	yong4'hu4
激烈	ji1'lie4
执法	zhi2'fa3
贫困	pin2'kun4
地上	di4'shang4
使得	shi3'de
北方	bei3'fang1
宪法	xian4'fa3
友谊	you3'yi4
依据	yi1'ju4
相应	xiang1'ying4
联合国	lian2'he2'guo2
回去	hui2'qu4
显著	xian3'zhu4
黄河	huang2'he2
快速	kuai4'su4
忘记	wang4'ji4
失败	shi1'bai4
小姐	xiao3'jie3
对待	dui4'dai4
负担	fu4'dan1
地方	di4'fang
风格	feng1'ge2
繁荣	fan2'rong2
更为	geng4'wei2
就业	jiu4'ye4
将军	jiang1'jun1
土地	tu3'di4
情形	qing2'xing2
前来	qian2'lai2
例如	li4'ru2
会见	hui4'jian4
推出	tui1'chu1
后面	hou4'mian4
