商业街	shang1'ye4'jie1
声讨	sheng1'tao3
头像	tou2'xiang4
习气	xi2'qi4
消沉	xiao1'chen2
逊色	xun4'se4
暂缓	zan4'huan3
长势	zhang3'shi4
照办	zhao4'ban4
主战场	zhu3'zhan4'chang3
自负盈亏	zi4'fu4'ying2'kui1
安葬	an1'zang4
不菲	bu4'fei3
偿付	chang2'fu4
绸缪	chou2'mou2
贺卡	he4'ka3
会意	hui4'yi4
急迫	ji2'po4
建筑师	jian4'zhu4'shi1
教官	jiao4'guan1
眷属	juan4'shu3
郎中	lang2'zhong1
练就	lian4'jiu4
谬论	miu4'lun4
判决书	pan4'jue2'shu1
迁就	qian1'jiu4
切磋	qie1'cuo1
情侣	qing2'lv3
深为	shen1'wei2
渗入	shen4'ru4
树梢	shu4'shao1
肆无忌惮	si4'wu2'ji4'dan4
提包	ti2'bao1
歪风	wai1'feng1
直率	zhi2'shuai4
筑路	zhu4'lu4
白杨	bai2'yang2
不测	bu4'ce4
残缺	can2'que1
茶座	cha2'zuo4
成事	cheng2'shi4
缔造	di4'zao4
碉堡	diao1'bao3
对视	dui4'shi4
冠心病	guan1'xin1'bing4
横渡	heng2'du4
火场	huo3'chang3
兼容	jian1'rong2
举杯	ju3'bei1
拦网	lan2'wang3
雷电	lei2'dian4
零碎	ling2'sui4
满月	man3'yue4
民事责任	min2'shi4'ze2'ren4
命案	ming4'an4
谋略	mou2'lve4
烹饪	peng1'ren4
取而代之	qu3'er2'dai4'zhi1
人像	ren2'xiang4
送别	song4'bie2
唐诗	tang2'shi1
同班	tong2'ban1
旋即	xuan2'ji2
因公	yin1'gong1
转包	zhuan3'bao1
彩灯	cai3'deng1
成交额	cheng2'jiao1'e2
登高	deng1'gao1
断送	duan4'song4
海鲜	hai3'xian1
开春	kai1'chun1
礼金	li3'jin1
母体	mu3'ti3
平素	ping2'su4
千瓦时	qian1'wa3'shi2
商品粮	shang1'pin3'liang2
适值	shi4'zhi2
司空见惯	si1'kong1'jian4'guan4
投影	tou2'ying3
万能	wan4'neng2
万无一失	wan4'wu2'yi1'shi1
雾气	wu4'qi4
心切	xin1'qie4
重创	zhong4'chuang1
自认	zi4'ren4
本金	ben3'jin1
蝙蝠	bian1'fu2
导管	dao3'guan3
电线杆	dian4'xian4'gan3
殿下	dian4'xia4
碟子	die2'zi3
回眸	hui2'mou2
莲子	lian2'zi3
漫笔	man4'bi3
拇指	mu3'zhi3
年龄段	nian2'ling2'duan4
棚子	peng2'zi3
前台	qian2'tai2
群岛	qun2'dao3
丧气	sang4'qi4
山门	shan1'men2
手轻	shou3'qing1
枉法	wang3'fa3
问号	wen4'hao4
舞弊	wu3'bi4
歇息	xie1'xi1
修辞	xiu1'ci2
烟酒	yan1'jiu3
依依	yi1'yi1
用场	yong4'chang3
雨雪	yu3'xue3
远销	yuan3'xiao1
展区	zhan3'qu1
纸烟	zhi3'yan1
字条	zi4'tiao2
比划	bi3'hua
殡葬	bin4'zang4
痴呆	chi1'dai1
纯正	chun2'zheng4
搭乘	da1'cheng2
大略	da4'lue4
分说	fen1'shuo1
吉祥物	ji2'xiang2'wu4
满不在乎	man3'bu4'zai4'hu
某人	mou3'ren2
霓虹灯	ni2'hong2'deng1
平分	ping2'fen1
顷刻	qing3'ke4
深意	shen1'yi4
甩掉	shuai3'diao4
水陆	shui3'lu4
倘使	tang3'shi3
危重	wei1'zhong4
微电子	wei1'dian4'zi3
稀饭	xi1'fan4
足见	zu2'jian4
奥妙	ao4'miao4
愁眉	chou2'mei2
祷告	dao3'gao4
冬青	dong1'qing1
耳环	er3'huan2
飞越	fei1'yue4
复核	fu4'he2
姑奶奶	gu1'nai3'nai3
马队	ma3'dui4
墨水	mo4'shui3
内幕	nei4'mu4
排头兵	pai2'tou2'bing1
千克	qian1'ke4
燃眉之急	ran2'mei2'zhi1'ji2
入网	ru4'wang3
实感	shi2'gan3
树根	shu4'gen1
亭子	ting2'zi3
下半时	xia4'ban4'shi2
纤细	xian1'xi4
应得	ying4'de2
雨伞	yu3'san3
真面目	zhen1'mian4'mu4
重逢	chong2'feng2
川剧	chuan1'ju4
