梳头	shu1'tou2
顺势	shun4'shi4
四围	si4'wei2
透支	tou4'zhi1
吞吞吐吐	tun1'tun1'tu3'tu3
无家可归	wu2'jia1'ke3'gui1
无遗	wu2'yi2
现代派	xian4'dai4'pai4
雪中送炭	xue3'zhong1'song4'tan4
预祝	yu4'zhu4
中医院	zhong1'yi1'yuan4
挨户	ai1'hu4
包扎	bao1'za1
冰山	bing1'shan1
不得而知	bu4'de2'er2'zhi1
粗略	cu1'lve4
担架	dan1'jia4
冬训	dong1'xun4
抚育	fu3'yu4
高傲	gao1'ao4
稿纸	gao3'zhi3
何其	he2'qi2
价值规律	jia4'zhi2'gui1'lv4
鞠躬尽瘁	ju1'gong1'jin4'cui4
苦于	ku3'yu2
眉眼	mei2'yan3
区划	qu1'hua4
僧人	seng1'ren2
伤疤	shang1'ba1
收场	shou1'chang3
售票员	shou4'piao4'yuan2
顺口溜	shun4'kou3'liu1
私立	si1'li4
套路	tao4'lu4
通明	tong1'ming2
外公	wai4'gong1
慰劳	wei4'lao2
下部	xia4'bu4
现代戏	xian4'dai4'xi4
消费结构	xiao1'fei4'jie2'gou4
校友	xiao4'you3
牙膏	ya2'gao1
斩钉截铁	zhan3'ding1'jie2'tie3
镇守	zhen4'shou3
中选	zhong4'xuan3
棕色	zong1'se4
才智	cai2'zhi4
惨剧	can3'ju4
电视片	dian4'shi4'pian4
构件	gou4'jian4
瑰宝	gui1'bao3
函授	han2'shou4
换言之	huan4'yan2'zhi1
家事	jia1'shi4
兼有	jian1'you3
简明	jian3'ming2
交办	jiao1'ban4
脚底	jiao3'di3
接洽	jie1'qia4
经纪	jing1'ji4
酒家	jiu3'jia1
了得	liao3'de2
冒失	mao4'shi
模块	mo2'kuai4
岂非	qi3'fei1
赏识	shang3'shi2
圣旨	sheng4'zhi3
石膏	shi2'gao1
讨饭	tao3'fan4
诬蔑	wu1'mie4
希冀	xi1'ji4
仙人	xian1'ren2
响动	xiang3'dong4
一干	yi1'gan1
油条	you2'tiao2
渊博	yuan1'bo2
早先	zao3'xian1
缜密	zhen3'mi4
正职	zheng4'zhi2
支点	zhi1'dian3
周报	zhou1'bao4
逐个	zhu2'ge4
著录	zhu4'lu4
装甲车	zhuang1'jia3'che1
并发症	bing4'fa1'zheng4
城头	cheng2'tou2
储藏	chu3'cang2
大踏步	da4'ta4'bu4
豆子	dou4'zi3
风韵	feng1'yun4
广告牌	guang3'gao4'pai2
和议	he2'yi4
红枣	hong2'zao3
蝗虫	huang2'chong2
搅拌	jiao3'ban4
聚合	ju4'he2
绝妙	jue2'miao4
空谈	kong1'tan2
联队	lian2'dui4
美酒	mei3'jiu3
瞥见	pie1'jian4
溶剂	rong2'ji4
山岭	shan1'ling3
同伙	tong2'huo3
一本正经	yi1'ben3'zheng4'jing1
淤泥	yu1'ni2
展览馆	zhan3'lan3'guan3
遮盖	zhe1'gai4
纸片	zhi3'pian4
壮美	zhuang4'mei3
摆正	bai3'zheng4
斑驳	ban1'bo2
槟榔	bing1'lang
待命	dai4'ming4
地租	di4'zu1
弟妹	di4'mei4
集邮	ji2'you2
将就	jiang1'jiu
卖国	mai4'guo2
模具	mu2'ju4
求婚	qiu2'hun1
山民	shan1'min2
摊主	tan1'zhu3
退学	tui4'xue2
外宾	wai4'bin1
未然	wei4'ran2
悟出	wu4'chu1
由得	you2'de
圆桌	yuan2'zhuo1
增补	zeng1'bu3
自助	zi4'zhu4
钻探	zuan1'tan4
报载	bao4'zai4
并茂	bing4'mao4
不济	bu4'ji4
第二产业	di4'er4'chan3'ye4
东面	dong1'mian4
独身	du2'shen1
搁浅	ge1'qian3
坚毅	jian1'yi4
紧急状态	jin3'ji2'zhuang4'tai4
起居	qi3'ju1
三思	san1'si1
审判员	shen3'pan4'yuan2
收割机	shou1'ge1'ji1
熟睡	shu2'shui4
梯队	ti1'dui4
万年	wan4'nian2
嘻嘻哈哈	xi1'xi1'ha1'ha1
小弟	xiao3'di4
信服	xin4'fu2
学成	xue2'cheng2
应有尽有	ying1'you3'jin4'you3
赞歌	zan4'ge1
责任田	ze2'ren4'tian2
专车	zhuan1'che1
宗族	zong1'zu2
逼供	bi1'gong4
不孝	bu4'xiao4
称霸	cheng1'ba4
处事	chu3'shi4
底线	di3'xian4
罚金	fa2'jin1
防盗	fang2'dao4
国语	guo2'yu3
海鸥	hai3'ou1
红脸	hong2'lian3
会址	hui4'zhi3
激越	ji1'yue4
街口	jie1'kou3
临时性	lin2'shi2'xing4
绿灯	lv4'deng1
配角	pei4'jue2
图景	tu2'jing3
夏收	xia4'shou1
血色	xue4'se4
银元	yin2'yuan2
迂回	yu1'hui2
展馆	zhan3'guan3
针锋相对	zhen1'feng1'xiang1'dui4
正道	zheng4'dao4
粽子	zong4'zi3
嘴脸	zui3'lian3
彻夜	che4'ye4
撤并	che4'bing4
出品	chu1'pin3
刺绣	ci4'xiu4
夺目	duo2'mu4
肺结核	fei4'jie2'he2
鼓词	gu3'ci2
怪圈	guai4'quan1
临别	lin2'bie2
领教	ling3'jiao4
面庞	mian4'pang2
屏风	ping2'feng1
铁丝网	tie3'si1'wang3
通畅	tong1'chang4
玩忽	wan2'hu1
微薄	wei1'bo2
造谣	zao4'yao2
责任状	ze2'ren4'zhuang4
插秧	cha1'yang1
臭味儿	chou4'wei4'er2
翠绿	cui4'lv4
党课	dang3'ke4
岛国	dao3'guo2
恩人	en1'ren2
诽谤	fei3'bang4
健美	jian4'mei3
接吻	jie1'wen3
镜框	jing4'kuang4
恪尽职守	ke4'jin4'zhi2'shou3
傀儡	kui3'lei3
笼统	long3'tong3
漏斗	lou4'dou3
缺憾	que1'han4
圣诞	sheng4'dan4
师爷	shi1'ye2
坦荡	tan3'dang4
剔除	ti1'chu2
梯度	ti1'du4
秃子	tu1'zi3
序号	xu4'hao4
悬浮	xuan2'fu2
