烘托	hong1'tuo1
后腿	hou4'tui3
化合	hua4'he2
晦气	hui4'qi4
获释	huo4'shi4
戒严	jie4'yan2
军训	jun1'xun4
苦头	ku3'tou2
拉倒	la1'dao3
老牌	lao3'pai2
炉火	lu2'huo3
睿智	rui4'zhi4
深浅	shen1'qian3
停靠	ting2'kao4
协奏曲	xie2'zou4'qu3
胁迫	xie2'po4
萦绕	ying2'rao4
冤家	yuan1'jia
元宝	yuan2'bao3
转念	zhuan3'nian4
桌面上	zhuo1'mian4'shang
白费	bai2'fei4
白鹭	bai2'lu4
成材	cheng2'cai2
登录	deng1'lu4
儿戏	er2'xi4
罚没	fa2'mo4
沸沸扬扬	fei4'fei4'yang2'yang2
个例	ge4'li4
货架	huo4'jia4
接续	jie1'xu4
进食	jin4'shi2
净土	jing4'tu3
耐用	nai4'yong4
平板	ping2'ban3
上调	shang4'diao4
省钱	sheng3'qian2
向阳	xiang4'yang2
悻悻	xing4'xing4
一家一户	yi1'jia1'yi1'hu4
战车	zhan4'che1
丛生	cong2'sheng1
独创	du2'chuang4
富农	fu4'nong2
过门	guo4'men2
横竖	heng2'shu4
划船	hua4'chuan2
化疗	hua4'liao2
兼备	jian1'bei4
考究	kao3'jiu1
亮度	liang4'du4
履约	lv3'yue1
门将	men2'jiang4
期末	qi1'mo4
气恼	qi4'nao3
琴声	qin2'sheng1
如若	ru2'ruo4
生态工程	sheng1'tai4'gong1'cheng2
诗作	shi1'zuo4
顺眼	shun4'yan3
酸性	suan1'xing4
停放	ting2'fang4
停刊	ting2'kan1
习以为常	xi2'yi3'wei2'chang2
心中有数	xin1'zhong1'you3'shu4
行政区划	xing2'zheng4'qu1'hua4
兴冲冲	xing4'chong1'chong1
性欲	xing4'yu4
章节	zhang1'jie2
制胜	zhi4'sheng4
稚气	zhi4'qi4
中式	zhong1'shi4
座椅	zuo4'yi3
缤纷	bin1'fen1
不作为	bu4'zuo4'wei2
传世	chuan2'shi4
春播	chun1'bo1
打点	da3'dian
分摊	fen1'tan1
付费	fu4'fei4
腹泻	fu4'xie4
高歌	gao1'ge1
鼓劲	gu3'jin4
火器	huo3'qi4
课余	ke4'yu2
农运会	nong2'yun4'hui4
呕心沥血	ou3'xin1'li4'xue4
起哄	qi3'hong4
恰如	qia4'ru2
前日	qian2'ri4
巧克力	qiao3'ke4'li4
热火朝天	re4'huo3'chao2'tian1
奢望	she1'wang4
时兴	shi2'xing1
水土保持	shui3'tu3'bao3'chi2
睡衣	shui4'yi1
投掷	tou2'zhi4
驼背	tuo2'bei4
温带	wen1'dai4
无所作为	wu2'suo3'zuo4'wei2
虚荣	xu1'rong2
压根儿	ya4'gen1'er
缘分	yuan2'fen4
彰显	zhang1'xian3
之流	zhi1'liu2
智者	zhi4'zhe3
终归	zhong1'gui1
白皙	bai2'xi1
补丁	bu3'ding
单据	dan1'ju4
飞碟	fei1'die2
高教	gao1'jiao4
跟头	gen1'tou2
攻防	gong1'fang2
环抱	huan2'bao4
奖品	jiang3'pin3
紧凑	jin3'cou4
零售额	ling2'shou4'e2
内乱	nei4'luan4
烹调	peng1'tiao2
破损	po4'sun3
实证	shi2'zheng4
体格	ti3'ge2
未定	wei4'ding4
蔚然成风	wei4'ran2'cheng2'feng1
宣传品	xuan1'chuan2'pin3
要好	yao4'hao3
野战	ye3'zhan4
以利于	yi3'li4'yu2
语句	yu3'ju4
在押	zai4'ya1
战战兢兢	zhan4'zhan4'jing1'jing1
遮挡	zhe1'dang3
中肯	zhong4'ken3
白衣天使	bai2'yi1'tian1'shi3
采编	cai3'bian1
插队	cha1'dui4
传神	chuan2'shen2
大殿	da4'dian4
代言人	dai4'yan2'ren2
待业	dai4'ye4
缎子	duan4'zi3
改换	gai3'huan4
割据	ge1'ju4
枸杞	gou3'qi3
花子	hua1'zi3
谎话	huang3'hua4
祸害	huo4'hai
可歌可泣	ke3'ge1'ke3'qi4
貌似	mao4'si4
苗条	miao2'tiao
名胜古迹	ming2'sheng4'gu3'ji4
乞求	qi3'qiu2
情状	qing2'zhuang4
全日制	quan2'ri4'zhi4
私家	si1'jia1
脱胎换骨	tuo1'tai1'huan4'gu3
威慑	wei1'she4
相抵	xiang1'di3
血浆	xue4'jiang1
殷实	yin1'shi2
引爆	yin3'bao4
印记	yin4'ji4
真善美	zhen1'shan4'mei3
助威	zhu4'wei1
自然人	zi4'ran2'ren2
自由自在	zi4'you2'zi4'zai4
组阁	zu3'ge2
仓促	cang1'cu4
成活	cheng2'huo2
洞察	dong4'cha2
风化	feng1'hua4
斧头	fu3'tou2
父辈	fu4'bei4
刚毅	gang1'yi4
高高在上	gao1'gao1'zai4'shang4
瓜分	gua1'fen1
货轮	huo4'lun2
获益	huo4'yi4
坚韧不拔	jian1'ren4'bu4'ba2
静脉	jing4'mai4
开机	kai1'ji1
力克	li4'ke4
粮库	liang2'ku4
流产	liu2'chan3
轮训	lun2'xun4
猫头鹰	mao1'tou2'ying1
慕名	mu4'ming2
嗫嚅	nie4'ru2
女朋友	nv3'peng2'you3
叛变	pan4'bian4
山石	shan1'shi2
思忖	si1'cun3
特快专递	te4'kuai4'zhuan1'di4
土质	tu3'zhi4
外间	wai4'jian1
鲜为人知	xian1'wei2'ren2'zhi1
一蹴而就	yi1'cu4'er2'jiu4
异乡	yi4'xiang1
异于	yi4'yu2
引人入胜	yin3'ren2'ru4'sheng4
臃肿	yong1'zhong3
眨巴	zha3'ba1
镇子	zhen4'zi3
脂粉	zhi1'fen3
本分	ben3'fen4
不啻	bu4'chi4
参评	can1'ping2
