安息	an1'xi1
船夫	chuan2'fu1
得救	de2'jiu4
恶作剧	e4'zuo4'ju4
花花绿绿	hua1'hua1'lv4'lv4
辉映	hui1'ying4
获救	huo4'jiu4
碱性	jian3'xing4
讲坛	jiang3'tan2
聚众	ju4'zhong4
评分	ping2'fen1
匍匐	pu2'fu2
清高	qing1'gao1
人民战争	ren2'min2'zhan4'zheng1
伤兵	shang1'bing1
设防	she4'fang2
收兵	shou1'bing1
手电筒	shou3'dian4'tong3
手写	shou3'xie3
疏于	shu1'yu2
顺心	shun4'xin1
说理	shuo1'li3
肃然起敬	su4'ran2'qi3'jing4
铁皮	tie3'pi2
细说	xi4'shuo1
炎炎	yan2'yan2
演奏家	yan3'zou4'jia1
幽暗	you1'an4
职代会	zhi2'dai4'hui4
徜徉	chang2'yang2
当差	dang1'chai1
负重	fu4'zhong4
拐弯	guai3'wan1
呵欠	he1'qian4
铿锵	keng1'qiang1
乱世	luan4'shi4
民智	min2'zhi4
评剧	ping2'ju4
清点	qing1'dian3
驱散	qu1'san4
设宴	she4'yan4
水塘	shui3'tang2
随之而来	sui2'zhi1'er2'lai2
提要	ti2'yao4
相提并论	xiang1'ti2'bing4'lun4
雄辩	xiong2'bian4
养病	yang3'bing4
中路	zhong1'lu4
钟爱	zhong1'ai4
中意	zhong4'yi4
表面文章	biao3'mian4'wen2'zhang1
不消说	bu4'xiao1'shuo1
参天	can1'tian1
惨败	can3'bai4
概况	gai4'kuang4
股民	gu3'min2
哈欠	ha1'qian
何止	he2'zhi3
加速器	jia1'su4'qi4
快攻	kuai4'gong1
历尽	li4'jin4
民族英雄	min2'zu2'ying1'xiong2
名医	ming2'yi1
拿手	na2'shou3
农业社	nong2'ye4'she4
弃权	qi4'quan2
勤务	qin2'wu4
乳汁	ru3'zhi1
试用期	shi4'yong4'qi1
物色	wu4'se4
修长	xiu1'chang2
仪仗队	yi2'zhang4'dui4
秉承	bing3'cheng2
成灾	cheng2'zai1
挫败	cuo4'bai4
而立	er2'li4
浮肿	fu2'zhong3
共生	gong4'sheng1
互换	hu4'huan4
经由	jing1'you2
敬酒	jing4'jiu3
牢房	lao2'fang2
柳条	liu3'tiao2
落差	luo4'cha1
冒昧	mao4'mei4
上等	shang4'deng3
实测	shi2'ce4
使然	shi3'ran2
书屋	shu1'wu1
水银	shui3'yin2
随处	sui2'chu4
突起	tu1'qi3
退路	tui4'lu4
些许	xie1'xu3
夭折	yao1'zhe2
意蕴	yi4'yun4
应声	ying1'sheng1
邮编	you2'bian1
余粮	yu2'liang2
账号	zhang4'hao4
按钮	an4'niu3
八方	ba1'fang1
白昼	bai2'zhou4
断层	duan4'ceng2
躲闪	duo3'shan3
谷物	gu3'wu4
关节炎	guan1'jie2'yan2
后遗症	hou4'yi2'zheng4
花鸟	hua1'niao3
火辣辣	huo3'la4'la4
监护人	jian1'hu4'ren2
决胜	jue2'sheng4
绿化带	lv4'hua4'dai4
蓬蓬	peng2'peng2
求证	qiu2'zheng4
伤财	shang1'cai2
商检	shang1'jian3
俗气	su2'qi4
小径	xiao3'jing4
羽绒服	yu3'rong2'fu2
云层	yun2'ceng2
作乱	zuo4'luan4
拜托	bai4'tuo1
冰球	bing1'qiu2
猖狂	chang1'kuang2
调运	diao4'yun4
嘟囔	du1'nang1
过火	guo4'huo3
航天器	hang2'tian1'qi4
浩劫	hao4'jie2
衡山	heng2'shan1
会心	hui4'xin1
教皇	jiao4'huang2
津津乐道	jin1'jin1'le4'dao4
魁梧	kui2'wu2
礼教	li3'jiao4
两头	liang3'tou2
列队	lie4'dui4
迷糊	mi2'hu
喷洒	pen1'sa3
冉冉	ran3'ran3
容积	rong2'ji1
商厦	shang1'sha4
石狮	shi2'shi1
水泄不通	shui3'xie4'bu4'tong1
四散	si4'san4
头骨	tou2'gu3
兄长	xiong1'zhang3
夜以继日	ye4'yi3'ji4'ri4
有脸	you3'lian3
自嘲	zi4'chao2
词义	ci2'yi4
耳机	er3'ji1
各负其责	ge4'fu4'qi2'ze2
宏图	hong2'tu2
脍炙人口	kuai4'zhi4'ren2'kou3
马达	ma3'da2
民意测验	min2'yi4'ce4'yan4
能人	neng2'ren2
轻巧	qing1'qiao3
深陷	shen1'xian4
夙愿	su4'yuan4
速写	su4'xie3
探访	tan4'fang3
同感	tong2'gan3
吞没	tun1'mo4
下跪	xia4'gui4
新老交替	xin1'lao3'jiao1'ti4
雅致	ya3'zhi
亚当	ya4'dang1
眼见得	yan3'jian4'de
扬长避短	yang2'chang2'bi4'duan3
一清二楚	yi1'qing1'er4'chu3
溢出	yi4'chu1
原判	yuan2'pan4
赃物	zang1'wu4
折叠	zhe2'die2
着哩	zhe'li
中转	zhong1'zhuan3
自满	zi4'man3
纵使	zong4'shi3
霸占	ba4'zhan4
保有	bao3'you3
财团	cai2'tuan2
沉降	chen2'jiang4
抽空	chou1'kong4
代理商	dai4'li3'shang1
底气	di3'qi4
分层	fen1'ceng2
挂靠	gua4'kao4
