念经	nian4'jing1
浓密	nong2'mi4
情事	qing2'shi4
群星	qun2'xing1
戍边	shu4'bian1
套话	tao4'hua4
腿脚	tui3'jiao3
席间	xi2'jian1
嚣张	xiao1'zhang1
刑场	xing2'chang3
血统	xue4'tong3
衣领	yi1'ling3
阴险	yin1'xian3
勇往直前	yong3'wang3'zhi2'qian2
有据	you3'ju4
霸道	ba4'dao4
半途	ban4'tu2
边际	bian1'ji4
兵营	bing1'ying2
葱茏	cong1'long2
登顶	deng1'ding3
鼎盛	ding3'sheng4
公证处	gong1'zheng4'chu3
广厦	guang3'sha4
国徽	guo2'hui1
旱地	han4'di4
活像	huo2'xiang4
火线	huo3'xian4
激光器	ji1'guang1'qi4
几度	ji3'du4
嫁妆	jia4'zhuang1
检点	jian3'dian3
精神	jing1'shen
圈养	juan4'yang3
朗读	lang3'du2
耐力	nai4'li4
品学兼优	pin3'xue2'jian1'you1
聘任制	pin4'ren4'zhi4
扑鼻	pu1'bi2
球门	qiu2'men2
蛇头	she2'tou2
同源	tong2'yuan2
选聘	xuan3'pin4
疑点	yi2'dian3
音乐厅	yin1'yue4'ting1
展翅	zhan3'chi4
治标	zhi4'biao1
壮志	zhuang4'zhi4
综观	zong1'guan1
爱抚	ai4'fu3
变数	bian4'shu4
残存	can2'cun2
筹款	chou2'kuan3
放水	fang4'shui3
非同寻常	fei1'tong2'xun2'chang2
扶手	fu2'shou3
改行	gai3'hang2
盖子	gai4'zi
红霞	hong2'xia2
欢聚	huan1'ju4
节拍	jie2'pai1
就学	jiu4'xue2
拘泥	ju1'ni4
木船	mu4'chuan2
糯米	nuo4'mi3
日文	ri4'wen2
山楂	shan1'zha1
上策	shang4'ce4
铜板	tong2'ban3
务要	wu4'yao4
心房	xin1'fang2
中常	zhong1'chang2
著书	zhu4'shu1
按说	an4'shuo1
不兴	bu4'xing1
残骸	can2'hai2
残破	can2'po4
城关	cheng2'guan1
大礼堂	da4'li3'tang2
呆板	dai1'ban3
恶魔	e4'mo2
肥肉	fei2'rou4
金石	jin1'shi2
起用	qi3'yong4
汽笛	qi4'di2
前驱	qian2'qu1
求教	qiu2'jiao4
人尽其才	ren2'jin4'qi2'cai2
入院	ru4'yuan4
三三两两	san1'san1'liang3'liang3
