缔约	di4'yue1
奉为	feng4'wei2
海绵	hai3'mian2
呼噜	hu1'lu1
胡琴	hu2'qin2
继父	ji4'fu4
脸谱	lian3'pu3
卖方	mai4'fang1
排序	pai2'xu4
捧场	peng3'chang3
凭吊	ping2'diao4
棋子	qi2'zi3
峭壁	qiao4'bi4
情书	qing2'shu1
认准	ren4'zhun3
乳头	ru3'tou2
失色	shi1'se4
市话	shi4'hua4
受制	shou4'zhi4
输赢	shu1'ying2
颂歌	song4'ge1
所以然	suo3'yi3'ran2
天涯海角	tian1'ya2'hai3'jiao3
徒刑	tu2'xing2
土生土长	tu3'sheng1'tu3'zhang3
湍流	tuan1'liu2
瓦砾	wa3'li4
稳产	wen3'chan3
问好	wen4'hao3
物产	wu4'chan3
唏嘘	xi1'xu1
犀利	xi1'li4
下肢	xia4'zhi1
形象思维	xing2'xiang4'si1'wei2
沿江	yan2'jiang1
折服	zhe2'fu2
珍重	zhen1'zhong4
并进	bing4'jin4
成亲	cheng2'qin1
筹码	chou2'ma3
创优	chuang4'you1
对垒	dui4'lei3
多极	duo1'ji2
鬼鬼祟祟	gui3'gui3'sui4'sui4
祭祖	ji4'zu3
结核	jie2'he2
救火	jiu4'huo3
拒之门外	ju4'zhi1'men2'wai4
口哨儿	kou3'shao4'er
连衣裙	lian2'yi1'qun2
名校	ming2'xiao4
摩登	mo2'deng1
拟订	ni3'ding4
年少	nian2'shao4
破天荒	po4'tian1'huang1
热带雨林	re4'dai4'yu3'lin2
三部曲	san1'bu4'qu3
食客	shi2'ke4
视同	shi4'tong2
收工	shou1'gong1
思想体系	si1'xiang3'ti3'xi4
四通八达	si4'tong1'ba1'da2
田家	tian2'jia1
通融	tong1'rong2
武斗	wu3'dou3
西药	xi1'yao4
香料	xiang1'liao4
硝酸	xiao1'suan1
心路	xin1'lu4
行宫	xing2'gong1
押解	ya1'jie4
仰面	yang3'mian4
要饭	yao4'fan4
因循守旧	yin1'xun2'shou3'jiu4
樟树	zhang1'shu4
真菌	zhen1'jun1
中考	zhong1'kao3
忠义	zhong1'yi4
众议员	zhong4'yi4'yuan2
注解	zhu4'jie3
总责	zong3'ze2
遨游	ao2'you2
把式	ba3'shi
草棚	cao3'peng2
啜泣	chuo4'qi4
辞行	ci2'xing2
定睛	ding4'jing1
发黄	fa1'huang2
翻番	fan1'fan1
芳草	fang1'cao3
佛经	fo2'jing1
供过于求	gong1'guo4'yu2'qiu2
好色	hao4'se4
叫嚷	jiao4'rang3
抗原	kang4'yuan2
买办	mai3'ban4
门子	men2'zi3
谬误	miu4'wu4
磨合	mo2'he2
泣不成声	qi4'bu4'cheng2'sheng1
清官	qing1'guan1
人名	ren2'ming2
烧饭	shao1'fan4
奢华	she1'hua2
嗣位	si4'wei4
俗话	su2'hua4
酸甜	suan1'tian2
弹琴	dan4'qin2
天象	tian1'xiang4
童子	tong2'zi3
突袭	tu1'xi2
托付	tuo1'fu4
先行者	xian1'xing2'zhe3
星罗棋布	xing1'luo2'qi2'bu4
阎王	yan2'wang
夜市	ye4'shi4
隐私权	yin3'si1'quan2
宅院	zhai2'yuan4
自足	zi4'zu2
半月刊	ban4'yue4'kan1
北魏	bei3'wei4
成堆	cheng2'dui1
痴情	chi1'qing2
冬瓜	dong1'gua1
毒贩	du2'fan4
耳熟能详	er3'shu2'neng2'xiang2
光明磊落	guang1'ming2'lei3'luo4
国体	guo2'ti3
候补	hou4'bu3
划归	hua4'gui1
降职	jiang4'zhi2
接头	jie1'tou2
苦果	ku3'guo3
碰壁	peng4'bi4
欺压	qi1'ya1
旗子	qi2'zi3
汽水	qi4'shui3
染料	ran3'liao4
时值	shi2'zhi2
四时	si4'shi2
松柏	song1'bai3
送货	song4'huo4
诉讼法	su4'song4'fa3
酸痛	suan1'tong4
托运	tuo1'yun4
委实	wei3'shi2
先秦	xian1'qin2
心安理得	xin1'an1'li3'de2
赠给	zeng4'gei3
针织	zhen1'zhi1
直销	zhi2'xiao1
赚取	zhuan4'qu3
追杀	zhui1'sha1
备课	bei4'ke4
大显身手	da4'xian3'shen1'shou3
恩爱	en1'ai4
分部	fen1'bu4
覆辙	fu4'zhe2
隔开	ge2'kai1
功用	gong1'yong4
侃侃而谈	kan3'kan3'er2'tan2
内核	nei4'he2
叛军	pan4'jun1
婆媳	po2'xi2
凄然	qi1'ran2
起早	qi3'zao3
时钟	shi2'zhong1
填充	tian2'chong1
围堰	wei2'yan4
西式	xi1'shi4
嫌弃	xian2'qi4
嫌疑犯	xian2'yi2'fan4
相依为命	xiang1'yi1'wei2'ming4
相宜	xiang1'yi2
心力	xin1'li4
余热	yu2're4
主讲	zhu3'jiang3
惨淡	can3'dan4
承运	cheng2'yun4
传唱	chuan2'chang4
淡然	dan4'ran2
德语	de2'yu3
登记表	deng1'ji4'biao3
垫付	dian4'fu4
附录	fu4'lu4
古往今来	gu3'wang3'jin1'lai2
淮海	huai2'hai3
交售	jiao1'shou4
轿夫	jiao4'fu1
拮据	jie2'ju1
尽兴	jin4'xing4
绝缘	jue2'yuan2
可有可无	ke3'you3'ke3'wu2
克里姆林宫	ke4'li3'mu3'lin2'gong1
狂奔	kuang2'ben1
历史剧	li4'shi3'ju4
疗养	liao2'yang3
裂开	lie4'kai1
麦收	mai4'shou1
南朝	nan2'chao2
上半时	shang4'ban4'shi2
尚待	shang4'dai4
少许	shao3'xu3
跳台	tiao4'tai2
萧萧	xiao1'xiao1
效忠	xiao4'zhong1
一己	yi1'ji3
游历	you2'li4
招徕	zhao1'lai2
茶碗	cha2'wan3
柴禾	chai2'he2
担保人	dan1'bao3'ren2
瞪眼	deng4'yan3
