港商	gang3'shang1
合约	he2'yue1
横贯	heng2'guan4
籍贯	ji2'guan4
脊柱	ji3'zhu4
炯炯	jiong3'jiong3
举目	ju3'mu4
苦口婆心	ku3'kou3'po2'xin1
懒散	lan3'san3
买进	mai3'jin4
麦穗	mai4'sui4
棉裤	mian2'ku4
民宅	min2'zhai2
青苗	qing1'miao2
请柬	qing3'jian3
取乐	qu3'le4
去留	qu4'liu2
人才辈出	ren2'cai2'bei4'chu1
丧气	sang4'qi
扫视	sao3'shi4
神威	shen2'wei1
神像	shen2'xiang4
死鬼	si3'gui3
唐人街	tang2'ren2'jie1
套种	tao4'zhong4
痛心疾首	tong4'xin1'ji2'shou3
伪科学	wei3'ke1'xue2
窝囊废	wo1'nang'fei4
无独有偶	wu2'du2'you3'ou3
席子	xi2'zi3
消退	xiao1'tui4
心气	xin1'qi4
刑律	xing2'lv4
一尘不染	yi1'chen2'bu4'ran3
一五一十	yi1'wu3'yi1'shi2
诱因	you4'yin1
御寒	yu4'han2
在案	zai4'an4
真知灼见	zhen1'zhi1'zhuo2'jian4
整机	zheng3'ji1
旨意	zhi3'yi4
芭蕉	ba1'jiao1
白话文	bai2'hua4'wen2
勃发	bo2'fa1
不备	bu4'bei4
查禁	cha2'jin4
岔开	cha4'kai1
触发	chu4'fa1
大西南	da4'xi1'nan2
大有希望	da4'you3'xi1'wang4
得用	de2'yong4
对抗性	dui4'kang4'xing4
发型	fa4'xing2
风尘仆仆	feng1'chen2'pu2'pu2
峰顶	feng1'ding3
孵化器	fu1'hua4'qi4
附和	fu4'he4
糊糊	hu2'hu
华西	hua2'xi1
架次	jia4'ci4
今生	jin1'sheng1
敬老	jing4'lao3
举步维艰	ju3'bu4'wei2'jian1
拒收	ju4'shou1
绝伦	jue2'lun2
明码	ming2'ma3
内控	nei4'kong4
溺爱	ni4'ai4
农会	nong2'hui4
蜷缩	quan2'suo1
善战	shan4'zhan4
省略	sheng3'lue4
他用	ta1'yong4
退走	tui4'zou3
吞并	tun1'bing4
脱产	tuo1'chan3
