斗篷	dou3'peng
恶臭	e4'chou4
翻山越岭	fan1'shan1'yue4'ling3
放大镜	fang4'da4'jing4
丰年	feng1'nian2
风骨	feng1'gu3
缝合	feng2'he2
寒心	han2'xin1
河马	he2'ma3
回放	hui2'fang4
会客室	hui4'ke4'shi4
活期	huo2'qi1
舰船	jian4'chuan2
解闷	jie3'men4
苦水	ku3'shui3
雷击	lei2'ji1
粮田	liang2'tian2
淋巴	lin2'ba1
路况	lu4'kuang4
迷路	mi2'lu4
民力	min2'li4
翩翩	pian1'pian1
平心而论	ping2'xin1'er2'lun4
起降	qi3'jiang4
取自	qu3'zi4
绒线	rong2'xian4
赛会	sai4'hui4
上端	shang4'duan1
释迦牟尼	shi4'jia1'mou2'ni2
受审	shou4'shen3
私欲	si1'yu4
肃静	su4'jing4
停职	ting2'zhi2
外因	wai4'yin1
未婚夫	wei4'hun1'fu1
无垠	wu2'yin2
毋庸置疑	wu2'yong1'zhi4'yi2
下蛋	xia4'dan4
想得到	xiang3'de'dao4
星辰	xing1'chen2
野鸡	ye3'ji1
一条心	yi1'tiao2'xin1
意气	yi4'qi4
熠熠	yi4'yi4
浴池	yu4'chi2
预付	yu4'fu4
账单	zhang4'dan1
辈出	bei4'chu1
比值	bi3'zhi2
闭目	bi4'mu4
不同凡响	bu4'tong2'fan2'xiang3
惨死	can3'si3
车行	che1'xing2
成批	cheng2'pi1
赤条条	chi4'tiao2'tiao2
充盈	chong1'ying2
东非	dong1'fei1
镀金	du4'jin1
反作用	fan3'zuo4'yong4
富庶	fu4'shu4
柑橘	gan1'ju2
高招	gao1'zhao1
各自为政	ge4'zi4'wei2'zheng4
过世	guo4'shi4
合眼	he2'yan3
黑板报	hei1'ban3'bao4
混为一谈	hun4'wei2'yi1'tan2
积肥	ji1'fei2
箭头	jian4'tou2
脚板	jiao3'ban3
解毒	jie3'du2
绝招	jue2'zhao1
军粮	jun1'liang2
苦不堪言	ku3'bu4'kan1'yan2
阔气	kuo4'qi4
老东西	lao3'dong1'xi1
猛兽	meng3'shou4
纽扣	niu3'kou4
农事	nong2'shi4
前妻	qian2'qi1
欠身	qian4'shen1
敲定	qiao1'ding4
翘首	qiao2'shou3
石英	shi2'ying1
疏漏	shu1'lou4
水波	shui3'bo1
死因	si3'yin1
特设	te4'she4
托盘	tuo1'pan2
椭圆	tuo3'yuan2
未遂	wei4'sui4
稳当	wen3'dang
香肠	xiang1'chang2
刑事拘留	xing2'shi4'ju1'liu2
烟消云散	yan1'xiao1'yun2'san4
奄奄一息	yan3'yan3'yi1'xi1
谣传	yao2'chuan2
乙方	yi3'fang1
抑郁症	yi4'yu4'zheng4
月季	yue4'ji4
直说	zhi2'shuo1
中饭	zhong1'fan4
忠心耿耿	zhong1'xin1'geng3'geng3
转正	zhuan3'zheng4
自告奋勇	zi4'gao4'fen4'yong3
班次	ban1'ci4
斑点	ban1'dian3
伯爵	bo2'jue2
肠道	chang2'dao4
吵嘴	chao3'zui3
大同小异	da4'tong2'xiao3'yi4
单间	dan1'jian1
淡雅	dan4'ya3
订票	ding4'piao4
拂晓	fu2'xiao3
改任	gai3'ren4
河套	he2'tao4
花边	hua1'bian1
浑然	hun2'ran2
明证	ming2'zheng4
漠不关心	mo4'bu4'guan1'xin1
木星	mu4'xing1
浓雾	nong2'wu4
迫击炮	pai3'ji1'pao4
铺面	pu4'mian4
曲解	qu1'jie3
全自动	quan2'zi4'dong4
善本	shan4'ben3
石匠	shi2'jiang
适才	shi4'cai2
水性	shui3'xing4
弹奏	tan2'zou4
提货	ti2'huo4
帖子	tie3'zi
统揽	tong3'lan3
退居	tui4'ju1
畏难	wei4'nan2
下行	xia4'xing2
新著	xin1'zhe
摇滚	yao2'gun3
遇事	yu4'shi4
葬身	zang4'shen1
宝岛	bao3'dao3
暴跌	bao4'die1
标示	biao1'shi4
长眠	chang2'mian2
承袭	cheng2'xi2
