粮票	liang2'piao4
趔趄	lie4'qie
馍馍	mo2'mo2
模板	mu2'ban3
前世	qian2'shi4
让路	rang4'lu4
饶有	rao2'you3
神经质	shen2'jing1'zhi4
侍从	shi4'cong2
丝线	si1'xian4
外乡人	wai4'xiang1'ren2
望风	wang4'feng1
效劳	xiao4'lao2
新知	xin1'zhi1
雪灾	xue3'zai1
寻呼	xun2'hu1
一干二净	yi1'gan1'er4'jing4
仪仗	yi2'zhang4
银河系	yin2'he2'xi4
乐坛	yue4'tan2
只争朝夕	zhi3'zheng1'zhao1'xi1
置若罔闻	zhi4'ruo4'wang3'wen2
猪场	zhu1'chang3
住地	zhu4'di4
抓举	zhua1'ju3
准绳	zhun3'sheng2
紫红	zi3'hong2
傲然	ao4'ran2
不可告人	bu4'ke3'gao4'ren2
成虫	cheng2'chong2
雕花	diao1'hua1
定势	ding4'shi4
多寡	duo1'gua3
复方	fu4'fang1
概述	gai4'shu4
告慰	gao4'wei4
观潮	guan1'chao2
酣睡	han1'shui4
黑车	hei1'che1
花丛	hua1'cong2
华灯	hua2'deng1
谎称	huang3'cheng1
活命	huo2'ming4
夹带	jia1'dai4
诘问	jie2'wen4
精制	jing1'zhi4
警种	jing3'zhong3
慷慨解囊	kang1'kai3'jie3'nang2
刻度	ke4'du4
垦荒	ken3'huang1
口信	kou3'xin4
雷暴	lei2'bao4
铃铛	ling2'dang
凌辱	ling2'ru3
卵细胞	luan3'xi4'bao1
糜烂	mi2'lan4
闹钟	nao4'zhong1
内室	nei4'shi4
年成	nian2'cheng
拍手称快	pai1'shou3'cheng1'kuai4
赔本	pei2'ben3
破浪	po4'lang4
忍辱	ren3'ru3
哨子	shao4'zi3
深究	shen1'jiu1
生长期	sheng1'zhang3'qi1
声波	sheng1'bo1
声色	sheng1'se4
师姐	shi1'jie3
水城	shui3'cheng2
瞬息万变	shun4'xi1'wan4'bian4
四邻	si4'lin2
踏板	ta4'ban3
太爷	tai4'ye2
特工	te4'gong1
调价	tiao2'jia4
同甘共苦	tong2'gan1'gong4'ku3
为所欲为	wei2'suo3'yu4'wei2
误事	wu4'shi4
先知	xian1'zhi1
新功	xin1'gong1
杨梅	yang2'mei2
移风易俗	yi2'feng1'yi4'su2
邮购	you2'gou4
自习	zi4'xi2
棒槌	bang4'chui2
暴徒	bao4'tu2
菜谱	cai4'pu3
参议	can1'yi4
岔子	cha4'zi3
吃香	chi1'xiang1
创始	chuang4'shi3
倒置	dao4'zhi4
掉队	diao4'dui4
额定	e2'ding4
风驰电掣	feng1'chi2'dian4'che4
风霜	feng1'shuang1
公论	gong1'lun4
蛊惑	gu3'huo4
馆员	guan3'yuan2
光速	guang1'su4
汗衫	han4'shan1
核裁军	he2'cai2'jun1
华贵	hua2'gui4
讳言	hui4'yan2
活体	huo2'ti3
祸根	huo4'gen1
巨轮	ju4'lun2
拷贝	kao3'bei4
亏待	kui1'dai4
落花	luo4'hua1
满天飞	man3'tian1'fei1
梦乡	meng4'xiang1
茉莉花	mo4'li4'hua1
飘散	piao1'san4
强强联合	qiang2'qiang2'lian2'he2
窃窃	qie4'qie4
权钱交易	quan2'qian2'jiao1'yi4
软骨	ruan3'gu3
煞有介事	sha4'you3'jie4'shi4
山坳	shan1'ao4
山势	shan1'shi4
深加工	shen1'jia1'gong1
失陷	shi1'xian4
梳子	shu1'zi3
苔藓	tai2'xian3
停歇	ting2'xie1
土豪	tu3'hao2
土话	tu3'hua4
宣纸	xuan1'zhi3
涌流	yong3'liu2
柚子	you2'zi3
支取	zhi1'qu3
制式	zhi4'shi4
自动控制	zi4'dong4'kong4'zhi4
板材	ban3'cai2
毙命	bi4'ming4
变电站	bian4'dian4'zhan4
擦洗	ca1'xi3
才气	cai2'qi4
草堂	cao3'tang2
刹那	cha4'na4
拆迁户	chai1'qian1'hu4
叱咤	chi4'zha4
初八	chu1'ba1
初选	chu1'xuan3
德政	de2'zheng4
地力	di4'li4
发号施令	fa1'hao4'shi1'ling4
放逐	fang4'zhu2
逛街	guang4'jie1
好玩儿	hao3'wan2'er
合龙	he2'long2
甲醇	jia3'chun2
甲鱼	jia3'yu2
教程	jiao4'cheng2
静候	jing4'hou4
老大哥	lao3'da4'ge1
鳞次栉比	lin2'ci4'zhi4'bi3
盲区	mang2'qu1
民权	min2'quan2
名望	ming2'wang4
魔术师	mo2'shu4'shi1
怒不可遏	nu4'bu4'ke3'e4
排解	pai2'jie3
贫困线	pin2'kun4'xian4
清苦	qing1'ku3
拳头产品	quan2'tou2'chan3'pin3
瑞雪	rui4'xue3
煞白	sha4'bai2
摄影机	she4'ying3'ji1
神经衰弱	shen2'jing1'shuai1'ruo4
始发	shi3'fa1
收税	shou1'shui4
托词;托辞	tuo1'ci2
习惯性	xi2'guan4'xing4
系列化	xi4'lie4'hua4
言中	yan2'zhong1
要件	yao4'jian4
寓于	yu4'yu2
月夜	yue4'ye4
知识面	zhi1'shi'mian4
中山装	zhong1'shan1'zhuang1
重赏	zhong4'shang3
重油	zhong4'you2
自私自利	zi4'si1'zi4'li4
拆卸	chai1'xie4
承包商	cheng2'bao1'shang1
冲锋枪	chong1'feng1'qiang1
重提	zhong4'ti2
赐予	ci4'yu3
打铁	da3'tie3
灯具	deng1'ju4
电离	dian4'li2
定做	ding4'zuo4
