相配	xiang1'pei4
香喷喷	xiang1'pen1'pen1
心性	xin1'xing4
新政	xin1'zheng4
凶杀	xiong1'sha1
野兔	ye3'tu4
液压	ye4'ya1
一准	yi1'zhun3
议院	yi4'yuan4
异国他乡	yi4'guo2'ta1'xiang1
异乎寻常	yi4'hu1'xun2'chang2
正路	zheng4'lu4
自下而上	zi4'xia4'er2'shang4
最后通牒	zui4'hou4'tong1'die2
作假	zuo4'jia3
啊哟	a1'yo1
报业	bao4'ye4
笔杆儿	bi3'gan3'er
拨号	bo1'hao4
不相上下	bu4'xiang1'shang4'xia4
部颁	bu4'ban1
参见	can1'jian4
答疑	da2'yi2
单说	dan1'shuo1
灯盏	deng1'zhan3
低空	di1'kong1
地方戏	di4'fang1'xi4
店面	dian4'mian4
饭食	fan4'shi
飞机场	fei1'ji1'chang3
俘获	fu2'huo4
高干	gao1'gan4
公会	gong1'hui4
光波	guang1'bo1
汗流浃背	han4'liu2'jia1'bei4
花团锦簇	hua1'tuan2'jin3'cu4
缓步	huan3'bu4
婚外恋	hun1'wai4'lian4
进餐	jin4'can1
精兵强将	jing1'bing1'qiang2'jiang1
救亡	jiu4'wang2
军械	jun1'xie4
枯草	ku1'cao3
老伴儿	lao3'ban4'er2
立定	li4'ding4
临摹	lin2'mo2
皮大衣	pi2'da4'yi1
扑倒	pu1'dao3
前胸	qian2'xiong1
敲锣打鼓	qiao1'luo2'da3'gu3
青翠	qing1'cui4
屈从	qu1'cong2
躯壳	qu1'qiao4
溶洞	rong2'dong4
身长	shen1'chang2
甚或	shen4'huo4
生肖	sheng1'xiao4
土地改革	tu3'di4'gai3'ge2
颓丧	tui2'sang4
望日	wang4'ri4
窝点	wo1'dian3
物美价廉	wu4'mei3'jia4'lian2
物欲	wu4'yu4
心惊肉跳	xin1'jing1'rou4'tiao4
性灵	xing4'ling2
亚运村	ya4'yun4'cun1
一无所获	yi1'wu2'suo3'huo4
遗志	yi2'zhi4
异彩	yi4'cai3
阴间	yin1'jian1
引言	yin3'yan2
油腻	you2'ni4
幼时	you4'shi2
原件	yuan2'jian4
月子	yue4'zi3
整地	zheng3'di4
正殿	zheng4'dian4
止痛	zhi3'tong4
竹篮	zhu2'lan2
祝词	zhu4'ci2
专刊	zhuan1'kan1
哀思	ai1'si1
本行	ben3'hang2
并联	bing4'lian2
不支	bu4'zhi1
草房	cao3'fang2
除夕夜	chu2'xi1'ye4
猝不及防	cu4'bu4'ji2'fang2
大菜	da4'cai4
大忙	da4'mang2
大小便	da4'xiao3'bian4
带好儿	dai4'hao3'er
得意洋洋	de2'yi4'yang2'yang2
登岸	deng1'an4
点菜	dian3'cai4
堕入	duo4'ru4
发人深思	fa1'ren2'shen1'si1
发廊	fa4'lang2
功业	gong1'ye4
过当	guo4'dang4
黄连	huang2'lian2
火急	huo3'ji2
伙房	huo3'fang2
计价	ji4'jia4
精疲力竭	jing1'pi2'li4'jie2
拘留所	ju1'liu2'suo3
可控	ke3'kong4
枯枝	ku1'zhi1
块儿	kuai4'er
理发店	li3'fa4'dian4
力主	li4'zhu3
票友	piao4'you3
聘书	pin4'shu1
朴实无华	pu3'shi2'wu2'hua2
栖身	qi1'shen1
歧途	qi2'tu2
前敌	qian2'di2
取保	qu3'bao3
日间	ri4'jian1
冗长	rong3'chang2
商行	shang1'hang2
赏花	shang3'hua1
尸骨	shi1'gu3
守望	shou3'wang4
受惊	shou4'jing1
死板	si3'ban3
嗣后	si4'hou4
温习	wen1'xi2
习武	xi2'wu3
檄文	xi2'wen2
小心谨慎	xiao3'xin1'jin3'shen4
信步	xin4'bu4
行骗	xing2'pian4
