物象	wu4'xiang4
相随	xiang1'sui2
凶险	xiong1'xian3
烟气	yan1'qi4
养老院	yang3'lao3'yuan4
营盘	ying2'pan2
账本	zhang4'ben3
主楼	zhu3'lou2
助攻	zhu4'gong1
八仙	ba1'xian1
包涵	bao1'han
不可一世	bu4'ke3'yi1'shi4
禅师	chan2'shi1
臭虫	chou4'chong2
初学	chu1'xue2
存货	cun2'huo4
丹青	dan1'qing1
道喜	dao4'xi3
凋零	diao1'ling2
对等	dui4'deng3
复古	fu4'gu3
工程队	gong1'cheng2'dui4
公益金	gong1'yi4'jin1
光耀	guang1'yao4
锅盖	guo1'gai4
荒坡	huang1'po1
寄主	ji4'zhu3
家破人亡	jia1'po4'ren2'wang2
金银花	jin1'yin2'hua1
竟自	jing4'zi4
咖啡厅	ka1'fei1'ting1
考中	kao3'zhong1
烤鸭	kao3'ya1
烂熟	lan4'shu2
老生	lao3'sheng1
利好	li4'hao3
粮站	liang2'zhan4
两袖清风	liang3'xiu4'qing1'feng1
流沙	liu2'sha1
柳暗花明	liu3'an4'hua1'ming2
龙王	long2'wang2
路标	lu4'biao1
箩筐	luo2'kuang1
麻木不仁	ma2'mu4'bu4'ren2
美术界	mei3'shu4'jie4
内蒙	nei4'meng2
欧姆	ou1'mu3
攀援	pan1'yuan2
秋千	qiu1'qian1
三五成群	san1'wu3'cheng2'qun2
生火	sheng1'huo3
师从	shi1'cong2
实学	shi2'xue2
四下里	si4'xia4'li3
嵩山	song1'shan1
送审	song4'shen3
涂改	tu2'gai3
武林	wu3'lin2
夕阳红	xi1'yang2'hong2
鲜有	xian1'you3
小视	xiao3'shi4
雅俗共赏	ya3'su2'gong4'shang3
严整	yan2'zheng3
一盘棋	yi1'pan2'qi2
一清早	yi1'qing1'zao3
引人瞩目	yin3'ren2'zhu3'mu4
油光	you2'guang1
渔港	yu2'gang3
郁金香	yu4'jin1'xiang1
丈母娘	zhang4'mu3'niang2
自控	zi4'kong4
自刎	zi4'wen3
遵命	zun1'ming4
败类	bai4'lei4
保修	bao3'xiu1
编程	bian1'cheng2
畅饮	chang4'yin3
初六	chu1'liu4
传动	chuan2'dong4
粗制滥造	cu1'zhi4'lan4'zao4
大千世界	da4'qian1'shi4'jie4
单机	dan1'ji1
雕琢	diao1'zhuo2
掉转	diao4'zhuan3
返校	fan3'xiao4
分设	fen1'she4
干巴巴	gan1'ba1'ba1
工本费	gong1'ben3'fei4
鼓书	gu3'shu1
光彩照人	guang1'cai3'zhao4'ren2
蝈蝈儿	guo1'guo'er
过从	guo4'cong2
寒暑	han2'shu3
候审	hou4'shen3
话别	hua4'bie2
混混儿	hun4'hun'er
焦黄	jiao1'huang2
咔嚓	ka1'cha1
考据	kao3'ju4
口吃	kou3'chi1
潦倒	liao2'dao3
