无人区	wu2'ren2'qu1
腥味儿	xing1'wei4'er2
血型	xue4'xing2
摇身一变	yao2'shen1'yi1'bian4
一统天下	yi1'tong3'tian1'xia4
遗老	yi2'lao3
影壁	ying3'bi4
原形	yuan2'xing2
约定俗成	yue1'ding4'su2'cheng2
整版	zheng3'ban3
砖窑	zhuan1'yao2
转瞬	zhuan3'shun4
爱不释手	ai4'bu4'shi4'shou3
安于	an1'yu2
霸气	ba4'qi4
百感交集	bai3'gan3'jiao1'ji2
变卦	bian4'gua4
不寒而栗	bu4'han2'er2'li4
不逊	bu4'xun4
策动	ce4'dong4
参差	cen1'ci1
穿山甲	chuan1'shan1'jia3
存留	cun2'liu2
大公无私	da4'gong1'wu2'si1
大摇大摆	da4'yao2'da4'bai3
殚精竭虑	dan1'jing1'jie2'lv4
电铃	dian4'ling2
对答	dui4'da2
繁盛	fan2'sheng4
何乐而不为	he2'le4'er2'bu4'wei2
红颜	hong2'yan2
猴王	hou2'wang2
后辈	hou4'bei4
脊梁骨	ji3'liang'gu3
见长	jian4'zhang3
借债	jie4'zhai4
金丝猴	jin1'si1'hou2
聚拢	ju4'long3
决斗	jue2'dou4
考题	kao3'ti2
狂人	kuang2'ren2
立秋	li4'qiu1
连台	lian2'tai2
良方	liang2'fang1
流苏	liu2'su1
漫山遍野	man4'shan1'bian4'ye3
毛孔	mao2'kong3
南麓	nan2'lu4
尿布	niao4'bu4
拍桌子	pai1'zhuo1'zi3
排气	pai2'qi4
谦卑	qian1'bei1
亲和	qin1'he2
清茶	qing1'cha2
权宜之计	quan2'yi2'zhi1'ji4
人文科学	ren2'wen2'ke1'xue2
弱智	ruo4'zhi4
扫墓	sao3'mu4
杀气	sha1'qi4
山巅	shan1'dian1
商贾	shang1'gu3
手抄	shou3'chao1
水解	shui3'jie3
说不过去	shuo1'bu'guo4'qu4
酸溜溜	suan1'liu1'liu1
搪瓷	tang2'ci2
剔透	ti1'tou4
贴现	tie1'xian4
哇啦	wa1'la1
无休止	wu2'xiu1'zhi3
洗漱	xi3'shu4
眼花	yan3'hua1
洋葱	yang2'cong1
养女	yang3'nv3
一斑	yi1'ban1
引申	yin3'shen1
油耗	you2'hao4
油炸	you2'zha4
游艇	you2'ting3
脏乱差	zang1'luan4'cha1
债主	zhai4'zhu3
正比	zheng4'bi3
自创	zi4'chuang4
醉酒	zui4'jiu3
保送	bao3'song4
边界线	bian1'jie4'xian4
便携式	bian4'xie2'shi4
表字	biao3'zi4
鬓角	bin4'jiao3
不争	bu4'zheng1
财权	cai2'quan2
持法	chi2'fa3
充作	chong1'zuo4
打工妹	da3'gong1'mei4
打私	da3'si1
盗伐	dao4'fa2
泛泛	fan4'fan4
扉页	fei1'ye4
副科	fu4'ke1
共振	gong4'zhen4
故此	gu4'ci3
瓜农	gua1'nong2
红豆	hong2'dou4
火球	huo3'qiu2
挤奶	ji3'nai3
纪念邮票	ji4'nian4'you2'piao4
既往	ji4'wang3
祭文	ji4'wen2
歼敌	jian1'di2
坚冰	jian1'bing1
酒壶	jiu3'hu2
绝症	jue2'zheng4
军事化	jun1'shi4'hua4
开矿	kai1'kuang4
客运站	ke4'yun4'zhan4
良药	liang2'yao4
燎原	liao2'yuan2
民品	min2'pin3
牟取	mou2'qu3
耐性	nai4'xing4
普照	pu3'zhao4
齐头并进	qi2'tou2'bing4'jin4
气团	qi4'tuan2
窍门	qiao4'men2
人工智能	ren2'gong1'zhi4'neng2
舌尖	she2'jian1
势能	shi4'neng2
手球	shou3'qiu2
税负	shui4'fu4
贪官污吏	tan1'guan1'wu1'li4
螳螂	tang2'lang2
特等	te4'deng3
停课	ting2'ke4
通缉令	tong1'ji1'ling4
王位	wang2'wei4
熄灯	xi1'deng1
乡愁	xiang1'chou2
寻衅	xun2'xin4
巡展	xun2'zhan3
因人而异	yin1'ren2'er2'yi4
音阶	yin1'jie1
原原本本	yuan2'yuan2'ben3'ben3
枝子	zhi1'zi3
智育	zhi4'yu4
中国话	zhong1'guo2'hua4
装饰品	zhuang1'shi4'pin3
壮阔	zhuang4'kuo4
自知之明	zi4'zhi1'zhi1'ming2
拨弄	bo1'nong
菜籽	cai4'zi3
残雪	can2'xue3
畅游	chang4'you2
递进	di4'jin4
动漫	dong4'man4
抖落	dou3'luo4
毒手	du2'shou3
防火墙	fang2'huo3'qiang2
副高	fu4'gao1
功过	gong1'guo4
固态	gu4'tai4
观止	guan1'zhi3
贯串	guan4'chuan4
光秃	guang1'tu1
害病	hai4'bing4
货船	huo4'chuan2
缉捕	ji1'bu3
吉普	ji2'pu3
家世	jia1'shi4
尖刻	jian1'ke4
监事	jian1'shi4
健身房	jian4'shen1'fang2
尽心竭力	jin4'xin1'jie2'li4
哭闹	ku1'nao4
老丈人	lao3'zhang4'ren2
莲藕	lian2'ou3
浏览器	liu2'lan3'qi4
楼宇	lou2'yu3
灭顶之灾	mie4'ding3'zhi1'zai1
如出一辙	ru2'chu1'yi1'zhe2
设限	she4'xian4
失察	shi1'cha2
手术台	shou3'shu4'tai2
衰亡	shuai1'wang2
私语	si1'yu3
太庙	tai4'miao4
通晓	tong1'xiao3
媳妇儿	xi2'fu'er
心语	xin1'yu3
袖珍	xiu4'zhen1
选种	xuan3'zhong3
学术性	xue2'shu4'xing4
医务室	yi1'wu4'shi4
已婚	yi3'hun1
有悖于	you3'bei4'yu2
震中	zhen4'zhong1
制成品	zhi4'cheng2'pin3
中卫	zhong1'wei4
中弹	zhong1'dan4
追记	zhui1'ji4
自欺欺人	zi4'qi1'qi1'ren2
跋扈	ba2'hu4
白兰地	bai2'lan2'di4
包房	bao1'fang2
悲欢离合	bei1'huan1'li2'he2
茶树	cha2'shu4
齿轮	chi3'lun2
重婚	chong2'hun1
船东	chuan2'dong1
春笋	chun1'sun3
恶气	e4'qi4
发昏	fa1'hun1
扶养	fu2'yang3
估摸	gu1'mo
孤僻	gu1'pi4
固化	gu4'hua4
好大喜功	hao4'da4'xi3'gong1
红日	hong2'ri4
极左	ji2'zuo3
开课	kai1'ke4
开炮	kai1'pao4
开票	kai1'piao4
考问	kao3'wen4
空无一人	kong1'wu2'yi1'ren2
立宪	li4'xian4
蒙古包	meng3'gu3'bao1
默念	mo4'nian4
拍马	pai1'ma3
前瞻	qian2'zhan1
襁褓	qiang3'bao3
秦腔	qin2'qiang1
山清水秀	shan1'qing1'shui3'xiu4
丝带	si1'dai4
撕扯	si1'che3
四书	si4'shu1
酸枣	suan1'zao3
瘫软	tan1'ruan3
天衣无缝	tian1'yi1'wu2'feng4
条目	tiao2'mu4
铁打	tie3'da3
通盘	tong1'pan2
通信卫星	tong1'xin4'wei4'xing1
屠戮	tu2'lu4
外景	wai4'jing3
嬉笑	xi1'xiao4
相扑	xiang1'pu1
谢幕	xie4'mu4
心软	xin1'ruan3
蓄水池	xu4'shui3'chi2
扬帆	yang2'fan1
洋货	yang2'huo4
嘤嘤	ying1'ying1
永别	yong3'bie2
