篮板	lan2'ban3
两面	liang3'mian4
领主	ling3'zhu3
绿林	lu4'lin2
屡遭	lv3'zao1
落款	luo4'kuan3
吗啡	ma3'fei1
闹市区	nao4'shi4'qu1
旁观	pang2'guan1
磅礴	pang2'bo2
喷气	pen1'qi4
凭据	ping2'ju4
气短	qi4'duan3
迁延	qian1'yan2
勤勉	qin2'mian3
轻敌	qing1'di2
求之不得	qiu2'zhi1'bu4'de2
人伦	ren2'lun2
人种	ren2'zhong3
术士	shu4'shi4
水浇地	shui3'jiao1'di4
死心塌地	si3'xin1'ta1'di4
停建	ting2'jian4
同乐	tong2'le4
偷摸	tou1'mo1
透射	tou4'she4
土石方	tu3'shi2'fang1
吐血	tu4'xie3
玩味	wan2'wei4
舞狮	wu3'shi1
鲜肉	xian1'rou4
相映	xiang1'ying4
小女	xiao3'nv3
性生活	xing4'sheng1'huo2
血路	xue4'lu4
姨母	yi2'mu3
隐身	yin3'shen1
迎头	ying2'tou2
营垒	ying2'lei3
语词	yu3'ci2
咒语	zhou4'yu3
做贼	zuo4'zei2
安闲	an1'xian2
保荐	bao3'jian4
别离	bie2'li2
不周	bu4'zhou1
猜忌	cai1'ji4
尘封	chen2'feng1
叱咤风云	chi4'zha4'feng1'yun2
出水	chu1'shui3
垂柳	chui2'liu3
当机立断	dang1'ji1'li4'duan4
肚子	du3'zi
赌钱	du3'qian2
翻飞	fan1'fei1
复返	fu4'fan3
哈萨克族	ha1'sa4'ke4'zu2
号子	hao4'zi
混同	hun4'tong2
火塘	huo3'tang2
几多	ji3'duo1
夹袄	jia2'ao3
节油	jie2'you2
靠岸	kao4'an4
苦处	ku3'chu
络腮胡子	luo4'sai1'hu2'zi
马群	ma3'qun2
莽原	mang3'yuan2
民主人士	min2'zhu3'ren2'shi4
平衡木	ping2'heng2'mu4
蒲公英	pu2'gong1'ying1
沏茶	qi1'cha2
巧立名目	qiao3'li4'ming2'mu4
穷尽	qiong2'jin4
屈膝	qu1'xi1
热望	re4'wang4
审阅	shen3'yue4
生身	sheng1'shen1
省心	sheng3'xin1
时不我待	shi2'bu4'wo3'dai4
使假	shi3'jia3
书评	shu1'ping2
檀香	tan2'xiang1
烫伤	tang4'shang1
梯形	ti1'xing2
跳远	tiao4'yuan3
筒子	tong3'zi3
投篮	tou2'lan2
土木	tu3'mu4
推说	tui1'shuo1
万状	wan4'zhuang4
亡羊补牢	wang2'yang2'bu3'lao2
网罗	wang3'luo2
为人师表	wei2'ren2'shi1'biao3
卫生纸	wei4'sheng1'zhi3
温文尔雅	wen1'wen2'er3'ya3
习习	xi2'xi2
下腰	xia4'yao1
挟持	xie2'chi2
押运	ya1'yun4
一鸣惊人	yi1'ming2'jing1'ren2
因材施教	yin1'cai2'shi1'jiao4
吟诵	yin2'song4
营养素	ying2'yang3'su4
战鼓	zhan4'gu3
整人	zheng3'ren2
正负	zheng4'fu4
撰著	zhuan4'zhu4
自修	zi4'xiu1
自缢	zi4'yi4
左右为难	zuo3'you4'wei2'nan2
作势	zuo4'shi4
暗里	an4'li3
巴望	ba1'wang4
拔河	ba2'he2
薄雾	bo2'wu4
布尔什维克	bu4'er3'shi2'wei2'ke4
裁剪	cai2'jian3
丑角	chou3'jue2
出警	chu1'jing3
触觉	chu4'jue2
代行	dai4'xing2
单亲	dan1'qin1
当口儿	dang1'kou'er
刀片	dao1'pian4
捣鬼	dao3'gui3
低微	di1'wei1
顶头	ding3'tou2
独断专行	du2'duan4'zhuan1'xing2
顿然	dun4'ran2
发丧	fa1'sang1
放哨	fang4'shao4
粉色	fen3'se4
粉身碎骨	fen3'shen1'sui4'gu3
附庸	fu4'yong1
泔水	gan1'shui3
跟班	gen1'ban1
骨灰盒	gu3'hui1'he2
花期	hua1'qi1
环线	huan2'xian4
回心	hui2'xin1
活化	huo2'hua4
尖顶	jian1'ding3
教学	jiao1'xue2
教务	jiao4'wu4
节气	jie2'qi
劫掠	jie2'lve4
军乐队	jun1'yue4'dui4
开裂	kai1'lie4
快餐店	kuai4'can1'dian4
烂泥	lan4'ni2
明净	ming2'jing4
膀胱	pang2'guang1
抛售	pao1'shou4
跑车	pao3'che1
皮衣	pi2'yi1
七手八脚	qi1'shou3'ba1'jiao3
千丝万缕	qian1'si1'wan4'lv3
前脚	qian2'jiao3
巧遇	qiao3'yu4
禽蛋	qin2'dan4
青松	qing1'song1
倾城	qing1'cheng2
入团	ru4'tuan2
失神	shi1'shen2
贪欲	tan1'yu4
五脏	wu3'zang4
下唇	xia4'chun2
写稿	xie3'gao3
烟筒	yan1'tong
验放	yan4'fang4
揶揄	ye2'yu2
一哄而起	yi1'hong4'er2'qi3
原物	yuan2'wu4
杂院儿	za2'yuan4'er
植物油	zhi2'wu4'you2
