保质期	bao3'zhi4'qi1
报捷	bao4'jie2
碧蓝	bi4'lan2
初战	chu1'zhan4
窗棂	chuang1'ling2
春意盎然	chun1'yi4'ang4'ran2
胆战心惊	dan3'zhan4'xin1'jing1
弹片	dan4'pian4
堤岸	di1'an4
电筒	dian4'tong3
纷纷扬扬	fen1'fen1'yang2'yang2
干戈	gan1'ge1
拐角	guai3'jiao3
寒噤	han2'jin4
核扩散	he2'kuo4'san4
恒温	heng2'wen1
患难与共	huan4'nan4'yu3'gong4
活灵活现	huo2'ling2'huo2'xian4
夹角	jia1'jiao3
见习	jian4'xi2
经济法	jing1'ji4'fa3
竞聘	jing4'pin4
腊肉	la4'rou4
老到	lao3'dao4
鳞片	lin2'pian4
领情	ling3'qing2
流毒	liu2'du2
龙灯	long2'deng1
聋哑	long2'ya3
律动	lv4'dong4
落叶松	luo4'ye4'song1
门楣	men2'mei2
门生	men2'sheng1
拿不准	na2'bu4'zhun3
能工巧匠	neng2'gong1'qiao3'jiang4
拍卖行	pai1'mai4'xing2
跑动	pao3'dong4
奇遇	qi2'yu4
祈福	qi2'fu2
起重机	qi3'zhong4'ji1
枪法	qiang1'fa3
抢收	qiang3'shou1
俏皮话	qiao4'pi2'hua4
青蒿	qing1'hao1
三番五次	san1'fan1'wu3'ci4
神主	shen2'zhu3
声气	sheng1'qi4
实景	shi2'jing3
手风琴	shou3'feng1'qin2
摔打	shuai1'da
水深火热	shui3'shen1'huo3're4
忐忑	tan3'te4
套房	tao4'fang2
天伦之乐	tian1'lun2'zhi1'le4
土语	tu3'yu3
瓦罐	wa3'guan4
唯利是图	wei2'li4'shi4'tu2
无补	wu2'bu3
舞池	wu3'chi2
细软	xi4'ruan3
消长	xiao1'zhang3
小农	xiao3'nong2
校务	xiao4'wu4
羞惭	xiu1'can2
一览无余	yi1'lan3'wu2'yu2
易地	yi4'di4
育秧	yu4'yang1
欲求	yu4'qiu2
遇刺	yu4'ci4
躁动	zao4'dong4
主攻手	zhu3'gong1'shou3
奏乐	zou4'yue4
安身	an1'shen1
按兵不动	an4'bing1'bu4'dong4
熬夜	ao2'ye4
保护人	bao3'hu4'ren2
冰晶	bing1'jing1
不务正业	bu4'wu4'zheng4'ye4
采收	cai3'shou1
插座	cha1'zuo4
长线	chang2'xian4
成婚	cheng2'hun1
出远门	chu1'yuan3'men2
垂手	chui2'shou3
翠竹	cui4'zhu2
鹅卵石	e2'luan3'shi2
访友	fang3'you3
飞腾	fei1'teng2
伏法	fu2'fa3
抚弄	fu3'nong4
富丽	fu4'li4
高台	gao1'tai2
工交	gong1'jiao1
滚开	gun3'kai1
鸡毛蒜皮	ji1'mao2'suan4'pi2
军礼	jun1'li3
开诚布公	kai1'cheng2'bu4'gong1
抗寒	kang4'han2
可见光	ke3'jian4'guang1
来犯	lai2'fan4
擂台	lei4'tai2
立地	li4'di4
廉耻	lian2'chi3
撩拨	liao2'bo1
列国	lie4'guo2
论处	lun4'chu3
毛细血管	mao2'xi4'xue4'guan3
面罩	mian4'zhao4
青椒	qing1'jiao1
情分	qing2'fen4
穷追	qiong2'zhui1
群峰	qun2'feng1
人情味儿	ren2'qing2'wei4'er2
人心惶惶	ren2'xin1'huang2'huang2
散伙	san4'huo3
婶娘	shen3'niang2
生龙活虎	sheng1'long2'huo2'hu3
省辖市	sheng3'xia2'shi4
失礼	shi1'li3
十三陵	shi2'san1'ling2
誓师	shi4'shi1
锁链	suo3'lian4
统辖	tong3'xia2
囤积	tun2'ji1
万恶	wan4'e4
午宴	wu3'yan4
西装革履	xi1'zhuang1'ge2'lv3
下不来	xia4'bu'lai2
下饭	xia4'fan4
小辫子	xiao3'bian4'zi3
心慌意乱	xin1'huang1'yi4'luan4
星斗	xing1'dou3
秧子	yang1'zi3
洋酒	yang2'jiu3
营寨	ying2'zhai4
游弋	you2'yi4
政见	zheng4'jian4
致歉	zhi4'qian4
中耕	zhong1'geng1
蛀虫	zhu4'chong2
转危为安	zhuan3'wei1'wei2'an1
着色	zhuo2'se4
宗亲	zong1'qin1
走亲戚	zou3'qin1'qi
最惠国	zui4'hui4'guo2
佐料	zuo3'liao4
病友	bing4'you3
不辞而别	bu4'ci2'er2'bie2
长矛	chang2'mao2
除害	chu2'hai4
打头	da3'tou2
大吉	da4'ji2
定购	ding4'gou4
逗乐	dou4'le4
发愤	fa1'fen4
飞升	fei1'sheng1
浮华	fu2'hua2
拱桥	gong3'qiao2
归并	gui1'bing4
害处	hai4'chu
好人好事	hao3'ren2'hao3'shi4
号牌	hao4'pai2
