沟通	gou1'tong1
整治	zheng3'zhi4
上年	shang4'nian2
出生	chu1'sheng1
截至	jie2'zhi4
组建	zu3'jian4
纠正	jiu1'zheng4
倾向	qing1'xiang4
着眼	zhuo2'yan3
中东	zhong1'dong1
娱乐	yu2'le4
扶持	fu2'chi2
监测	jian1'ce4
轿车	jiao4'che1
纪录	ji4'lu4
必将	bi4'jiang1
认定	ren4'ding4
双边	shuang1'bian1
笔者	bi3'zhe3
英语	ying1'yu3
主权	zhu3'quan2
哈尔滨	ha1'er3'bin1
分类	fen1'lei4
成分	cheng2'fen4
财务	cai2'wu4
依照	yi1'zhao4
江南	jiang1'nan2
累计	lei3'ji4
总额	zong3'e2
麻烦	ma2'fan
产权	chan3'quan2
化学	hua4'xue2
日常	ri4'chang2
中文	zhong1'wen2
期待	qi1'dai4
上学	shang4'xue2
专利	zhuan1'li4
题材	ti2'cai2
开幕	kai1'mu4
加速	jia1'su4
情景	qing2'jing3
长远	chang2'yuan3
开辟	kai1'pi4
免费	mian3'fei4
使命	shi3'ming4
凡是	fan2'shi4
无限	wu2'xian4
及其	ji2'qi2
大夫	dai4'fu
师傅	shi1'fu4
教练	jiao4'lian4
待遇	dai4'yu4
优惠	you1'hui4
儿女	er2'nv3
各方	ge4'fang1
退休	tui4'xiu1
不顾	bu4'gu4
员工	yuan2'gong1
澳大利亚	ao4'da4'li4'ya4
受伤	shou4'shang1
美术	mei3'shu4
事迹	shi4'ji4
较为	jiao4'wei2
东京	dong1'jing1
调节	tiao2'jie2
夜间	ye4'jian1
副刊	fu4'kan1
南部	nan2'bu4
境界	jing4'jie4
决赛	jue2'sai4
平台	ping2'tai2
通讯	tong1'xun4
本地	ben3'di4
处在	chu3'zai4
泰国	tai4'guo2
人力	ren2'li4
爆发	bao4'fa1
商量	shang1'liang2
调控	tiao2'kong4
注册	zhu4'ce4
倒是	dao4'shi4
降水	jiang4'shui3
变革	bian4'ge2
总之	zong3'zhi1
军区	jun1'qu1
越南	yue4'nan2
混乱	hun4'luan4
个性	ge4'xing4
埃及	ai1'ji2
委托	wei3'tuo1
一系列	yi1'xi4'lie4
信息化	xin4'xi1'hua4
电信	dian4'xin4
品质	pin3'zhi4
主导	zhu3'dao3
原有	yuan2'you3
屋子	wu1'zi3
可惜	ke3'xi1
配置	pei4'zhi4
崇高	chong2'gao1
多年	duo1'nian2
愉快	yu2'kuai4
随便	sui2'bian4
古老	gu3'lao3
与此同时	yu3'ci3'tong2'shi2
干净	gan1'jing4
或是	huo4'shi4
借鉴	jie4'jian4
振兴	zhen4'xing1
信念	xin4'nian4
推荐	tui1'jian4
热点	re4'dian3
纵横	zong4'heng2
养殖	yang3'zhi2
导弹	dao3'dan4
莫斯科	mo4'si1'ke1
害怕	hai4'pa4
南北	nan2'bei3
秘书	mi4'shu1
同事	tong2'shi4
补贴	bu3'tie1
支撑	zhi1'cheng1
奖励	jiang3'li4
海军	hai3'jun1
真诚	zhen1'cheng2
生意	sheng1'yi
保存	bao3'cun2
选拔	xuan3'ba2
龙头	long2'tou2
激励	ji1'li4
白色	bai2'se4
采购	cai3'gou4
消灭	xiao1'mie4
荣誉	rong2'yu4
原料	yuan2'liao4
批判	pi1'pan4
光明	guang1'ming2
付出	fu4'chu1
书籍	shu1'ji2
检察	jian3'cha2
沈阳	shen3'yang2
姐姐	jie3'jie3
地质	di4'zhi4
势头	shi4'tou2
鲜花	xian1'hua1
安装	an1'zhuang1
前途	qian2'tu2
共识	gong4'shi2
定期	ding4'qi1
总数	zong3'shu4
近来	jin4'lai2
开创	kai1'chuang4
办公	ban4'gong1
派出所	pai4'chu1'suo3
图书	tu2'shu1
比重	bi3'zhong4
大人	da4'ren2
画家	hua4'jia1
宣言	xuan1'yan2
诞生	dan4'sheng1
象征	xiang4'zheng1
院子	yuan4'zi3
最为	zui4'wei2
海上	hai3'shang4
论文	lun4'wen2
要素	yao4'su4
激情	ji1'qing2
县城	xian4'cheng2
理念	li3'nian4
灯光	deng1'guang1
