黑沉沉	hei1'chen2'chen2
蛔虫	hui2'chong2
会话	hui4'hua4
会考	hui4'kao3
豁然	huo4'ran2
胶鞋	jiao1'xie2
尽善尽美	jin4'shan4'jin4'mei3
旌旗	jing1'qi2
旧体诗	jiu4'ti3'shi1
倦意	juan4'yi4
离乡	li2'xiang1
麻疹	ma2'zhen3
美色	mei3'se4
摩拳擦掌	mo2'quan2'ca1'zhang3
墓穴	mu4'xue2
女权	nv3'quan2
怦然	peng1'ran2
蓬头垢面	peng2'tou2'gou4'mian4
脾胃	pi2'wei4
品系	pin3'xi4
岂敢	qi3'gan3
枪械	qiang1'xie4
如鱼得水	ru2'yu2'de2'shui3
舍命	she3'ming4
声泪俱下	sheng1'lei4'ju4'xia4
驶离	shi3'li2
说得过去	shuo1'de'guo4'qu4
四分五裂	si4'fen1'wu3'lie4
塑胶	su4'jiao1
随访	sui2'fang3
太师椅	tai4'shi1'yi3
提审	ti2'shen3
通宵达旦	tong1'xiao1'da2'dan4
顽童	wan2'tong2
巍然	wei1'ran2
委曲	wei3'qu1
污点	wu1'dian3
喜滋滋	xi3'zi1'zi1
下情	xia4'qing2
献媚	xian4'mei4
学时	xue2'shi2
仰仗	yang3'zhang4
尧舜	yao2'shun4
一马当先	yi1'ma3'dang1'xian1
遗属	yi2'shu3
盈门	ying2'men2
预购	yu4'gou4
阅兵式	yue4'bing1'shi4
杂货	za2'huo4
造像	zao4'xiang4
祖父母	zu3'fu4'mu3
尊师	zun1'shi1
安营扎寨	an1'ying2'zha1'zhai4
比得上	bi3'de2'shang4
编委	bian1'wei3
菜花	cai4'hua1
超速	chao1'su4
嗔怪	chen1'guai4
簇新	cu4'xin1
带劲	dai4'jin4
当归	dang1'gui1
道人	dao4'ren2
毒物	du2'wu4
发源	fa1'yuan2
房客	fang2'ke4
风华正茂	feng1'hua2'zheng4'mao4
感光	gan3'guang1
各自为战	ge4'zi4'wei2'zhan4
共同性	gong4'tong2'xing4
孤身	gu1'shen1
瓜葛	gua1'ge2
光彩夺目	guang1'cai3'duo2'mu4
裹挟	guo3'xie2
横梁	heng2'liang2
琥珀	hu3'po4
华语	hua2'yu3
会刊	hui4'kan1
晦涩	hui4'se4
纪律性	ji4'lv4'xing4
金盾	jin1'dun4
坎肩	kan3'jian1
留情	liu2'qing2
龙井茶	long2'jing3'cha2
露宿	lu4'su4
免票	mian3'piao4
面板	mian4'ban3
面食	mian4'shi2
面相	mian4'xiang4
明丽	ming2'li4
拟于	ni3'yu2
农副业	nong2'fu4'ye4
女声	nv3'sheng1
