笤帚	tiao2'zhou3
铁流	tie3'liu2
歪斜	wai1'xie2
外层空间	wai4'ceng2'kong1'jian1
文句	wen2'ju4
蜥蜴	xi1'yi4
习题	xi2'ti2
心花怒放	xin1'hua1'nu4'fang4
心力衰竭	xin1'li4'shuai1'jie2
性骚扰	xing4'sao1'rao3
一反常态	yi1'fan3'chang2'tai4
饮片	yin3'pian4
英名	ying1'ming2
邮市	you2'shi4
冤魂	yuan1'hun2
杂耍	za2'shua3
澡盆	zao3'pen2
增兵	zeng1'bing1
战况	zhan4'kuang4
珍禽	zhen1'qin2
中下旬	zhong1'xia4'xun2
助阵	zhu4'zhen4
转速	zhuan4'su4
自夸	zi4'kua1
钻营	zuan1'ying2
白开水	bai2'kai1'shui3
摆渡	bai3'du4
半价	ban4'jia4
避风	bi4'feng1
辨析	bian4'xi1
补种	bu3'zhong3
参照系	can1'zhao4'xi4
抽水机	chou1'shui3'ji1
当权	dang1'quan2
当仁不让	dang1'ren2'bu4'rang4
刀具	dao1'ju4
得意忘形	de2'yi4'wang4'xing2
低处	di1'chu3
低音	di1'yin1
毒瘾	du2'yin3
断气	duan4'qi4
对白	dui4'bai2
二传手	er4'chuan2'shou3
二心	er4'xin1
泛指	fan4'zhi3
纺纱	fang3'sha1
飞播	fei1'bo1
飞赴	fei1'fu4
封冻	feng1'dong4
高热	gao1're4
各行其是	ge4'xing2'qi2'shi4
公函	gong1'han2
顾此失彼	gu4'ci3'shi1'bi3
红扑扑	hong2'pu1'pu1
户口簿	hu4'kou3'bu4
花冠	hua1'guan1
化为乌有	hua4'wei2'wu1'you3
灰溜溜	hui1'liu1'liu1
悔过	hui3'guo4
己见	ji3'jian4
价廉物美	jia4'lian2'wu4'mei3
焦油	jiao1'you2
烤肉	kao3'rou4
邋遢	la1'ta1
粮店	liang2'dian4
林林总总	lin2'lin2'zong3'zong3
没精打采	mei2'jing1'da3'cai3
门徒	men2'tu2
弥散	mi2'san4
密语	mi4'yu3
密植	mi4'zhi2
棉鞋	mian2'xie2
闹别扭	nao4'bie4'niu
培土	pei2'tu3
皮棉	pi2'mian2
偏心	pian1'xin1
棋迷	qi2'mi2
抢种	qiang3'zhong4
穷光蛋	qiong2'guang1'dan4
山包	shan1'bao1
善举	shan4'ju3
上铺	shang4'pu1
深不可测	shen1'bu4'ke3'ce4
书库	shu1'ku4
双人舞	shuang1'ren2'wu3
所向披靡	suo3'xiang4'pi1'mi3
天花乱坠	tian1'hua1'luan4'zhui4
天文数字	tian1'wen2'shu4'zi4
挑动	tiao3'dong4
