招引	zhao1'yin3
正襟危坐	zheng4'jin1'wei1'zuo4
至理名言	zhi4'li3'ming2'yan2
治家	zhi4'jia1
智谋	zhi4'mou2
壮语	zhuang4'yu3
自生自灭	zi4'sheng1'zi4'mie4
钻井队	zuan4'jing3'dui4
案板	an4'ban3
白描	bai2'miao2
剥皮	bao1'pi2
笔尖	bi3'jian1
避讳	bi4'hui4
表演赛	biao3'yan3'sai4
禀赋	bing3'fu4
不甘示弱	bu4'gan1'shi4'ruo4
不足道	bu4'zu2'dao4
才女	cai2'nv3
踩踏	cai3'ta4
扯淡	che3'dan4
乘务	cheng2'wu4
出格	chu1'ge2
除开	chu2'kai1
处心积虑	chu3'xin1'ji1'lv4
窗纱	chuang1'sha1
大满贯	da4'man3'guan4
戴帽子	dai4'mao4'zi3
电子显微镜	dian4'zi3'xian3'wei1'jing4
冻疮	dong4'chuang1
对决	dui4'jue2
恶名	e4'ming2
发怔	fa1'zheng4
飞身	fei1'shen1
飞鱼	fei1'yu2
复试	fu4'shi4
杆秤	gan3'cheng4
缸子	gang1'zi3
高抬	gao1'tai2
冠状动脉	guan1'zhuang4'dong4'mai4
锅灶	guo1'zao4
孩提	hai2'ti2
豪门	hao2'men2
和弦	he2'xian2
机子	ji1'zi3
急用	ji2'yong4
继位	ji4'wei4
健身操	jian4'shen1'cao1
讲排场	jiang3'pai2'chang3
降落伞	jiang4'luo4'san3
交税	jiao1'shui4
校勘	jiao4'kan1
九死一生	jiu3'si3'yi1'sheng1
旧约	jiu4'yue1
康乐	kang1'le4
渴盼	ke3'pan4
枯水	ku1'shui3
苦口	ku3'kou3
历险	li4'xian3
门庭	men2'ting2
乃至于	nai3'zhi4'yu2
扭秧歌	niu3'yang1'ge1
农贷	nong2'dai4
排山倒海	pai2'shan1'dao3'hai3
铺户	pu4'hu4
曝晒	pu4'shai4
迁怒	qian1'nu4
绕行	rao4'xing2
入梦	ru4'meng4
杀机	sha1'ji1
赏月	shang3'yue4
使不得	shi3'bu'de
殊死	shu1'si3
碎花	sui4'hua1
抬腿	tai2'tui3
体征	ti3'zheng1
铁甲	tie3'jia3
停机坪	ting2'ji1'ping2
文明人	wen2'ming2'ren2
窝藏	wo1'cang2
误诊	wu4'zhen3
相册	xiang4'ce4
小伙儿	xiao3'huo3'er
性腺	xing4'xian4
蓄水量	xu4'shui3'liang4
玄妙	xuan2'miao4
血气	xue4'qi4
演职员	yan3'zhi2'yuan2
阳刚	yang2'gang1
医嘱	yi1'zhu3
影印	ying3'yin4
邮政储蓄	you2'zheng4'chu3'xu4
幼子	you4'zi3
圆梦	yuan2'meng4
再则	zai4'ze2
藏医	zang4'yi1
治丧	zhi4'sang1
中和	zhong1'he2
重臣	zhong4'chen2
桌布	zhuo1'bu4
资财	zi1'cai2
坐标系	zuo4'biao1'xi4
白搭	bai2'da1
百病	bai3'bing4
斑马	ban1'ma3
悲戚	bei1'qi1
悲叹	bei1'tan4
北冰洋	bei3'bing1'yang2
背水一战	bei4'shui3'yi1'zhan4
奔头儿	ben4'tou'er
病残	bing4'can2
捕风捉影	bu3'feng1'zhuo1'ying3
陈规	chen2'gui1
乘风破浪	cheng2'feng1'po4'lang4
初九	chu1'jiu3
纯熟	chun2'shu2
醇厚	chun2'hou4
导热	dao3're4
倒挂	dao4'gua4
讹诈	e2'zha4
泛舟	fan4'zhou1
风雨无阻	feng1'yu3'wu2'zu3
盖头	gai4'tou
高速铁路	gao1'su4'tie3'lu4
跟班儿	gen1'ban1'er2
古筝	gu3'zheng1
股金	gu3'jin1
海盐	hai3'yan2
和美	he2'mei3
贺礼	he4'li3
红茶	hong2'cha2
花车	hua1'che1
换代	huan4'dai4
昏厥	hun1'jue2
祭品	ji4'pin3
甲子	jia3'zi3
