元勋	yuan2'xun1
阅卷	yue4'juan4
杂谈	za2'tan2
珍奇	zhen1'qi2
真迹	zhen1'ji4
政治犯	zheng4'zhi4'fan4
朱砂	zhu1'sha1
专权	zhuan1'quan2
装糊涂	zhuang1'hu2'tu
自欺	zi4'qi1
组歌	zu3'ge1
左面	zuo3'mian4
左思右想	zuo3'si1'you4'xiang3
白色污染	bai2'se4'wu1'ran3
裨益	bi4'yi4
变体	bian4'ti3
标枪	biao1'qiang1
搏杀	bo2'sha1
才力	cai2'li4
操之过急	cao1'zhi1'guo4'ji2
豺狼	chai2'lang2
蟾蜍	chan2'chu2
超编	chao1'bian1
车钱	che1'qian2
宠幸	chong3'xing4
抽咽	chou1'ye4
传真机	chuan2'zhen1'ji1
纯化	chun2'hua4
从艺	cong2'yi4
大而全	da4'er2'quan2
代用	dai4'yong4
底色	di3'se4
地方志	di4'fang1'zhi4
斗鸡	dou4'ji1
访问学者	fang3'wen4'xue2'zhe3
佛事	fo2'shi4
佛塔	fo2'ta3
干笑	gan1'xiao4
汉学	han4'xue2
旱区	han4'qu1
禾苗	he2'miao2
黑潮	hei1'chao2
后母	hou4'mu3
护短	hu4'duan3
花果山	hua1'guo3'shan1
挥泪	hui1'lei4
昏黑	hun1'hei1
昏天黑地	hun1'tian1'hei1'di4
浑身解数	hun2'shen1'xie4'shu4
火眼金睛	huo3'yan3'jin1'jing1
戛然	jia2'ran2
假想	jia3'xiang3
肩并肩	jian1'bing4'jian1
健忘	jian4'wang4
矫治	jiao3'zhi4
搅和	jiao3'huo
较劲	jiao4'jin4
节余	jie2'yu2
截取	jie2'qu3
今生今世	jin1'sheng1'jin1'shi4
经济师	jing1'ji4'shi1
旧账	jiu4'zhang4
军容	jun1'rong2
快件	kuai4'jian4
老弱病残	lao3'ruo4'bing4'can2
泪人	lei4'ren2
乱麻	luan4'ma2
轮机	lun2'ji1
买通	mai3'tong1
抛头露面	pao1'tou2'lu4'mian4
碰运气	peng4'yun4'qi4
披头散发	pi1'tou2'san4'fa4
欺上瞒下	qi1'shang4'man2'xia4
启航;起航	qi3'hang2
怯弱	qie4'ruo4
轻手轻脚	qing1'shou3'qing1'jiao3
雀斑	que4'ban1
人迹罕至	ren2'ji4'han3'zhi4
荣记	rong2'ji4
施礼	shi1'li3
守夜	shou3'ye4
数一数二	shu3'yi1'shu3'er4
说客	shuo1'ke4
塑性	su4'xing4
体统	ti3'tong3
铁窗	tie3'chuang1
听政	ting1'zheng4
统共	tong3'gong4
土木工程	tu3'mu4'gong1'cheng2
外乡	wai4'xiang1
完美无缺	wan2'mei3'wu2'que1
无所畏惧	wu2'suo3'wei4'ju4
相面	xiang4'mian4
潇潇	xiao1'xiao1
小打小闹	xiao3'da3'xiao3'nao4
小市民	xiao3'shi4'min2
笑料	xiao4'liao4
笑盈盈	xiao4'ying2'ying2
歇业	xie1'ye4
修造	xiu1'zao4
衍生物	yan3'sheng1'wu4
验票	yan4'piao4
洋火	yang2'huo3
野猫	ye3'mao1
依然如故	yi1'ran2'ru2'gu4
硬指标	ying4'zhi3'biao1
有名无实	you3'ming2'wu2'shi2
幼林	you4'lin2
迂腐	yu1'fu3
娱乐城	yu2'le4'cheng2
预知	yu4'zhi1
缘起	yuan2'qi3
早市	zao3'shi4
早退	zao3'tui4
造句	zao4'ju4
赠款	zeng4'kuan3
毡帽	zhan1'mao4
侦察兵	zhen1'cha2'bing1
纸面	zhi3'mian4
忠良	zhong1'liang2
专任	zhuan1'ren4
自惭形秽	zi4'can2'xing2'hui4
作数	zuo4'shu4
哀号	ai1'hao2
杯水车薪	bei1'shui3'che1'xin1
北麓	bei3'lu4
备至	bei4'zhi4
哔叽	bi4'ji1
补缺	bu3'que1
叉腰	cha1'yao1
插头	cha1'tou2
查缉	cha2'ji1
出借	chu1'jie4
初十	chu1'shi2
初试	chu1'shi4
闯红灯	chuang3'hong2'deng1
春寒	chun1'han2
电钮	dian4'niu3
电热	dian4're4
顶头上司	ding3'tou2'shang4'si
定时炸弹	ding4'shi2'zha4'dan4
二话不说	er4'hua4'bu4'shuo1
