听凭	ting1'ping2
通途	tong1'tu2
头脸	tou2'lian3
头面人物	tou2'mian4'ren2'wu4
顽抗	wan2'kang4
万紫千红	wan4'zi3'qian1'hong2
威士忌	wei1'shi4'ji4
五帝	wu3'di4
武生	wu3'sheng1
误工	wu4'gong1
误伤	wu4'shang1
稀稀拉拉	xi1'xi'la1'la1
下浮	xia4'fu2
下书	xia4'shu1
小巧玲珑	xiao3'qiao3'ling2'long2
秀色	xiu4'se4
恤衫	xu4'shan1
蚜虫	ya2'chong2
盐类	yan2'lei4
一拍即合	yi1'pai1'ji2'he2
引退	yin3'tui4
圆锥	yuan2'zhui1
杂色	za2'se4
脏乱	zang1'luan4
长兄	chang2'xiong1
政务院	zheng4'wu4'yuan4
自毁	zi4'hui3
走火	zou3'huo3
跋山涉水	ba2'shan1'she4'shui3
悲痛欲绝	bei1'tong4'yu4'jue2
北齐	bei3'qi2
奔丧	ben1'sang1
布施	bu4'shi1
布依族	bu4'yi1'zu2
拆散	chai1'san4
超采	chao1'cai3
称奇	cheng1'qi2
愁闷	chou2'men4
出险	chu1'xian3
吹风	chui1'feng1
纯利	chun2'li4
磁石	ci2'shi2
错失	cuo4'shi1
大气候	da4'qi4'hou4
大器	da4'qi4
大前提	da4'qian2'ti2
刀叉	dao1'cha1
等闲	deng3'xian2
对角线	dui4'jiao3'xian4
吨公里	dun1'gong1'li3
多愁善感	duo1'chou2'shan4'gan3
多劳多得	duo1'lao2'duo1'de2
非人	fei1'ren2
废寝忘食	fei4'qin3'wang4'shi2
封疆	feng1'jiang1
浮标	fu2'biao1
共管	gong4'guan3
官位	guan1'wei4
光通信	guang1'tong1'xin4
归降	gui1'xiang2
国际歌	guo2'ji4'ge1
海角	hai3'jiao3
毫无疑义	hao2'wu2'yi2'yi4
喝醉	he1'zui4
胡诌	hu2'zhou1
花甲	hua1'jia3
皇族	huang2'zu2
黄澄澄	huang2'deng1'deng1
积重难返	ji1'zhong4'nan2'fan3
继承权	ji4'cheng2'quan2
僵死	jiang1'si3
角门	jiao3'men2
节律	jie2'lv4
晶莹剔透	jing1'ying2'ti1'tou4
军乐	jun1'yue4
开绿灯	kai1'lv4'deng1
凯旋门	kai3'xuan2'men2
坑人	keng1'ren2
狂暴	kuang2'bao4
老伙计	lao3'huo3'ji4
临了	lin2'liao3
留用	liu2'yong4
麦草	mai4'cao3
美其名曰	mei3'qi2'ming2'yue1
门神	men2'shen2
麋鹿	mi2'lu4
免予	mian3'yu3
木鱼	mu4'yu2
凝眸	ning2'mou2
牛鼻子	niu2'bi2'zi3
女招待	nv3'zhao1'dai4
炮轰	pao4'hong1
凄清	qi1'qing1
切面	qie1'mian4
请帖	qing3'tie3
如虎添翼	ru2'hu3'tian1'yi4
儒者	ru2'zhe3
丧胆	sang4'dan3
商海	shang1'hai3
神似	shen2'si4
盛怒	sheng4'nu4
失势	shi1'shi4
史官	shi3'guan1
树桩	shu4'zhuang1
双料	shuang1'liao4
水饺	shui3'jiao3
搜刮	sou1'gua1
特赦	te4'she4
同道	tong2'dao4
土地庙	tu3'di4'miao4
歪歪扭扭	wai1'wai1'niu3'niu3
王侯	wang2'hou2
畏罪	wei4'zui4
文辞	wen2'ci2
无机物	wu2'ji1'wu4
无止境	wu2'zhi3'jing4
夏夜	xia4'ye4
相左	xiang1'zuo3
香烛	xiang1'zhu2
小户	xiao3'hu4
心潮澎湃	xin1'chao2'peng2'pai4
胸臆	xiong1'yi4
羞于	xiu1'yu2
血栓	xue4'shuan1
循环系统	xun2'huan2'xi4'tong3
遥相呼应	yao2'xiang1'hu1'ying4
遥想	yao2'xiang3
衣带	yi1'dai4
依傍	yi1'bang4
隐伏	yin3'fu2
油船	you2'chuan2
月全食	yue4'quan2'shi2
张牙舞爪	zhang1'ya2'wu3'zhao3
昭雪	zhao1'xue3
照准	zhao4'zhun3
蛰伏	zhe2'fu2
整装待发	zheng3'zhuang1'dai4'fa1
政出多门	zheng4'chu1'duo1'men2
中看	zhong1'kan4
诸葛	zhu1'ge3
诸公	zhu1'gong1
自作主张	zi4'zuo4'zhu3'zhang1
醉醺醺	zui4'xun1'xun1
安全帽	an1'quan2'mao4
包抄	bao1'chao1
保收	bao3'shou1
报警器	bao4'jing3'qi4
倍数	bei4'shu4
比邻	bi3'lin2
采购员	cai3'gou4'yuan2
苍山	cang1'shan1
茶农	cha2'nong2
车组	che1'zu3
赤红	chi4'hong2
传布	chuan2'bu4
垂青	chui2'qing1
唇膏	chun2'gao1
磁体	ci2'ti3
村舍	cun1'she3
达观	da2'guan1
大牙	da4'ya2
当权派	dang1'quan2'pai4
电焊	dian4'han4
洞子	dong4'zi
独辟蹊径	du2'pi4'xi1'jing4
独生子	du2'sheng1'zi3
端口	duan1'kou3
放枪	fang4'qiang1
风吹草动	feng1'chui1'cao3'dong4
风笛	feng1'di2
风琴	feng1'qin2
风势	feng1'shi4
甘霖	gan1'lin2
甘油	gan1'you2
各尽所能	ge4'jin4'suo3'neng2
各有千秋	ge4'you3'qian1'qiu1
根须	gen1'xu1
合编	he2'bian1
和盘托出	he2'pan2'tuo1'chu1
和棋	he2'qi2
红土	hong2'tu3
滑溜	hua2'liu
黄鱼	huang2'yu2
火龙	huo3'long2
加码	jia1'ma3
见笑	jian4'xiao4
渐变	jian4'bian4
僵尸	jiang1'shi1
浇注	jiao1'zhu4
禁赌	jin4'du3
惊涛	jing1'tao1
锯齿	ju4'chi3
卷子	juan3'zi
