风景如画	feng1'jing3'ru2'hua4
缝补	feng2'bu3
俯伏	fu3'fu2
盖世	gai4'shi4
高不可攀	gao1'bu4'ke3'pan1
胳膊肘儿	ge1'bo'zhou3'er2
古风	gu3'feng1
观瞻	guan1'zhan1
鬼门关	gui3'men2'guan1
喊话	han3'hua4
红眼	hong2'yan3
祸患	huo4'huan4
饥寒交迫	ji1'han2'jiao1'po4
鸡笼	ji1'long2
集市贸易	ji2'shi4'mao4'yi4
荠菜	ji4'cai4
简史	jian3'shi3
进口额	jin4'kou3'e2
旧制	jiu4'zhi4
绝句	jue2'ju4
课件	ke4'jian4
空巢	kong1'chao2
空当	kong4'dang1
劳碌	lao2'lu4
老实巴交	lao3'shi2'ba1'jiao1
磊落	lei3'luo4
两全其美	liang3'quan2'qi2'mei3
领办	ling3'ban4
琉璃瓦	liu2'li'wa3
茅坑	mao2'keng1
谜语	mi2'yu3
谋面	mou2'mian4
排卵	pai2'luan3
碰杯	peng4'bei1
匹夫	pi3'fu1
偏好	pian1'hao4
贫民窟	pin2'min2'ku1
破落	po4'luo4
亲子	qin1'zi3
轻纱	qing1'sha1
清朗	qing1'lang3
煽惑	shan1'huo4
上班族	shang4'ban1'zu2
上首	shang4'shou3
神智	shen2'zhi4
生殖器	sheng1'zhi2'qi4
师表	shi1'biao3
食油	shi2'you2
说到做到	shuo1'dao4'zuo4'dao4
死不瞑目	si3'bu4'ming2'mu4
汤圆	tang1'yuan2
条凳	tiao2'deng4
童趣	tong2'qu4
瓦片	wa3'pian4
网开一面	wang3'kai1'yi1'mian4
纹路	wen2'lu
无可比拟	wu2'ke3'bi3'ni3
洗劫	xi3'jie2
虾米	xia1'mi
骁将	xiao1'jiang4
消夏	xiao1'xia4
小引	xiao3'yin3
邪路	xie2'lu4
信不过	xin4'bu'guo4
行得通	xing2'de2'tong1
胸罩	xiong1'zhao4
雪人	xue3'ren2
烟鬼	yan1'gui3
盐分	yan2'fen4
掩蔽	yan3'bi4
一钱不值	yi1'qian2'bu4'zhi2
淫荡	yin2'dang4
诱敌	you4'di2
与人为善	yu3'ren2'wei2'shan4
展播	zhan3'bo1
贞节	zhen1'jie2
中空	zhong1'kong1
煮沸	zhu3'fei4
半死不活	ban4'si3'bu4'huo2
半圆形	ban4'yuan2'xing2
保外就医	bao3'wai4'jiu4'yi1
暴君	bao4'jun1
卑贱	bei1'jian4
宾语	bin1'yu3
茶会	cha2'hui4
差旅费	chai1'lv3'fei4
常绿	chang2'lv4
超量	chao1'liang4
聪颖	cong1'ying3
粗粮	cu1'liang2
打圆场	da3'yuan2'chang3
大嫂子	da4'sao3'zi3
道听途说	dao4'ting1'tu2'shuo1
稻种	dao4'zhong3
定式	ding4'shi4
动手动脚	dong4'shou3'dong4'jiao3
度数	du4'shu
婀娜多姿	e1'nuo2'duo1'zi1
方凳	fang1'deng4
费尽心机	fei4'jin4'xin1'ji1
风雨飘摇	feng1'yu3'piao1'yao2
佛爷	fo2'ye
