自绝	zi4'jue2
综合征	zong1'he2'zheng1
左倾	zuo3'qing1
版税	ban3'shui4
保本	bao3'ben3
编审	bian1'shen3
编钟	bian1'zhong1
便服	bian4'fu2
别号	bie2'hao4
病状	bing4'zhuang4
不出所料	bu4'chu1'suo3'liao4
不爽	bu4'shuang3
步履维艰	bu4'lv3'wei2'jian1
沧海桑田	cang1'hai3'sang1'tian2
草鱼	cao3'yu2
侧影	ce4'ying3
恻隐	ce4'yin3
差役	chai1'yi4
成趣	cheng2'qu4
春种	chun1'zhong3
打坐	da3'zuo4
大操大办	da4'cao1'da4'ban4
大大咧咧	da4'da'lie1'lie1
单刀直入	dan1'dao1'zhi2'ru4
当政	dang1'zheng4
登临	deng1'lin2
低产	di1'chan3
低声下气	di1'sheng1'xia4'qi4
电容	dian4'rong2
凋敝	diao1'bi4
订正	ding4'zheng4
冬闲	dong1'xian2
豆油	dou4'you2
发威	fa1'wei1
发晕	fa1'yun4
俯仰	fu3'yang3
高低杠	gao1'di1'gang4
供桌	gong4'zhuo1
姑娘家	gu1'niang2'jia
官阶	guan1'jie1
管弦乐	guan3'xian2'yue4
光圈	guang1'quan1
过关斩将	guo4'guan1'zhan3'jiang4
合同工	he2'tong'gong1
黑纱	hei1'sha1
红烧肉	hong2'shao1'rou4
画布	hua4'bu4
昏乱	hun1'luan4
活用	huo2'yong4
急病	ji2'bing4
疾驶	ji2'shi3
加温	jia1'wen1
奖罚	jiang3'fa2
胶布	jiao1'bu4
居丧	ju1'sang1
开闸	kai1'zha2
可憎	ke3'zeng1
苦役	ku3'yi4
来由	lai2'you2
利他	li4'ta1
路数	lu4'shu4
掠影	lve4'ying3
落花流水	luo4'hua1'liu2'shui3
梦游	meng4'you2
膜拜	mo2'bai4
难为	nan2'wei
内蕴	nei4'yun4
能歌善舞	neng2'ge1'shan4'wu3
呢喃	ni2'nan2
你追我赶	ni3'zhui1'wo3'gan3
逆反	ni4'fan3
扭捏	niu3'nie1
女宾	nv3'bin1
女流	nv3'liu2
漂白	piao3'bai2
品名	pin3'ming2
轻音乐	qing1'yin1'yue4
清谈	qing1'tan2
秋高气爽	qiu1'gao1'qi4'shuang3
求治	qiu2'zhi4
取闹	qu3'nao4
劝酒	quan4'jiu3
人寰	ren2'huan2
人情世故	ren2'qing2'shi4'gu4
飒飒	sa4'sa4
水彩	shui3'cai3
蓑衣	suo1'yi1
天南地北	tian1'nan2'di4'bei3
通风报信	tong1'feng1'bao4'xin4
同屋	tong2'wu1
铜镜	tong2'jing4
童养媳	tong2'yang3'xi2
头盖骨	tou2'gai4'gu3
