分路	fen1'lu4
风铃	feng1'ling2
风湿	feng1'shi1
妇孺	fu4'ru2
高跷	gao1'qiao1
故旧	gu4'jiu4
官商	guan1'shang1
光荣感	guang1'rong2'gan3
含冤	han2'yuan1
航次	hang2'ci4
花天酒地	hua1'tian1'jiu3'di4
会客	hui4'ke4
饥肠辘辘	ji1'chang2'lu4'lu4
急电	ji2'dian4
加薪	jia1'xin1
九霄云外	jiu3'xiao1'yun2'wai4
举目无亲	ju3'mu4'wu2'qin1
俊杰	jun4'jie2
看守内阁	kan1'shou3'nei4'ge2
克敌制胜	ke4'di2'zhi4'sheng4
口服液	kou3'fu2'ye4
老表	lao3'biao3
老黄牛	lao3'huang2'niu2
雷打不动	lei2'da3'bu4'dong4
礼法	li3'fa3
砾石	li4'shi2
淋巴结	lin2'ba1'jie2
留级	liu2'ji2
宁日	ning2'ri4
怕羞	pa4'xiu1
排他性	pai2'ta1'xing4
赔礼	pei2'li3
碰钉子	peng4'ding1'zi
千里眼	qian1'li3'yan3
前车之鉴	qian2'che1'zhi1'jian4
屈指	qu1'zhi3
如许	ru2'xu3
入时	ru4'shi2
塞上	sai1'shang4
沙门	sha1'men2
山崩	shan1'beng1
收容所	shou1'rong2'suo3
瘦身	shou4'shen1
熟稔	shu2'ren3
耍弄	shua3'nong4
厮打	si1'da3
探家	tan4'jia1
停水	ting2'shui3
退赔	tui4'pei2
脱手	tuo1'shou3
外用	wai4'yong4
王冠	wang2'guan1
违令	wei2'ling4
围堵	wei2'du3
苇子	wei3'zi3
无所不能	wu2'suo3'bu4'neng2
下毒手	xia4'du2'shou3
凶悍	xiong1'han4
休戚相关	xiu1'qi1'xiang1'guan1
雅士	ya3'shi4
阳奉阴违	yang2'feng4'yin1'wei2
洋气	yang2'qi4
洋洋得意	yang2'yang2'de2'yi4
要案	yao4'an4
野果	ye3'guo3
夜莺	ye4'ying1
以致于	yi3'zhi4'yu2
引吭高歌	yin3'hang2'gao1'ge1
影人	ying3'ren2
邮包	you2'bao1
又红又专	you4'hong2'you4'zhuan1
月票	yue4'piao4
陨落	yun3'luo4
运输线	yun4'shu1'xian4
杂碎	za2'sui4
造孽	zao4'nie4
增温	zeng1'wen1
铡刀	zha2'dao1
