鬼胎	gui3'tai1
海螺	hai3'luo2
户头	hu4'tou2
花心	hua1'xin1
画幅	hua4'fu2
画龙点睛	hua4'long2'dian3'jing1
回迁	hui2'qian1
汇价	hui4'jia4
火攻	huo3'gong1
祸乱	huo4'luan4
记挂	ji4'gua4
季风气候	ji4'feng1'qi4'hou4
驾到	jia4'dao4
娇惯	jiao1'guan4
娇生惯养	jiao1'sheng1'guan4'yang3
街谈巷议	jie1'tan2'xiang4'yi4
今昔	jin1'xi1
开价	kai1'jia4
开市	kai1'shi4
狂轰滥炸	kuang2'hong1'lan4'zha4
扩军	kuo4'jun1
赖账	lai4'zhang4
懒觉	lan3'jiao4
郎君	lang2'jun1
累及	lei3'ji2
历书	li4'shu1
涟涟	lian2'lian2
六亲不认	liu4'qin1'bu4'ren4
路政	lu4'zheng4
马甲	ma3'jia3
满载而归	man3'zai4'er2'gui1
冒进	mao4'jin4
霉变	mei2'bian4
纳谏	na4'jian4
恼人	nao3'ren2
凝集	ning2'ji2
女巫	nv3'wu1
叛国	pan4'guo2
弃婴	qi4'ying1
千呼万唤	qian1'hu1'wan4'huan4
戕害	qiang1'hai4
勤学苦练	qin2'xue2'ku3'lian4
倾盆大雨	qing1'pen2'da4'yu3
山鸡	shan1'ji1
山响	shan1'xiang3
赏光	shang3'guang1
生产过剩	sheng1'chan3'guo4'sheng4
式微	shi4'wei1
瘦肉型	shou4'rou4'xing2
水淋淋	shui3'lin1'lin1
隧洞	sui4'dong4
摊牌	tan1'pai2
探查	tan4'cha2
探针	tan4'zhen1
同业公会	tong2'ye4'gong1'hui4
屠夫	tu2'fu1
万事如意	wan4'shi4'ru2'yi4
伪君子	wei3'jun1'zi3
下周	xia4'zhou1
相亲相爱	xiang1'qin1'xiang1'ai4
逍遥自在	xiao1'yao2'zi4'zai4
虚线	xu1'xian4
雪花膏	xue3'hua1'gao1
雪夜	xue3'ye4
音乐电视	yin1'yue4'dian4'shi4
永葆青春	yong3'bao3'qing1'chun1
泳池	yong3'chi2
有损于	you3'sun3'yu2
育儿	yu4'er2
寓居	yu4'ju1
增辉	zeng1'hui1
整队	zheng3'dui4
周正	zhou1'zheng4
肘子	zhou3'zi3
主政	zhu3'zheng4
阻击战	zu3'ji1'zhan4
拌和	ban4'huo4
报摊	bao4'tan1
奔走呼号	ben1'zou3'hu1'hao2
本年	ben3'nian2
表决权	biao3'jue2'quan2
傧相	bin1'xiang4
冰点	bing1'dian3
驳壳枪	bo2'ke2'qiang1
不毛	bu4'mao2
惨无人道	can3'wu2'ren2'dao4
草莽	cao3'mang3
茶饭	cha2'fan4
长话	chang2'hua4
城址	cheng2'zhi3
触手	chu4'shou3
传票	chuan2'piao4
创编	chuang4'bian1
炊具	chui1'ju4
纯金	chun2'jin1
大半夜	da4'ban4'ye4
点破	dian3'po4
电告	dian4'gao4
饭堂	fan4'tang2
范文	fan4'wen2
焚化	fen2'hua4
抚爱	fu3'ai4
干着急	gan1'zhao2'ji2
高抬贵手	gao1'tai2'gui4'shou3
拱形	gong3'xing2
供词	gong4'ci2
沟谷	gou1'gu3
骨瘦如柴	gu3'shou4'ru2'chai2
故城	gu4'cheng2
拐弯抹角	guai3'wan1'mo4'jiao3
惯养	guan4'yang3
鬼火	gui3'huo3
国贸	guo2'mao4
海星	hai3'xing1
旱季	han4'ji4
合股	he2'gu3
合欢	he2'huan1
核动力	he2'dong4'li4
虎将	hu3'jiang4
回顾展	hui2'gu4'zhan3
火头	huo3'tou2
急不可待	ji2'bu4'ke3'dai4
驾崩	jia4'beng1
教区	jiao4'qu1
界河	jie4'he2
拘押	ju1'ya1
巨无霸	ju4'wu2'ba4
决一死战	jue2'yi1'si3'zhan4
开小差	kai1'xiao3'chai1
犒劳	kao4'lao2
苦寒	ku3'han2
款额	kuan3'e2
狂放	kuang2'fang4
颅骨	lu2'gu3
录像片	lu4'xiang4'pian4
麻布	ma2'bu4
梅子	mei2'zi3
美滋滋	mei3'zi1'zi1
迷津	mi2'jin1
棉铃虫	mian2'ling2'chong2
抹脖子	mo3'bo2'zi
南来北往	nan2'lai2'bei3'wang3
南征北战	nan2'zheng1'bei3'zhan4
农艺	nong2'yi4
暖烘烘	nuan3'hong1'hong1
