门可罗雀	men2'ke3'luo2'que4
谜团	mi2'tuan2
明知故问	ming2'zhi1'gu4'wen4
目中无人	mu4'zhong1'wu2'ren2
耐看	nai4'kan4
内陆河	nei4'lu4'he2
努嘴	nu3'zui3
皮袍	pi2'pao2
气昂昂	qi4'ang2'ang2
强风	qiang2'feng1
青紫	qing1'zi3
球拍	qiu2'pai1
攘外	rang3'wai4
热病	re4'bing4
舢板	shan1'ban3
商社	shang1'she4
申斥	shen1'chi4
神气活现	shen2'qi4'huo2'xian4
收归	shou1'gui1
水线	shui3'xian4
说来话长	shuo1'lai2'hua4'chang2
送殡	song4'bin4
唐装	tang2'zhuang1
提款	ti2'kuan3
天年	tian1'nian2
图册	tu2'ce4
土专家	tu3'zhuan1'jia1
晚安	wan3'an1
微服	wei1'fu2
温厚	wen1'hou4
西王母	xi1'wang2'mu3
虾仁	xia1'ren2
心灵手巧	xin1'ling2'shou3'qiao3
绚丽多姿	xuan4'li4'duo1'zi1
殉节	xun4'jie2
压服	ya1'fu2
雅兴	ya3'xing4
秧田	yang1'tian2
遗孀	yi2'shuang1
乙炔	yi3'que1
臆想	yi4'xiang3
银器	yin2'qi4
幽谷	you1'gu3
幽禁	you1'jin4
幼体	you4'ti3
余款	yu2'kuan3
渔区	yu2'qu1
愚笨	yu2'ben4
预备队	yu4'bei4'dui4
预估	yu4'gu1
远游	yuan3'you2
制版	zhi4'ban3
中士	zhong1'shi4
朱笔	zhu1'bi3
竹板	zhu2'ban3
著书立说	zhu4'shu1'li4'shuo1
著文	zhu4'wen2
赚头	zhuan4'tou
自讨苦吃	zi4'tao3'ku3'chi1
自由体操	zi4'you2'ti3'cao1
字符	zi4'fu2
走极端	zou3'ji2'duan1
爱憎分明	ai4'zeng1'fen1'ming2
白鳍豚	bai2'qi2'tun2
暴烈	bao4'lie4
笔力	bi3'li4
残喘	can2'chuan3
惨淡经营	can3'dan4'jing1'ying2
彻骨	che4'gu3
辞令	ci2'ling4
淬火	cui4'huo3
打草	da3'cao3
代笔	dai4'bi3
代用品	dai4'yong4'pin3
当紧	dang1'jin3
挡箭牌	dang3'jian4'pai2
第二课堂	di4'er4'ke4'tang2
调研员	diao4'yan2'yuan2
顶楼	ding3'lou2
恶鬼	e4'gui3
翻白眼	fan1'bai2'yan3
反目	fan3'mu4
反其道而行之	fan3'qi2'dao4'er2'xing2'zhi1
梵文	fan4'wen2
防盗门	fang2'dao4'men2
放射源	fang4'she4'yuan2
粪坑	fen4'keng1
妇孺皆知	fu4'ru2'jie1'zhi1
赶写	gan3'xie3
感佩	gan3'pei4
橄榄枝	gan3'lan3'zhi1
刚正不阿	gang1'zheng4'bu4'e1
钢针	gang1'zhen1
高估	gao1'gu1
功成名就	gong1'cheng2'ming2'jiu4
鼓角	gu3'jiao3
鼓胀	gu3'zhang4
光驱	guang1'qu1
贵金属	gui4'jin1'shu3
滚热	gun3're4
航模	hang2'mo2
黑豆	hei1'dou4
坏账	huai4'zhang4
回电	hui2'dian4
昏死	hun1'si3
火烧火燎	huo3'shao1'huo3'liao2
火源	huo3'yuan2
记恨	ji4'hen4
尖头	jian1'tou2
奸邪	jian1'xie2
坚如磐石	jian1'ru2'pan2'shi2
剪报	jian3'bao4
奖券	jiang3'quan4
教职员	jiao4'zhi2'yuan2
禁书	jin4'shu1
举凡	ju3'fan2
抗税	kang4'shui4
窠臼	ke1'jiu4
老本儿	lao3'ben3'er2
离合	li2'he2
流弊	liu2'bi4
芦笋	lu2'sun3
论说	lun4'shuo1
明后天	ming2'hou4'tian1
拍马屁	pai1'ma3'pi4
屁事	pi4'shi4
破伤风	po4'shang1'feng1
奇袭	qi2'xi2
强渡	qiang2'du4
逡巡	qun1'xun2
热气球	re4'qi4'qiu2
肉片儿	rou4'pian1'er
软木	ruan3'mu4
上锁	shang4'suo3
身无分文	shen1'wu2'fen1'wen2
甚而至于	shen4'er2'zhi4'yu2
生搬硬套	sheng1'ban1'ying4'tao4
圣水	sheng4'shui3
师承	shi1'cheng2
石棉	shi2'mian2
识相	shi2'xiang4
是非曲直	shi4'fei1'qu1'zhi2
手无寸铁	shou3'wu2'cun4'tie3
税目	shui4'mu4
死期	si3'qi1
台历	tai2'li4
探身	tan4'shen1
烫发	tang4'fa4
套汇	tao4'hui4
倜傥	ti4'tang3
挑明	tiao1'ming2
贴金	tie1'jin1
统计表	tong3'ji4'biao3
偷情	tou1'qing2
团练	tuan2'lian4
玩乐	wan2'le4
万古长青	wan4'gu3'chang2'qing1
亡故	wang2'gu4
枉然	wang3'ran2
文思	wen2'si1
