大扫除	da4'sao3'chu2
单程	dan1'cheng2
道行	dao4'heng2
得了	de2'liao3
等效	deng3'xiao4
地气	di4'qi4
定语	ding4'yu3
东窗事发	dong1'chuang1'shi4'fa1
对门	dui4'men2
多灾多难	duo1'zai1'duo1'nan4
恶感	e4'gan3
耳鸣	er3'ming2
耳熟	er3'shu2
方砖	fang1'zhuan1
芳心	fang1'xin1
放还	fang4'huan2
浮力	fu2'li4
福星	fu2'xing1
搁笔	ge1'bi3
攻心	gong1'xin1
供品	gong4'pin3
孤芳自赏	gu1'fang1'zi4'shang3
孤陋寡闻	gu1'lou4'gua3'wen2
故都	gu4'du1
广漠	guang3'mo4
号哭;嚎哭	hao2'ku1
和顺	he2'shun4
河滨	he2'bin1
虎穴	hu3'xue2
滑稽戏	hua2'ji1'xi4
挥汗如雨	hui1'han4'ru2'yu3
回教	hui2'jiao4
霍霍	huo4'huo4
纪念册	ji4'nian4'ce4
谨小慎微	jin3'xiao3'shen4'wei1
经线	jing1'xian4
精耕细作	jing1'geng1'xi4'zuo4
绝种	jue2'zhong3
可好	ke3'hao3
客座教授	ke4'zuo4'jiao4'shou4
老调	lao3'diao4
立体声	li4'ti3'sheng1
灵位	ling2'wei4
卤水	lu3'shui3
冒风险	mao4'feng1'xian3
磨牙	mo2'ya2
墨鱼	mo4'yu2
南腔北调	nan2'qiang1'bei3'diao4
南辕北辙	nan2'yuan2'bei3'zhe2
内定	nei4'ding4
暖壶	nuan3'hu2
配乐	pei4'yue4
喷气式	pen1'qi4'shi4
频发	pin2'fa1
棋友	qi2'you3
启禀	qi3'bing3
球技	qiu2'ji4
人格化	ren2'ge2'hua4
如日中天	ru2'ri4'zhong1'tian1
乳白	ru3'bai2
闪光点	shan3'guang1'dian3
身外之物	shen1'wai4'zhi1'wu4
深挚	shen1'zhi4
石沉大海	shi2'chen2'da4'hai3
收市	shou1'shi4
受宠	shou4'chong3
书签	shu1'qian1
水晶宫	shui3'jing1'gong1
水潭	shui3'tan2
水族	shui3'zu2
说媒	shuo1'mei2
说戏	shuo1'xi4
死囚	si3'qiu2
宿营地	su4'ying2'di4
坦陈	tan3'chen2
汤药	tang1'yao4
调速	tiao2'su4
痛快淋漓	tong4'kuai4'lin2'li2
投敌	tou2'di2
托名	tuo1'ming2
外场	wai4'chang2
玩火	wan2'huo3
宛然	wan3'ran2
唯心	wei2'xin1
武备	wu3'bei4
习得	xi2'de2
喜不自禁	xi3'bu4'zi4'jin4
细账	xi4'zhang4
线形	xian4'xing2
详述	xiang2'shu4
像模像样	xiang4'mu2'xiang4'yang4
小春	xiao3'chun1
邪念	xie2'nian4
休戚与共	xiu1'qi1'yu3'gong4
锈蚀	xiu4'shi2
雪球	xue3'qiu2
牙龈	ya2'yin2
延年益寿	yan2'nian2'yi4'shou4
言路	yan2'lu4
验明	yan4'ming2
要著	yao4'zhe
业经	ye4'jing1
依山傍水	yi1'shan1'bang4'shui3
疑云	yi2'yun2
阴谋诡计	yin1'mou2'gui3'ji4
游猎	you2'lie4
愚人	yu2'ren2
预设	yu4'she4
允准	yun3'zhun3
扎眼	zha1'yan3
诈称	zha4'cheng1
照实	zhao4'shi2
正大光明	zheng4'da4'guang1'ming2
正电	zheng4'dian4
政审	zheng4'shen3
中间商	zhong1'jian1'shang1
重机枪	zhong4'ji1'qiang1
装卸工	zhuang1'xie4'gong1
走神儿	zou3'shen2'er
做针线	zuo4'zhen1'xian4
吧嗒	ba1'da
白喉	bai2'hou2
班底	ban1'di3
半身不遂	ban4'shen1'bu4'sui2
壁报	bi4'bao4
变易	bian4'yi4
不乏其人	bu4'fa2'qi2'ren2
彩照	cai3'zhao4
残月	can2'yue4
苍生	cang1'sheng1
岔路	cha4'lu4
潮红	chao2'hong2
楚楚动人	chu3'chu3'dong4'ren2
传习	chuan2'xi2
打鼾	da3'han1
打理	da3'li3
蛋壳	dan4'ke2
刀锋	dao1'feng1
东魏	dong1'wei4
独享	du2'xiang3
断语	duan4'yu3
耳热	er3're4
发辫	fa1'bian4
非难	fei1'nan4
肥壮	fei2'zhuang4
妇道	fu4'dao4
腹背受敌	fu4'bei4'shou4'di2
嘎吱	ga1'zhi1
纲纪	gang1'ji4
告假	gao4'jia4
工余	gong1'yu2
顾念	gu4'nian4
哄然	hong1'ran2
换岗	huan4'gang3
黄莺	huang2'ying1
回波	hui2'bo1
货柜	huo4'gui4
讥刺	ji1'ci4
继承法	ji4'cheng2'fa3
家兔	jia1'tu4
尖厉	jian1'li4
坚贞不屈	jian1'zhen1'bu4'qu1
见世面	jian4'shi4'mian4
娇弱	jiao1'ruo4
军乐团	jun1'yue4'tuan2
君权	jun1'quan2
开斋节	kai1'zhai1'jie2
亢进	kang4'jin4
刻毒	ke4'du2
扣减	kou4'jian3
枯坐	ku1'zuo4
劳务输出	lao2'wu4'shu1'chu1
老迈	lao3'mai4
冷面	leng3'mian4
令人作呕	ling4'ren2'zuo4'ou3
流线型	liu2'xian4'xing2
轮休	lun2'xiu1
毛毛雨	mao2'mao'yu3
美声	mei3'sheng1
免罪	mian3'zui4
名旦	ming2'dan4
母本	mu3'ben3
木本	mu4'ben3
暮霭	mu4'ai3
牛黄	niu2'huang2
浓妆艳抹	nong2'zhuang1'yan4'mo3
暖融融	nuan3'rong2'rong2
配音	pei4'yin1
偏旁	pian1'pang2
飘拂	piao1'fu2
剖腹	pou1'fu4
欠妥	qian4'tuo3
歉收	qian4'shou1
勤杂工	qin2'za2'gong1
燃气轮机	ran2'qi4'lun2'ji1
如意算盘	ru2'yi4'suan4'pan2
入殓	ru4'lian4
软卧	ruan3'wo4
上年纪	shang4'nian2'ji
石蜡	shi2'la4
时装表演	shi2'zhuang1'biao3'yan3
实干家	shi2'gan4'jia1
数理逻辑	shu4'li3'luo2'ji
水枪	shui3'qiang1
水上运动	shui3'shang4'yun4'dong4
汤匙	tang1'chi2
天高地厚	tian1'gao1'di4'hou4
铁道兵	tie3'dao4'bing1
铁树	tie3'shu4
吐字	tu3'zi4
团子	tuan2'zi3
脱帽	tuo1'mao4
玩偶	wan2'ou3
卫星通信	wei4'xing1'tong1'xin4
闻风而动	wen2'feng1'er2'dong4
嬉闹	xi1'nao4
下中农	xia4'zhong1'nong2
贤明	xian2'ming2
显像管	xian3'xiang4'guan3
相熟	xiang1'shu2
笑柄	xiao4'bing3
偕老	xie2'lao3
撷英	xie2'ying1
新交	xin1'jiao1
学监	xue2'jian1
伢子	ya2'zi3
眼尖	yan3'jian1
艳阳天	yan4'yang2'tian1
一团糟	yi1'tuan2'zao1
遗落	yi2'luo4
阴湿	yin1'shi1
饮食业	yin3'shi2'ye4
硬功夫	ying4'gong1'fu
用脑	yong4'nao3
游鱼	you2'yu2
于事无补	yu2'shi4'wu2'bu3
