上篮	shang4'lan2
受检	shou4'jian3
水杉	shui3'shan1
算话	suan4'hua4
天庭	tian1'ting2
贴现率	tie1'xian4'lv4
吐丝	tu3'si1
晚节	wan3'jie2
窝火	wo1'huo3
屋宇	wu1'yu3
无病呻吟	wu2'bing4'shen1'yin2
喜新厌旧	xi3'xin1'yan4'jiu4
下房	xia4'fang2
下眼皮	xia4'yan3'pi2
先觉	xian1'jue2
先入为主	xian1'ru4'wei2'zhu3
小夫妻	xiao3'fu1'qi1
兴利除弊	xing1'li4'chu2'bi4
学童	xue2'tong2
徇私	xun4'si1
牙根	ya2'gen1
洋式	yang2'shi4
役使	yi4'shi3
淫妇	yin2'fu4
引经据典	yin3'jing1'ju4'dian3
引以自豪	yin3'yi3'zi4'hao2
硬碰硬	ying4'peng4'ying4
芋头	yu4'tou2
云锦	yun2'jin3
愠怒	yun4'nu4
再议	zai4'yi4
战旗	zhan4'qi2
镇定自若	zhen4'ding4'zi4'ruo4
正剧	zheng4'ju4
只字不提	zhi1'zi4'bu4'ti2
枝杈	zhi1'cha4
种猪	zhong3'zhu1
众口一词	zhong4'kou3'yi1'ci2
庄户人	zhuang1'hu4'ren2
浊流	zhuo2'liu2
组稿	zu3'gao3
做诗	zuo4'shi1
安神	an1'shen2
氨水	an1'shui3
暗娼	an4'chang1
八仙过海	ba1'xian1'guo4'hai3
败笔	bai4'bi3
悲悼	bei1'dao4
鄙弃	bi3'qi4
彪形大汉	biao1'xing2'da4'han4
表土	biao3'tu3
冰场	bing1'chang3
播弄	bo1'nong
搏动	bo2'dong4
不管三七二十一	bu4'guan3'san1'qi1'er4'shi2'yi1
残部	can2'bu4
草绿	cao3'lv4
唱本	chang4'ben3
撤兵	che4'bing1
逞能	cheng3'neng2
迟延	chi2'yan2
迟滞	chi2'zhi4
充公	chong1'gong1
重洋	chong2'yang2
仇家	chou2'jia1
丑话	chou3'hua4
触礁	chu4'jiao1
穿衣镜	chuan1'yi1'jing4
传送带	chuan2'song4'dai4
醇香	chun2'xiang1
从犯	cong2'fan4
催办	cui1'ban4
错话	cuo4'hua4
打尖	da3'jian1
打算盘	da3'suan4'pan
大步流星	da4'bu4'liu2'xing1
大有文章	da4'you3'wen2'zhang1
地温	di4'wen1
订做	ding4'zuo4
斗法	dou4'fa3
独子	du2'zi3
端阳节	duan1'yang2'jie2
断头台	duan4'tou2'tai2
二郎腿	er4'lang2'tui3
反证	fan3'zheng4
防毒	fang2'du2
坟堆	fen2'dui1
封号	feng1'hao4
峰回路转	feng1'hui2'lu4'zhuan3
福寿	fu2'shou4
赋闲	fu4'xian2
腹胀	fu4'zhang4
杠杠	gang4'gang
梗概	geng3'gai4
观赛	guan1'sai4
海碗	hai3'wan3
含情脉脉	han2'qing2'mai4'mai4
好半天	hao3'ban4'tian1
好气	hao3'qi4
耗能	hao4'neng2
