哀叫	ai1'jiao4
哀怜	ai1'lian2
白果	bai2'guo3
本当	ben3'dang1
拆散	chai1'san3
超水平	chao1'shui3'ping2
车辙	che1'zhe2
撑竿跳高;撑杆跳高	cheng1'gan1'tiao4'gao1
出版商	chu1'ban3'shang1
从教	cong2'jiao4
呆若木鸡	dai1'ruo4'mu4'ji1
代售	dai4'shou4
道貌岸然	dao4'mao4'an4'ran2
地契	di4'qi4
断肠	duan4'chang2
耳际	er3'ji4
贩黄	fan4'huang2
飞红	fei1'hong2
肥胖症	fei2'pang4'zheng4
奉还	feng4'huan2
敷设	fu1'she4
附表	fu4'biao3
根雕	gen1'diao1
功德无量	gong1'de2'wu2'liang4
狗腿子	gou3'tui3'zi3
孤儿寡母	gu1'er2'gua3'mu3
国宴	guo2'yan4
海产	hai3'chan3
寒热	han2're4
喝西北风	he1'xi1'bei3'feng1
后娘	hou4'niang2
画匠	hua4'jiang4
欢颜	huan1'yan2
甲肝	jia3'gan1
将计就计	jiang1'ji4'jiu4'ji4
校验	xiao4'yan4
节衣缩食	jie2'yi1'suo1'shi2
借调	jie4'diao4
借宿	jie4'su4
晋职	jin4'zhi2
静物	jing4'wu4
九泉	jiu3'quan2
军刀	jun1'dao1
龟裂	jun1'lie4
开河	kai1'he2
狂怒	kuang2'nu4
老大妈	lao3'da4'ma1
老生常谈	lao3'sheng1'chang2'tan2
烙铁	lao4'tie
冷天	leng3'tian1
连理	lian2'li3
陋室	lou4'shi4
摸准	mo1'zhun3
旁顾	pang2'gu4
喷漆	pen1'qi1
喷水池	pen1'shui3'chi2
碰头会	peng4'tou2'hui4
劈头盖脸	pi1'tou2'gai4'lian3
前缘	qian2'yuan2
切肤之痛	qie4'fu1'zhi1'tong4
青皮	qing1'pi2
泅水	qiu2'shui3
劝架	quan4'jia4
群居	qun2'ju1
商情	shang1'qing2
上油	shang4'you2
慑于	she4'yu2
失和	shi1'he2
输家	shu1'jia1
束手就擒	shu4'shou3'jiu4'qin2
竖琴	shu4'qin2
双喜临门	shuang1'xi3'lin2'men2
爽利	shuang3'li4
水獭	shui3'ta3
思谋	si1'mou2
死讯	si3'xun4
塔吊	ta3'diao4
探亲访友	tan4'qin1'fang3'you3
体改	ti3'gai3
