快信	kuai4'xin4
矿渣	kuang4'zha1
来料	lai2'liao4
擂主	lei4'zhu3
淋病	lin4'bing4
屡禁不绝	lv3'jin4'bu4'jue2
美食家	mei3'shi2'jia1
末世	mo4'shi4
男声	nan2'sheng1
内画	nei4'hua4
尿盆	niao4'pen2
凝思	ning2'si1
泡沫塑料	pao4'mo4'su4'liao4
皮条	pi2'tiao2
辟谣	pi4'yao2
拼盘	pin1'pan2
平摊	ping2'tan1
平展	ping2'zhan3
奇幻	qi2'huan4
歧路	qi2'lu4
骑警	qi2'jing3
旗鼓相当	qi2'gu3'xiang1'dang1
虔敬	qian2'jing4
请便	qing3'bian4
求全	qiu2'quan2
确系	que4'xi4
沙砾	sha1'li4
深谈	shen1'tan2
生涩	sheng1'se4
识时务	shi2'shi2'wu4
世交	shi4'jiao1
受凉	shou4'liang2
双关	shuang1'guan1
松针	song1'zhen1
太空人	tai4'kong1'ren2
弹词	tan2'ci2
特种兵	te4'zhong3'bing1
剃刀	ti4'dao1
条规	tiao2'gui1
温情脉脉	wen1'qing2'mo4'mo4
问句	wen4'ju4
午前	wu3'qian2
误人子弟	wu4'ren2'zi3'di4
洗尘	xi3'chen2
下嫁	xia4'jia4
闲气	xian2'qi4
嫌隙	xian2'xi4
显灵	xian3'ling2
小家电	xiao3'jia1'dian4
信鸽	xin4'ge1
信手拈来	xin4'shou3'nian1'lai2
嘘声	xu1'sheng1
血样	xue4'yang4
寻欢作乐	xun2'huan1'zuo4'le4
炎夏	yan2'xia4
扬声器	yang2'sheng1'qi4
阳沟	yang2'gou1
洋槐	yang2'huai2
洋铁	yang2'tie3
养尊处优	yang3'zun1'chu3'you1
腰斩	yao1'zhan3
叶脉	ye4'mai4
夜航	ye4'hang2
一哄而散	yi1'hong4'er2'san4
衣钵	yi1'bo1
以暴易暴	yi3'bao4'yi4'bao4
义勇	yi4'yong3
译音	yi4'yin1
意译	yi4'yi4
因噎废食	yin1'ye1'fei4'shi2
阴魂	yin1'hun2
饮泣	yin3'qi4
渔具	yu2'ju4
圆通	yuan2'tong1
远客	yuan3'ke4
远路	yuan3'lu4
早恋	zao3'lian4
贼亮	zei2'liang4
赠予;赠与	zeng4'yu3
找死	zhao3'si3
折旧费	zhe2'jiu4'fei4
挚情	zhi4'qing2
竹布	zhu2'bu4
装病	zhuang1'bing4
锥形	zhui1'xing2
着重点	zhuo2'zhong4'dian3
总方针	zong3'fang1'zhen1
罪魁	zui4'kui2
尊号	zun1'hao4
左右逢源	zuo3'you4'feng2'yuan2
瓣膜	ban4'mo2
报丧	bao4'sang1
本题	ben3'ti2
鼻血	bi2'xue4
鼻烟	bi2'yan1
别传	bie2'zhuan4
病入膏肓	bing4'ru4'gao1'huang1
惨绝人寰	can3'jue2'ren2'huan2
长笛	chang2'di2
畅叙	chang4'xu4
迟暮	chi2'mu4
储运	chu3'yun4
春晖	chun1'hui1
糍粑	ci2'ba1
搭客	da1'ke4
打击乐	da3'ji1'le4
党徽	dang3'hui1
倒贴	dao4'tie1
底下人	di3'xia'ren2
兜风	dou1'feng1
毒液	du2'ye4
对簿公堂	dui4'bu4'gong1'tang2
墩子	dun1'zi3
扼制	e4'zhi4
恩泽	en1'ze2
返城	fan3'cheng2
犯傻	fan4'sha3
防污	fang2'wu1
房颤	fang2'chan4
纺线	fang3'xian4
坟场	fen2'chang3
粉皮	fen3'pi2
蜂窝煤	feng1'wo1'mei2
甘美	gan1'mei3
钢琴曲	gang1'qin2'qu3
高深莫测	gao1'shen1'mo4'ce4
鬼斧神工	gui3'fu3'shen2'gong1
果酱	guo3'jiang4
何首乌	he2'shou3'wu1
侯爵	hou2'jue2
花呢	hua1'ni2
坏分子	huai4'fen1'zi3
黄疸	huang2'dan3
黄芪	huang2'qi2
惶惶然	huang2'huang2'ran2
昏沉	hun1'chen2
活泛	huo2'fan
家私	jia1'si1
尖酸	jian1'suan1
斤两	jin1'liang3
京腔	jing1'qiang1
粳米	jing1'mi3
颈椎病	jing3'zhui1'bing4
景泰蓝	jing3'tai4'lan2
炕席	kang4'xi2
块头	kuai4'tou2
兰草	lan2'cao3
