三相	san1'xiang1
深明大义	shen1'ming2'da4'yi4
生闷气	sheng1'men4'qi4
盛誉	sheng4'yu4
识趣	shi2'qu4
试纸	shi4'zhi3
收纳	shou1'na4
手艺人	shou3'yi4'ren2
首功	shou3'gong1
水房	shui3'fang2
贪玩儿	tan1'wan2'er2
糖衣炮弹	tang2'yi1'pao4'dan4
特指	te4'zhi3
腾跃	teng2'yue4
腾云驾雾	teng2'yun2'jia4'wu4
天马行空	tian1'ma3'xing2'kong1
甜食	tian2'shi2
童声	tong2'sheng1
偷梁换柱	tou1'liang2'huan4'zhu4
头昏眼花	tou2'hun1'yan3'hua1
瓦工	wa3'gong1
外院	wai4'yuan4
晚熟	wan3'shu2
万象更新	wan4'xiang4'geng1'xin1
妄自菲薄	wang4'zi4'fei3'bo2
乌龙茶	wu1'long2'cha2
吸力	xi1'li4
下怀	xia4'huai2
相好	xiang1'hao3
小手指	xiao3'shou3'zhi3
歇后语	xie1'hou4'yu3
心包	xin1'bao1
药性	yao4'xing4
一病不起	yi1'bing4'bu4'qi3
一股脑儿	yi1'gu3'nao3'er
一挥而就	yi1'hui1'er2'jiu4
易爆	yi4'bao4
音质	yin1'zhi4
迎头痛击	ying2'tou2'tong4'ji1
永诀	yong3'jue2
咏叹	yong3'tan4
有生	you3'sheng1
鱼皮	yu2'pi2
月宫	yue4'gong1
遭劫	zao1'jie2
造次	zao4'ci4
造影	zao4'ying3
斋戒	zhai1'jie4
樟木	zhang1'mu4
掌上明珠	zhang3'shang4'ming2'zhu1
正果	zheng4'guo3
中气	zhong1'qi4
周详	zhou1'xiang2
周遭	zhou1'zao1
驻在国	zhu4'zai4'guo2
转弯抹角	zhuan3'wan1'mo4'jiao3
壮健	zhuang4'jian4
罪有应得	zui4'you3'ying1'de2
做礼拜	zuo4'li3'bai4
案由	an4'you2
白话诗	bai2'hua4'shi1
百闻不如一见	bai3'wen2'bu4'ru2'yi1'jian4
败家	bai4'jia1
胞弟	bao1'di4
碑石	bei1'shi2
北斗星	bei3'dou3'xing1
备件	bei4'jian4
