轻武器	qing1'wu3'qi4
清教徒	qing1'jiao4'tu2
清库	qing1'ku4
丘八	qiu1'ba1
求购	qiu2'gou4
曲径	qu3'jing4
权且	quan2'qie3
蜷伏	quan2'fu2
绒花	rong2'hua1
如影随形	ru2'ying3'sui2'xing2
色盲	se4'mang2
杀身之祸	sha1'shen1'zhi1'huo4
砂轮	sha1'lun2
鳝鱼	shan4'yu2
少年法庭	shao4'nian2'fa3'ting2
生光	sheng1'guang1
盛情难却	sheng4'qing2'nan2'que4
失宠	shi1'chong3
失身	shi1'shen1
诗会	shi1'hui4
事过境迁	shi4'guo4'jing4'qian1
首场	shou3'chang3
首日封	shou3'ri4'feng1
殊途同归	shu1'tu2'tong2'gui1
输油管	shu1'you2'guan3
松松垮垮	song1'song1'kua3'kua3
酸涩	suan1'se4
蒜头	suan4'tou2
抬轿	tai2'jiao4
泰然自若	tai4'ran2'zi4'ruo4
探戈	tan4'ge1
探亲假	tan4'qin1'jia3
糖浆	tang2'jiang1
特需	te4'xu1
通才	tong1'cai2
童真	tong2'zhen1
投寄	tou2'ji4
文牍	wen2'du2
稳操胜券	wen3'cao1'sheng4'quan4
涡流	wo1'liu2
熙来攘往	xi1'lai2'rang3'wang3
细粮	xi4'liang2
下半截	xia4'ban4'jie2
夏令	xia4'ling4
先父	xian1'fu4
贤达	xian2'da2
现价	xian4'jia4
相较	xiang1'jiao4
小水电	xiao3'shui3'dian4
小坐	xiao3'zuo4
心腹之患	xin1'fu4'zhi1'huan4
新贵	xin1'gui4
牙床	ya2'chuang2
言归于好	yan2'gui1'yu2'hao3
厌弃	yan4'qi4
厌学	yan4'xue2
阳痿	yang2'wei3
谒见	ye4'jian4
遗传工程	yi2'chuan2'gong1'cheng2
以泪洗面	yi3'lei4'xi3'mian4
以偏概全	yi3'pian1'gai4'quan2
异香	yi4'xiang1
渔人	yu2'ren2
圆寂	yuan2'ji4
远涉重洋	yuan3'she4'chong2'yang2
熨帖	yu4'tie1
杂务	za2'wu4
择偶	ze2'ou3
朝晖	zhao1'hui1
针线活儿	zhen1'xian4'huo2'er2
阵地战	zhen4'di4'zhan4
整装	zheng3'zhuang1
正品	zheng4'pin3
支气管	zhi1'qi4'guan3
中央银行	zhong1'yang1'yin2'hang2
重活儿	zhong4'huo2'er2
重头	zhong4'tou2
抓典型	zhua1'dian3'xing2
走火入魔	zou3'huo3'ru4'mo2
按压	an4'ya1
暗恋	an4'lian4
扳倒	ban1'dao3
半坡	ban4'po1
保票	bao3'piao4
被里	bei4'li3
被头	bei4'tou2
鞭笞	bian1'chi1
贬斥	bian3'chi4
病退	bing4'tui4
补益	bu3'yi4
步步为营	bu4'bu4'wei2'ying2
参谋部	can1'mou2'bu4
参照物	can1'zhao4'wu4
残冬	can2'dong1
吃官司	chi1'guan1'si1
充填	chong1'tian2
出溜	chu1'liu
初探	chu1'tan4
大方向	da4'fang'xiang4
大轿车	da4'jiao4'che1
胆大包天	dan3'da4'bao1'tian1
导言	dao3'yan2
灯台	deng1'tai2
底牌	di3'pai2
电话局	dian4'hua4'ju2
电信号	dian4'xin4'hao4
貂皮	diao1'pi2
定规	ding4'gui1
豆腐脑儿	dou4'fu'nao3'er
毒气弹	du2'qi4'dan4
独院	du2'yuan4
短平快	duan3'ping2'kuai4
对号入座	dui4'hao4'ru4'zuo4
兑取	dui4'qu3
二重性	er4'chong2'xing4
发虚	fa1'xu1
分册	fen1'ce4
风俗画	feng1'su2'hua4
蜂房	feng1'fang2
付账	fu4'zhang4
钙化	gai4'hua4
高山流水	gao1'shan1'liu2'shui3
告老	gao4'lao3
公而忘私	gong1'er2'wang4'si1
公侯	gong1'hou2
公审	gong1'shen3
够不着	gou4'bu4'zhe
锅铲	guo1'chan3
旱船	han4'chuan2
好说歹说	hao3'shuo1'dai3'shuo1
黑木耳	hei1'mu4'er3
忽明忽暗	hu1'ming2'hu1'an4
糊涂虫	hu2'tu'chong2
划拳	hua2'quan2
伙夫	huo3'fu1
激奋	ji1'fen4
急症	ji2'zheng4
集体舞	ji2'ti3'wu3
记工	ji4'gong1
技高一筹	ji4'gao1'yi1'chou2
家兄	jia1'xiong1
夹衣	jia1'yi1
减数	jian3'shu4
讲情	jiang3'qing2
结肠	jie2'chang2
届期	jie4'qi1
九天	jiu3'tian1
拉纤	la1'qian4
乐善好施	le4'shan4'hao4'shi1
理疗	li3'liao2
练达	lian4'da2
凉席	liang2'xi2
临界点	lin2'jie4'dian3
落井下石	luo4'jing3'xia4'shi2
码子	ma3'zi3
卖价	mai4'jia4
美容师	mei3'rong2'shi1
盟约	meng2'yue1
弥撒	mi2'sa
勉为其难	mian3'wei2'qi2'nan2
名噪一时	ming2'zao4'yi1'shi2
冥思	ming2'si1
目不识丁	mu4'bu4'shi2'ding1
脑瘤	nao3'liu2
牛虻	niu2'meng2
派发	pai4'fa1
胚芽	pei1'ya2
赔罪	pei2'zui4
碰击	peng4'ji1
聘礼	pin4'li3
凭栏	ping2'lan2
期许	qi1'xu3
起价	qi3'jia4
千伏	qian1'fu2
