夜晚	ye4'wan3
歌曲	ge1'qu3
平原	ping2'yuan2
支柱	zhi1'zhu4
得意	de2'yi4
宏伟	hong2'wei3
审理	shen3'li3
水稻	shui3'dao4
兴起	xing1'qi3
当即	dang1'ji2
整改	zheng3'gai3
长春	chang2'chun1
大幅	da4'fu2
贴近	tie1'jin4
也好	ye3'hao3
爱心	ai4'xin1
福州	fu2'zhou1
失误	shi1'wu4
电视剧	dian4'shi4'ju4
招呼	zhao1'hu1
顽强	wan2'qiang2
评议	ping2'yi4
认可	ren4'ke3
宾馆	bin1'guan3
车站	che1'zhan4
现金	xian4'jin1
灿烂	can4'lan4
互利	hu4'li4
家伙	jia1'huo
勉强	mian3'qiang3
地处	di4'chu3
转让	zhuan3'rang4
分歧	fen1'qi2
报名	bao4'ming2
边界	bian1'jie4
使馆	shi3'guan3
共和国	gong4'he2'guo2
利于	li4'yu2
班长	ban1'chang2
私营	si1'ying2
恶化	e4'hua4
深远	shen1'yuan3
尝试	chang2'shi4
红旗	hong2'qi2
院校	yuan4'xiao4
荷兰	he2'lan2
有趣	you3'qu4
男人	nan2'ren
全都	quan2'dou1
节奏	jie2'zou4
活泼	huo2'po1
平安	ping2'an1
司令	si1'ling4
自家	zi4'jia1
义务教育	yi4'wu4'jiao4'yu4
股份	gu3'fen4
课堂	ke4'tang2
划分	hua4'fen1
便宜	pian2'yi
设想	she4'xiang3
行人	xing2'ren2
水面	shui3'mian4
着重	zhuo2'zhong4
边防	bian1'fang2
中部	zhong1'bu4
新兴	xin1'xing1
希腊	xi1'la4
过年	guo4'nian2
骄傲	jiao1'ao4
融合	rong2'he2
看待	kan4'dai4
庄严	zhuang1'yan2
没什么	mei2'shen2'me
等级	deng3'ji2
延长	yan2'chang2
固然	gu4'ran2
整合	zheng3'he2
办案	ban4'an4
胳膊	ge1'bo
选民	xuan3'min2
着急	zhao2'ji2
防御	fang2'yu4
抗日	kang4'ri4
依托	yi1'tuo1
东亚	dong1'ya4
当日	dang4'ri4
工程师	gong1'cheng2'shi1
承办	cheng2'ban4
大爷	da4'ye2
总裁	zong3'cai2
亏损	kui1'sun3
太原	tai4'yuan2
分明	fen1'ming2
单一	dan1'yi1
感慨	gan3'kai3
养老	yang3'lao3
珍贵	zhen1'gui4
党组	dang3'zu3
科普	ke1'pu3
隔离	ge2'li2
缩小	suo1'xiao3
陌生	mo4'sheng1
救灾	jiu4'zai1
八一	ba1'yi1
综合治理	zong1'he2'zhi4'li3
调解	tiao2'jie3
指数	zhi3'shu4
内阁	nei4'ge2
帽子	mao4'zi3
心态	xin1'tai4
动摇	dong4'yao2
佛教	fo2'jiao4
否认	fou3'ren4
征收	zheng1'shou1
便利	bian4'li4
港口	gang3'kou3
节水	jie2'shui3
颁发	ban1'fa1
招生	zhao1'sheng1
规矩	gui1'ju3
乡亲	xiang1'qin1
分工	fen1'gong1
留学	liu2'xue2
厕所	ce4'suo3
景区	jing3'qu1
应对	ying4'dui4
自然	zi4'ran
农场	nong2'chang3
底下	di3'xia
华侨	hua2'qiao2
帮忙	bang1'mang2
细致	xi4'zhi4
增产	zeng1'chan3
去世	qu4'shi4
饲料	si4'liao4
干警	gan4'jing3
国债	guo2'zhai4
利率	li4'lv4
味道	wei4'dao4
呼唤	hu1'huan4
向上	xiang4'shang4
不止	bu4'zhi3
旅游业	lv3'you2'ye4
保健	bao3'jian4
化肥	hua4'fei2
模型	mo2'xing2
好多	hao3'duo1
会场	hui4'chang3
学历	xue2'li4
海域	hai3'yu4
建造	jian4'zao4
凌晨	ling2'chen2
农田	nong2'tian2
脚下	jiao3'xia4
传染病	chuan2'ran3'bing4
不及	bu4'ji2
船舶	chuan2'bo2
境外	jing4'wai4
开办	kai1'ban4
就此	jiu4'ci3
渗透	shen4'tou4
布置	bu4'zhi4
观测	guan1'ce4
维修	wei2'xiu1
青海	qing1'hai3
占据	zhan4'ju4
许可证	xu3'ke3'zheng4
跟踪	gen1'zong1
年前	nian2'qian2
出路	chu1'lu4
树木	shu4'mu4
倘若	tang3'ruo4
辞职	ci2'zhi2
艰巨	jian1'ju4
强制	qiang2'zhi4
扩散	kuo4'san4
演习	yan3'xi2
结果	jie1'guo3
吉林	ji2'lin2
口袋	kou3'dai4
初级	chu1'ji2
深度	shen1'du4
动人	dong4'ren2
