煎药	jian1'yao4
健身器	jian4'shen1'qi4
搅拌机	jiao3'ban4'ji1
教规	jiao4'gui1
借光	jie4'guang1
金戈铁马	jin1'ge1'tie3'ma3
旧观	jiu4'guan1
开屏	kai1'ping2
空头支票	kong1'tou2'zhi1'piao4
苦思冥想	ku3'si1'ming2'xiang3
廊子	lang2'zi3
老掉牙	lao3'diao4'ya2
离题	li2'ti2
礼拜堂	li3'bai4'tang2
囹圄	ling2'yu3
留守处	liu2'shou3'chu3
履带	lv3'dai4
掠取	lve4'qu3
满文	man3'wen2
毛虫	mao2'chong2
门庭冷落	men2'ting2'leng3'luo4
年假	nian2'jia4
牛气	niu2'qi4
刨食	bao4'shi2
喷香	pen4'xiang1
披星戴月	pi1'xing1'dai4'yue4
劈手	pi1'shou3
坡道	po1'dao4
葡萄球菌	pu2'tao2'qiu2'jun1
朴质	pu3'zhi4
气垫船	qi4'dian4'chuan2
气浪	qi4'lang4
契税	qi4'shui4
前爪	qian2'zhao3
浅近	qian3'jin4
枪把	qiang1'ba3
翘首以待	qiao2'shou3'yi3'dai4
轻车熟路	qing1'che1'shu2'lu4
清障	qing1'zhang4
缺额	que1'e2
入药	ru4'yao4
若有所失	ruo4'you3'suo3'shi1
散兵游勇	san3'bing1'you2'yong3
散养	san4'yang3
山冈	shan1'gang1
删减	shan1'jian3
善行	shan4'xing2
上寿	shang4'shou4
上算	shang4'suan4
烧锅	shao1'guo1
深冬	shen1'dong1
深山老林	shen1'shan1'lao3'lin2
诗境	shi1'jing4
手提箱	shou3'ti2'xiang1
熟谙	shu2'an1
恕罪	shu4'zui4
朔日	shuo4'ri4
搜求	sou1'qiu2
套裙	tao4'qun2
特种邮票	te4'zhong3'you2'piao4
填空	tian2'kong4
挑夫	tiao1'fu1
跳神	tiao4'shen2
通铺	tong1'pu4
偷换	tou1'huan4
徒有虚名	tu2'you3'xu1'ming2
万丈深渊	wan4'zhang4'shen1'yuan1
妄自尊大	wang4'zi4'zun1'da4
望眼欲穿	wang4'yan3'yu4'chuan1
违拗	wei2'ao4
尾追	wei3'zhui1
问诊	wen4'zhen3
西魏	xi1'wei4
闲空	xian2'kong4
贤淑	xian2'shu1
县级市	xian4'ji2'shi4
相与	xiang1'yu3
香片	xiang1'pian4
小儿麻痹症	xiao3'er2'ma2'bi4'zheng4
校医	xiao4'yi1
校友会	xiao4'you3'hui4
行迹	xing2'ji4
眼梢	yan3'shao1
扬子鳄	yang2'zi3'e4
药膏	yao4'gao1
一掷千金	yi1'zhi4'qian1'jin1
咿呀	yi1'ya1
异邦	yi4'bang1
音乐喷泉	yin1'yue4'pen1'quan2
殷鉴	yin1'jian4
喑哑	yin1'ya3
荧光灯	ying2'guang1'deng1
萤火	ying2'huo3
邮轮	you2'lun2
