变天	bian4'tian1
便宜行事	bian4'yi2'xing2'shi4
屏退	bing3'tui4
裁撤	cai2'che4
曾经沧海	ceng2'jing1'cang1'hai3
差不离	cha4'bu'li2
冲力	chong1'li4
臭烘烘	chou4'hong1'hong1
出口成章	chu1'kou3'cheng2'zhang1
窗框	chuang1'kuang4
大侠	da4'xia2
当家的	dang1'jia1'de
党参	dang3'shen1
导语	dao3'yu3
电报局	dian4'bao4'ju2
凋落	diao1'luo4
吊丧	diao4'sang1
叠嶂	die2'zhang4
动口	dong4'kou3
独具一格	du2'ju4'yi1'ge2
独善其身	du2'shan4'qi2'shen1
断粮	duan4'liang2
二房	er4'fang2
二线	er4'xian4
发闷	fa1'men4
罚酒	fa2'jiu3
翻检	fan1'jian3
反身	fan3'shen1
飞散	fei1'san4
悱恻	fei3'ce4
分秒必争	fen1'miao3'bi4'zheng1
分母	fen1'mu3
锋刃	feng1'ren4
佛手	fo2'shou3
浮泛	fu2'fan4
福尔马林	fu2'er3'ma3'lin2
港资	gang3'zi1
高效能	gao1'xiao4'neng2
公干	gong1'gan4
怪模怪样	guai4'mu2'guai4'yang4
广而告之	guang3'er2'gao4'zhi1
行间	hang2'jian1
后会有期	hou4'hui4'you3'qi1
护身	hu4'shen1
华表	hua2'biao3
毁约	hui3'yue1
火墙	huo3'qiang2
叽咕	ji1'gu1
计价器	ji4'jia4'qi4
骄矜	jiao1'jin1
角质	jiao3'zhi4
金榜题名	jin1'bang3'ti2'ming2
金不换	jin1'bu'huan4
禁药	jin4'yao4
竞逐	jing4'zhu2
酒缸	jiu3'gang1
旧宅	jiu4'zhai2
枯骨	ku1'gu3
狂傲	kuang2'ao4
溃不成军	kui4'bu4'cheng2'jun1
老例	lao3'li4
历朝	li4'chao2
联唱	lian2'chang4
良缘	liang2'yuan2
令狐	ling2'hu2
流行色	liu2'xing2'se4
马车夫	ma3'che1'fu1
美差	mei3'chai1
媚外	mei4'wai4
末节	mo4'jie2
难舍难分	nan2'she3'nan2'fen1
年礼	nian2'li3
柠檬酸	ning2'meng2'suan1
宁死不屈	ning4'si3'bu4'qu1
浓艳	nong2'yan4
弄假成真	nong4'jia3'cheng2'zhen1
怒目而视	nu4'mu4'er2'shi4
偶发	ou3'fa1
排班	pai2'ban1
牌儿	pai2'er2
旁征博引	pang2'zheng1'bo2'yin3
陪审团	pei2'shen3'tuan2
皮包骨	pi2'bao1'gu3
皮炎	pi2'yan2
平面图	ping2'mian4'tu2
婆子	po2'zi3
妻离子散	qi1'li2'zi3'san4
起敬	qi3'jing4
气动	qi4'dong4
汽船	qi4'chuan2
前例	qian2'li4
琴键	qin2'jian4
绕场	rao4'chang3
如坐针毡	ru2'zuo4'zhen1'zhan1
孺子	ru2'zi3
洒泪	sa3'lei4
山径	shan1'jing4
山炮	shan1'pao4
山系	shan1'xi4
社会教育	she4'hui4'jiao4'yu4
生分	sheng1'fen
生猛	sheng1'meng3
盛意	sheng4'yi4
施教	shi1'jiao1
熟记	shu2'ji4
蜀汉	shu3'han4
帅哥	shuai4'ge1
死对头	si3'dui4'tou2
宿命论	su4'ming4'lun4
太虚	tai4'xu1
题旨	ti2'zhi3
天各一方	tian1'ge4'yi1'fang1
甜丝丝	tian2'si1'si1
条形码	tiao2'xing2'ma3
图板	tu2'ban3
蜕皮	tui4'pi2
娓娓动听	wei3'wei3'dong4'ting1
文案	wen2'an4
五讲四美	wu3'jiang3'si4'mei3
戏耍	xi4'shua3
细纱	xi4'sha1
县立	xian4'li4
香菜	xiang1'cai4
小月	xiao3'yue4
卸职	xie4'zhi2
驯良	xun4'liang2
压轴	ya1'zhou2
言之有物	yan2'zhi1'you3'wu4
筵宴	yan2'yan4
演播	yan3'bo1
移动靶	yi2'dong4'ba3
鹰犬	ying1'quan3
泳衣	yong3'yi1
邮筒	you2'tong3
油嘴儿	you2'zui3'er2
有劳	you3'lao2
余暇	yu2'xia2
预言家	yu4'yan2'jia1
圆滚滚	yuan2'gun3'gun3
远扬	yuan3'yang2
月华	yue4'hua2
月琴	yue4'qin2
跃马	yue4'ma3
早婚	zao3'hun1
灶膛	zao4'tang2
招贤	zhao1'xian2
争胜	zheng1'sheng4
知命	zhi1'ming4
至迟	zhi4'chi2
忠直	zhong1'zhi2
祝酒	zhu4'jiu3
专擅	zhuan1'shan4
装聋作哑	zhuang1'long2'zuo4'ya3
自我陶醉	zi4'wo3'tao2'zui4
