蒜薹	suan4'tai2
孙媳妇	sun1'xi2'fu
缩手	suo1'shou3
谈资	tan2'zi1
体位	ti3'wei4
体温计	ti3'wen1'ji4
天人合一	tian1'ren2'he2'yi1
铁定	tie3'ding4
通例	tong1'li4
同好	tong2'hao4
统收	tong3'shou1
投缘	tou2'yuan2
徒工	tu2'gong1
外轮	wai4'lun2
完稿	wan2'gao3
晚景	wan3'jing3
亡魂	wang2'hun2
枉费	wang3'fei4
无可置疑	wu2'ke3'zhi4'yi2
芜杂	wu2'za2
五音	wu3'yin1
锡矿	xi1'kuang4
戏票	xi4'piao4
想望	xiang3'wang4
鞋帮	xie2'bang1
信笔	xin4'bi3
修身养性	xiu1'shen1'yang3'xing4
血渍	xue4'zi4
眼高	yan3'gao1
眼影	yan3'ying3
腰子	yao1'zi3
要言	yao4'yan2
椰枣	ye1'zao3
液氮	ye4'dan4
一板一眼	yi1'ban3'yi1'yan3
一呼百应	yi1'hu1'bai3'ying4
一见倾心	yi1'jian4'qing1'xin1
一时半会儿	yi1'shi2'ban4'hui4'er
遗事	yi2'shi4
义旗	yi4'qi2
引狼入室	yin3'lang2'ru4'shi4
影踪	ying3'zong1
幽美	you1'mei3
油黑	you2'hei1
有机玻璃	you3'ji1'bo1'li2
玉蜀黍	yu4'shu3'shu3
预收	yu4'shou1
渊薮	yuan1'sou3
元音	yuan2'yin1
悦服	yue4'fu2
运动健将	yun4'dong4'jian4'jiang4
攒钱	cuan2'qian2
贼船	zei2'chuan2
展评	zhan3'ping2
战歌	zhan4'ge1
朝令夕改	zhao1'ling4'xi1'gai3
正气凛然	zheng4'qi4'lin3'ran2
直流电	zhi2'liu2'dian4
指桑骂槐	zhi3'sang1'ma4'huai2
重炮	zhong4'pao4
重责	zhong4'ze2
珠算	zhu1'suan4
猪崽	zhu1'zai3
酌定	zhuo2'ding4
自销	zi4'xiao1
自寻烦恼	zi4'xun2'fan2'nao3
租税	zu1'shui4
坐垫	zuo4'dian4
鞍子	an1'zi3
嗷嗷待哺	ao2'ao2'dai4'bu3
坝地	ba4'di4
白刃	bai2'ren4
败将	bai4'jiang4
保苗	bao3'miao2
保育员	bao3'yu4'yuan2
悲观主义	bei1'guan1'zhu3'yi4
碑帖	bei1'tie4
背靠背	bei4'kao4'bei4
编演	bian1'yan3
变节	bian4'jie2
病夫	bing4'fu1
玻璃纤维	bo1'li'xian1'wei2
不求甚解	bu4'qiu2'shen4'jie3
苍龙	cang1'long2
藏书票	cang2'shu1'piao4
呈献	cheng2'xian4
褫夺	chi3'duo2
船底	chuan2'di3
船艇	chuan2'ting3
纯棉	chun2'mian2
慈父	ci2'fu4
粗活儿	cu1'huo2'er
打场	da3'chang2
大数	da4'shu4
胆小怕事	dan3'xiao3'pa4'shi4
等身	deng3'shen1
敌舰	di2'jian4
电路板	dian4'lu4'ban3
电瓶	dian4'ping2
电视大学	dian4'shi4'da4'xue2
吊儿郎当	diao4'er'lang2'dang1
定亲	ding4'qin1
冬笋	dong1'sun3
鹅毛	e2'mao2
发花	fa1'hua1
翻江倒海	fan1'jiang1'dao3'hai3
反戈一击	fan3'ge1'yi1'ji1
飞转	fei1'zhuan3
肺叶	fei4'ye4
分崩离析	fen1'beng1'li2'xi1
腹水	fu4'shui3
嘎子	ga3'zi
