灯头	deng1'tou2
低血糖	di1'xue4'tang2
底边	di3'bian1
电热水器	dian4're4'shui3'qi4
店东	dian4'dong1
多会儿	duo1'hui'er
恶贯满盈	e4'guan4'man3'ying2
珐琅	fa4'lang2
反间计	fan3'jian4'ji4
反胃	fan3'wei4
飞地	fei1'di4
痱子	fei4'zi3
风华	feng1'hua2
疯癫	feng1'dian1
奉公守法	feng4'gong1'shou3'fa3
奉养	feng4'yang3
凫水	fu2'shui3
改型	gai3'xing2
甘拜下风	gan1'bai4'xia4'feng1
镐头	gao3'tou
疙疙瘩瘩	ge1'ge'da1'da1
歌舞升平	ge1'wu3'sheng1'ping2
公民权	gong1'min2'quan2
供应站	gong1'ying4'zhan4
觥筹交错	gong1'chou2'jiao1'cuo4
寡欲	gua3'yu4
挂账	gua4'zhang4
关停并转	guan1'ting2'bing4'zhuan3
官印	guan1'yin4
灌渠	guan4'qu2
果盘	guo3'pan2
海景	hai3'jing3
海棠花	hai3'tang2'hua1
海涂	hai3'tu2
寒门	han2'men2
黑面	hei1'mian4
厚禄	hou4'lu4
滑腻	hua2'ni4
欢唱	huan1'chang4
婚变	hun1'bian4
吉兆	ji2'zhao4
麂子	ji3'zi3
际会	ji4'hui4
祭告	ji4'gao4
间杂	jian4'za2
脚力	jiao3'li4
桀骜不驯	jie2'ao4'bu4'xun4
今译	jin1'yi4
金石为开	jin1'shi2'wei2'kai1
禁不起	jin1'bu'qi3
劲舞	jing4'wu3
救苦救难	jiu4'ku3'jiu4'nan4
救生圈	jiu4'sheng1'quan1
居留权	ju1'liu2'quan2
开打	kai1'da3
苦刑	ku3'xing2
老狐狸	lao3'hu2'li2
冷光	leng3'guang1
利钱	li4'qian
劣根性	lie4'gen1'xing4
留步	liu2'bu4
麻包	ma2'bao1
没好气	mei2'hao3'qi4
民夫	min2'fu1
明知故犯	ming2'zhi1'gu4'fan4
命笔	ming4'bi3
魔掌	mo2'zhang3
墨家	mo4'jia1
默诵	mo4'song4
脑死亡	nao3'si3'wang2
嫩黄	nen4'huang2
排量	pai2'liang4
派定	pai4'ding4
泡泡糖	pao4'pao'tang2
披风	pi1'feng1
屁话	pi4'hua4
拼死拼活	pin1'si3'pin1'huo2
娉婷	ping1'ting2
泼冷水	po1'leng3'shui3
凄切	qi1'qie4
强直	qiang2'zhi2
亲随	qin1'sui2
轻淡	qing1'dan4
秋蝉	qiu1'chan2
圈点	quan1'dian3
鹊桥	que4'qiao2
绒衣	rong2'yi1
软和	ruan3'huo
三更半夜	san1'geng1'ban4'ye4
商调	shang1'diao4
烧灼	shao1'zhuo2
舌根	she2'gen1
神妙	shen2'miao4
生不逢时	sheng1'bu4'feng2'shi2
生石灰	sheng1'shi2'hui1
生死与共	sheng1'si3'yu3'gong4
盛极一时	sheng4'ji2'yi1'shi2
实心实意	shi2'xin1'shi2'yi4
使坏	shi3'huai4
柿饼	shi4'bing3
售后	shou4'hou4
属国	shu3'guo2
水龙	shui3'long2
顺气	shun4'qi4
朔望	shuo4'wang4
私房钱	si1'fang'qian2
私刑	si1'xing2
私宅	si1'zhai2
嗾使	sou3'shi3
酸梅汤	suan1'mei2'tang1
岁暮	sui4'mu4
梭子蟹	suo1'zi3'xie4
昙花	tan2'hua1
题库	ti2'ku4
通亮	tong1'liang4
投井	tou2'jing3
投料	tou2'liao4
退烧	tui4'shao1
脱轨	tuo1'gui3
围脖儿	wei2'bo2'er
细水长流	xi4'shui3'chang2'liu2
虾子	xia1'zi
项背	xiang4'bei4
项圈	xiang4'quan1
孝女	xiao4'nv3
校刊	xiao4'kan1
协理	xie2'li3
鞋面	xie2'mian4
心肌炎	xin1'ji1'yan2
省亲	xing3'qin1
羞答答	xiu1'da1'da1
喧腾	xuan1'teng2
学社	xue2'she4
驯顺	xun4'shun4
压担子	ya1'dan4'zi
言而无信	yan2'er2'wu2'xin4
眼线	yan3'xian4
养神	yang3'shen2
药力	yao4'li4
一笑置之	yi1'xiao4'zhi4'zhi1
以此类推	yi3'ci3'lei4'tui1
因小失大	yin1'xiao3'shi1'da4
吟哦	yin2'e2
银行卡	yin2'hang2'ka3
银号	yin2'hao4
迎娶	ying2'qu3
硬拼	ying4'pin1
邮展	you2'zhan3
余味	yu2'wei4
余韵	yu2'yun4
与闻	yu4'wen2
浴盆	yu4'pen2
怨不得	yuan4'bu'de
赞语	zan4'yu3
枣木	zao3'mu4
昭然	zhao1'ran2
朝朝暮暮	zhao1'zhao1'mu4'mu4
照直	zhao4'zhi2
针砭	zhen1'bian1
诊察	zhen3'cha2
正方	zheng4'fang1
芝麻官	zhi1'ma'guan1
职掌	zhi2'zhang3
致贺	zhi4'he4
种禽	zhong3'qin2
朱门	zhu1'men2
砖雕	zhuan1'diao1
篆书	zhuan4'shu1
浊浪	zhuo2'lang4
紫花苜蓿	zi3'hua1'mu4'xu
坐冷板凳	zuo4'leng3'ban3'deng4
按图索骥	an4'tu2'suo3'ji4
白金汉宫	bai2'jin1'han4'gong1
半生不熟	ban4'sheng1'bu4'shu2
包修	bao1'xiu1
抱憾	bao4'han4
奔命	ben4'ming4
病休	bing4'xiu1
薄情	bo2'qing2
补票	bu3'piao4
不拘小节	bu4'ju1'xiao3'jie2
部首	bu4'shou3
菜畦	cai4'qi2
称赏	cheng1'shang3
崇奉	chong2'feng4
船台	chuan2'tai2
春梦	chun1'meng4
