气吞山河	qi4'tun1'shan1'he2
弃官	qi4'guan1
卡口	ka3'kou3
扦插	qian1'cha1
枪膛	qiang1'tang2
秋凉	qiu1'liang2
囚笼	qiu2'long2
龋齿	qu3'chi3
权臣	quan2'chen2
全才	quan2'cai2
热带鱼	re4'dai4'yu2
认罚	ren4'fa2
任选	ren4'xuan3
融解	rong2'jie3
肉铺	rou4'pu1
儒术	ru2'shu4
蠕蠕	ru2'ru2
僧多粥少	seng1'duo1'zhou1'shao3
山陵	shan1'ling2
山塘	shan1'tang2
少言寡语	shao3'yan2'gua3'yu3
伸懒腰	shen1'lan3'yao1
生杀予夺	sheng1'sha1'yu3'duo2
生丝	sheng1'si1
圣灵	sheng4'ling2
时不再来	shi2'bu4'zai4'lai2
时刻表	shi2'ke4'biao3
时鲜	shi2'xian1
时新	shi2'xin1
市花	shi4'hua1
受领	shou4'ling3
受虐	shou4'nve4
书简	shu1'jian3
衰颓	shuai1'tui2
顺风耳	shun4'feng1'er3
死灭	si3'mie4
四至	si4'zhi4
索桥	suo3'qiao2
糖纸	tang2'zhi3
田鸡	tian2'ji1
听书	ting1'shu1
挺秀	ting3'xiu4
统配	tong3'pei4
屠城	tu2'cheng2
拖拖拉拉	tuo1'tuo1'la1'la1
晚礼服	wan3'li3'fu2
万劫不复	wan4'jie2'bu4'fu4
微行	wei1'xing2
胃溃疡	wei4'kui4'yang2
慰勉	wei4'mian3
纹样	wen2'yang4
忤逆	wu3'ni4
西葫芦	xi1'hu2'lu
戏曲界	xi4'qu3'jie4
瞎吹	xia1'chui1
现行法	xian4'xing2'fa3
向学	xiang4'xue2
小人儿书	xiao3'ren2'er'shu1
心狠手辣	xin1'hen3'shou3'la4
心宽	xin1'kuan1
凶相	xiong1'xiang4
玄乎	xuan2'hu1
选读	xuan3'du2
血细胞	xue4'xi4'bao1
血印	xue4'yin4
寻开心	xun2'kai1'xin1
压力锅	ya1'li4'guo1
验看	yan4'kan4
羊肉串	yang2'rou4'chuan4
妖言	yao1'yan2
野物	ye3'wu4
一总	yi1'zong3
乙醚	yi3'mi2
以工代赈	yi3'gong1'dai4'zhen4
易主	yi4'zhu3
引致	yin3'zhi4
余烬	yu2'jin4
渔舟	yu2'zhou1
玉立	yu4'li4
乐句	le4'ju4
早早儿	zao3'zao3'er
章句	zhang1'ju4
涨跌	zhang3'die1
遮光	zhe1'guang1
枕席	zhen3'xi2
政区	zheng4'qu1
直感	zhi2'gan3
烛火	zhu2'huo3
抓耳挠腮	zhua1'er3'nao2'sai1
转借	zhuan3'jie4
自裁	zi4'cai2
自检	zi4'jian3
字斟句酌	zi4'zhen1'ju4'zhuo2
走捷径	zou3'jie2'jing4
败血症	bai4'xue4'zheng4
拜金	bai4'jin1
饱嗝儿	bao3'ge2'er
抱头鼠窜	bao4'tou2'shu3'cuan4
暴病	bao4'bing4
背信弃义	bei4'xin4'qi4'yi4
变调	bian4'diao4
博彩	bo2'cai3
补养	bu3'yang3
不济事	bu4'ji4'shi4
不虞	bu4'yu2
测度	ce4'duo2
查核	cha2'he2
禅学	chan2'xue2
成仙	cheng2'xian1
吃得开	chi1'de'kai1
出圈儿	chu1'quan1'er
粗枝大叶	cu1'zhi1'da4'ye4
代金	dai4'jin1
弹道	dan4'dao4
倒灌	dao4'guan4
