征候	zheng1'hou4
正极	zheng4'ji2
指靠	zhi3'kao4
舟车	zhou1'che1
洲际导弹	zhou1'ji4'dao3'dan4
专科生	zhuan1'ke1'sheng1
转运站	zhuan3'yun4'zhan4
自忖	zi4'cun3
自许	zi4'xu3
走钢丝	zou3'gang1'si1
作乐	zuo4'yue4
摆列	bai3'lie4
绑扎	bang3'za1
棒子面	bang4'zi3'mian4
报修	bao4'xiu1
卑污	bei1'wu1
被套	bei4'tao4
迸射	beng4'she4
边门	bian1'men2
编舞	bian1'wu3
扁圆	bian3'yuan2
表亲	biao3'qin1
冰糖葫芦	bing1'tang2'hu2'lu
跛脚	bo3'jiao3
参禅	can1'chan2
苍松	cang1'song1
藏污纳垢	cang2'wu1'na4'gou4
草野	cao3'ye3
产儿	chan3'er2
产婆	chan3'po2
抄近儿	chao1'jin4'er
车把式	che1'ba3'shi4
车况	che1'kuang4
车前子	che1'qian2'zi3
彻悟	che4'wu4
陈请	chen2'qing3
呈祥	cheng2'xiang2
秤杆	cheng4'gan3
持械	chi2'xie4
虫蛀	chong2'zhu4
出洋相	chu1'yang2'xiang4
初小	chu1'xiao3
串珠	chuan4'zhu1
此致	ci3'zhi4
打滑	da3'hua2
大腹便便	da4'fu4'pian2'pian2
大实话	da4'shi2'hua4
叨咕	dao2'gu
盗墓	dao4'mu4
地方税	di4'fang1'shui4
电声	dian4'sheng1
冬虫夏草	dong1'chong2'xia4'cao3
独门	du2'men2
断路	duan4'lu4
翻供	fan1'gong4
飞沙走石	fei1'sha1'zou3'shi2
风景点	feng1'jing3'dian3
辐射能	fu2'she4'neng2
附上	fu4'shang4
副手	fu4'shou3
高粱米	gao1'liang'mi3
高山仰止	gao1'shan1'yang3'zhi3
高士	gao1'shi4
告病	gao4'bing4
嗝儿	ge2'er
工作餐	gong1'zuo4'can1
恭谨	gong1'jin3
骨盆	gu3'pen2
鼓槌	gu3'chui2
挂齿	gua4'chi3
关张	guan1'zhang1
观览	guan1'lan3
管饭	guan3'fan4
哈腰	ha1'yao1
喊冤	han3'yuan1
呵叱	he1'chi4
合子	he2'zi
和数	he2'shu4
核电厂	he2'dian4'chang3
盒带	he2'dai4
后发制人	hou4'fa1'zhi4'ren2
后手	hou4'shou3
狐朋狗友	hu2'peng2'gou3'you3
滑竿	hua2'gan1
环海	huan2'hai3
缓兵之计	huan3'bing1'zhi1'ji4
黄雀	huang2'que4
昏头昏脑	hun1'tou2'hun1'nao3
混事	hun4'shi4
火烧眉毛	huo3'shao1'mei2'mao2
机械手	ji1'xie4'shou3
疾恶如仇;嫉恶如仇	ji2'e4'ru2'chou2
蒺藜	ji2'li2
家蚕	jia1'can2
将错就错	jiang1'cuo4'jiu4'cuo4
茭白	jiao1'bai2
绞死	jiao3'si3
缴付	jiao3'fu4
看医生	kan4'yi1'sheng1
胯骨	kua4'gu3
老相识	lao3'xiang4'shi2
类固醇	lei4'gu4'chun2
凉意	liang2'yi4
林涛	lin2'tao1
鹿茸	lu4'rong2
漫溢	man4'yi4
毛裤	mao2'ku4
帽徽	mao4'hui1
煤耗	mei2'hao4
妙策	miao4'ce4
明达	ming2'da2
抹灰	mo3'hui1
沫子	mo4'zi3
目光短浅	mu4'guang1'duan3'qian3
脑汁	nao3'zhi1
内服	nei4'fu2
能言善辩	neng2'yan2'shan4'bian4
孽种	nie4'zhong3
呕血	ou3'xue4
盘坐	pan2'zuo4
配比	pei4'bi3
屁滚尿流	pi4'gun3'niao4'liu2
僻远	pi4'yuan3
骈体	pian2'ti3
