红极一时	hong2'ji2'yi1'shi2
红男绿女	hong2'nan2'lv4'nv3
猴头	hou2'tou2
厚葬	hou4'zang4
胡搅蛮缠	hu2'jiao3'man2'chan2
画圈儿	hua4'quan1'er2
话梅	hua4'mei2
魂飞天外	hun2'fei1'tian1'wai4
火并	huo3'bing4
货栈	huo4'zhan4
唧哝	ji1'nong2
吉卜赛人	ji2'bu3'sai4'ren2
计时器	ji4'shi2'qi4
祭灶	ji4'zao4
加餐	jia1'can1
简写	jian3'xie3
嚼舌	jiao2'she2
桔梗	jie2'geng3
金龟子	jin1'gui1'zi3
窘况	jiong3'kuang4
纠偏	jiu1'pian1
酒窖	jiu3'jiao4
酒气	jiu3'qi4
绢花	juan4'hua1
绝版	jue2'ban3
开禁	kai1'jin4
恳挚	ken3'zhi4
空对空	kong1'dui4'kong1
宽衣	kuan1'yi1
喇叭花	la3'ba'hua1
辣酱	la4'jiang4
冷艳	leng3'yan4
林莽	lin2'mang3
伶仃	ling2'ding1
领有	ling3'you3
论辩	lun4'bian4
蚂蟥	ma3'huang2
蛮缠	man2'chan2
毛孩子	mao2'hai2'zi3
美言	mei3'yan2
闷葫芦	men4'hu2'lu
蒙尘	meng2'chen2
面呈	mian4'cheng2
面面观	mian4'mian4'guan1
灭种	mie4'zhong3
鸣冤	ming2'yuan1
抛砖引玉	pao1'zhuan1'yin3'yu4
陪读	pei2'du2
皮开肉绽	pi2'kai1'rou4'zhan4
拼合	pin1'he2
评头品足	ping2'tou2'pin3'zu2
屏藩	ping2'fan1
泼皮	po1'pi2
普天同庆	pu3'tian1'tong2'qing4
欺人太甚	qi1'ren2'tai4'shen4
奇花异草	qi2'hua1'yi4'cao3
棋赛	qi2'sai4
起锚	qi3'mao2
千秋万代	qian1'qiu1'wan4'dai4
轻骑兵	qing1'qi2'bing1
轻闲	qing1'xian2
清账	qing1'zhang4
趋炎附势	qu1'yan2'fu4'shi4
全球定位系统	quan2'qiu2'ding4'wei4'xi4'tong3
全日	quan2'ri4
拳拳	quan2'quan2
仁义道德	ren2'yi4'dao4'de2
褥疮	ru4'chuang1
三角裤	san1'jiao3'ku4
丧家之犬	sang4'jia1'zhi1'quan3
