牵引力	qian1'yin3'li4
强将	qiang2'jiang1
清汤	qing1'tang1
穷山恶水	qiong2'shan1'e4'shui3
权能	quan2'neng2
热效应	re4'xiao4'ying4
扫平	sao3'ping2
伤怀	shang1'huai2
烧杯	shao1'bei1
深受其害	shen1'shou4'qi2'hai4
深宅大院	shen1'zhai2'da4'yuan4
神探	shen2'tan4
生客	sheng1'ke4
失聪	shi1'cong1
始创	shi3'chuang4
势利眼	shi4'li4'yan3
适销	shi4'xiao1
手松	shou3'song1
寿桃	shou4'tao2
受阅	shou4'yue4
耍滑	shua3'hua2
水果糖	shui3'guo3'tang2
水袖	shui3'xiu4
说得来	shuo1'de'lai2
丝弦	si1'xian2
素色	su4'se4
锁国	suo3'guo2
贪污犯	tan1'wu1'fan4
叹赏	tan4'shang3
唐三彩	tang2'san1'cai3
陶然	tao2'ran2
讨人嫌	tao3'ren2'xian2
题跋	ti2'ba2
同床异梦	tong2'chuang2'yi4'meng4
同盟者	tong2'meng2'zhe3
挖泥船	wa1'ni2'chuan2
歪打正着	wai1'da3'zheng4'zhao2
唯命是从	wei2'ming4'shi4'cong2
畏缩不前	wei4'suo1'bu4'qian2
文绉绉	wen2'zhou4'zhou4
无可奉告	wu2'ke3'feng4'gao4
武士道	wu3'shi4'dao4
吸管	xi1'guan3
袭用	xi2'yong4
隙地	xi4'di4
下本儿	xia4'ben3'er
下药	xia4'yao4
夏装	xia4'zhuang1
歇气	xie1'qi4
斜照	xie2'zhao4
心音	xin1'yin1
行尸走肉	xing2'shi1'zou3'rou4
幸喜	xing4'xi3
性器官	xing4'qi4'guan1
凶光	xiong1'guang1
宣言书	xuan1'yan2'shu1
殉情	xun4'qing2
压延	ya1'yan2
鸭绒	ya1'rong2
养心	yang3'xin1
野炊	ye3'chui1
迎宾馆	ying2'bin1'guan3
油质	you2'zhi4
有胆有识	you3'dan3'you3'shi2
玉石俱焚	yu4'shi2'ju4'fen2
玉液	yu4'ye4
预备期	yu4'bei4'qi1
欲壑	yu4'he4
援款	yuan2'kuan3
月产	yue4'chan3
月份牌儿	yue4'fen4'pai2'er2
云山雾罩	yun2'shan1'wu4'zhao4
晕车	yun4'che1
韵脚	yun4'jiao3
再三再四	zai4'san1'zai4'si4
糌粑	zan1'ba1
凿子	zao2'zi3
造谣惑众	zao4'yao2'huo4'zhong4
增删	zeng1'shan1
帐幕	zhang4'mu4
瘴气	zhang4'qi4
朝不保夕	zhao1'bu4'bao3'xi1
找补	zhao3'bu3
遮羞布	zhe1'xiu1'bu4
珍玩	zhen1'wan2
珍馐	zhen1'xiu1
枕套	zhen3'tao4
芝麻酱	zhi1'ma'jiang4
职司	zhi2'si1
稚拙	zhi4'zhuo1
肘腋	zhou3'ye4
朱文	zhu1'wen2
助产	zhu4'chan3
桩子	zhuang1'zi3
桌椅板凳	zhuo1'yi3'ban3'deng4
尊长	zun1'zhang3
坐失良机	zuo4'shi1'liang2'ji1
拗口	ao4'kou3
霸业	ba4'ye4
百发百中	bai3'fa1'bai3'zhong4
摆样子	bai3'yang4'zi3
斑纹	ban1'wen2
搬弄	ban1'nong4
板球	ban3'qiu2
包打听	bao1'da3'ting1
保不定	bao3'bu'ding4
抱残守缺	bao4'can2'shou3'que1
爆米花	bao4'mi3'hua1
背头	bei1'tou2
崩裂	beng1'lie4
闭馆	bi4'guan3
弊政	bi4'zheng4
濒死	bin1'si3
鹁鸽	bo2'ge1
不白之冤	bu4'bai2'zhi1'yuan1
财阀	cai2'fa2
层峦叠嶂	ceng2'luan2'die2'zhang4
馋涎	chan2'xian2
撤资	che4'zi1
陈言	chen2'yan2
撑死	cheng1'si3
诚邀	cheng2'yao1
重振旗鼓	chong2'zhen4'qi2'gu3
丑八怪	chou3'ba1'guai4
出岔子	chu1'cha4'zi3
垂范	chui2'fan4
蠢货	chun3'huo4
粗陋	cu1'lou4
粗莽	cu1'mang3
脆生生	cui4'sheng1'sheng1
村公所	cun1'gong1'suo3
打嗝儿	da3'ge2'er
大器晚成	da4'qi4'wan3'cheng2
大雄宝殿	da4'xiong2'bao3'dian4
大杂烩	da4'za2'hui4
单名	dan1'ming2
胆管	dan3'guan3
灯草	deng1'cao3
等式	deng3'shi4
地角	di4'jiao3
地陷	di4'xian4
跌价	die1'jia4
斗牛士	dou4'niu2'shi4
逗号	dou4'hao4
毒饵	du2'er3
独木舟	du2'mu4'zhou1
额数	e2'shu4
贰臣	er4'chen2
发僵	fa1'jiang1
法盲	fa3'mang2
翻建	fan1'jian4
反义词	fan3'yi4'ci2
犯上	fan4'shang4
犯疑	fan4'yi2
放血	fang4'xie3
放债	fang4'zhai4
焚尸	fen2'shi1
凤蝶	feng4'die2
奉告	feng4'gao4
孵卵	fu1'luan3
服软	fu2'ruan3
复读机	fu4'du2'ji1
改容	gai3'rong2
干硬	gan1'ying4
坩埚	gan1'guo1
赶尽杀绝	gan3'jin4'sha1'jue2
高官厚禄	gao1'guan1'hou4'lu4
高粱面	gao1'liang'mian4
高徒	gao1'tu2
工青妇	gong1'qing1'fu4
公正无私	gong1'zheng4'wu2'si1
功罪	gong1'zui4
沟沟坎坎	gou1'gou1'kan3'kan3
鬼点子	gui3'dian3'zi3
国花	guo2'hua1
国破家亡	guo2'po4'jia1'wang2
过家家	guo4'jia1'jia1
海子	hai3'zi3
航校	hang2'xiao4
后福	hou4'fu2
囫囵吞枣	hu2'lun2'tun1'zao3
化干戈为玉帛	hua4'gan1'ge1'wei2'yu4'bo2
黄毛丫头	huang2'mao2'ya1'tou2
婚书	hun1'shu1
火箭炮	huo3'jian4'pao4
基诺族	ji1'nuo4'zu2
加刑	jia1'xing2
减色	jian3'se4
碱化	jian3'hua4
践约	jian4'yue1
叫座儿	jiao4'zuo4'er
洁具	jie2'ju4
解愁	jie3'chou2
解构	jie3'gou4
金童玉女	jin1'tong2'yu4'nv3
进击	jin4'ji1
菁菁	jing1'jing1
景颇族	jing3'po1'zu2
救命稻草	jiu4'ming4'dao4'cao3
巨擘	ju4'bo4
拒捕	ju4'bu3
剧社	ju4'she4
捐弃前嫌	juan1'qi4'qian2'xian2
开诊	kai1'zhen3
狂草	kuang2'cao3
劳神	lao2'shen2
磷脂	lin2'zhi1
流水账	liu2'shui3'zhang4
滤波	lv4'bo1
乱弹琴	luan4'tan2'qin2
落草	luo4'cao3
麻线	ma2'xian4
麻醉品	ma2'zui4'pin3
毛毡	mao2'zhan1
闷声不响	men4'sheng1'bu4'xiang3
门户之见	men2'hu4'zhi1'jian4
棉线	mian2'xian4
秒针	miao3'zhen1
末流	mo4'liu2
男尊女卑	nan2'zun1'nv3'bei1
年夜	nian2'ye4
孽障	nie4'zhang4
排险	pai2'xian3
攀龙附凤	pan1'long2'fu4'feng4
泡制	pao4'zhi4
披阅	pi1'yue4
皮笑肉不笑	pi2'xiao4'rou4'bu4'xiao4
飘溢	piao1'yi4
品貌	pin3'mao4
