玩物丧志	wan2'wu4'sang4'zhi4
王母娘娘	wang2'mu3'niang2'niang
网膜	wang3'mo2
围裹	wei2'guo3
唯心史观	wei2'xin1'shi3'guan1
尾翼	wei3'yi4
未老先衰	wei4'lao3'xian1'shuai1
诬赖	wu1'lai4
无关痛痒	wu2'guan1'tong4'yang3
雾腾腾	wu4'teng2'teng2
洗发水	xi3'fa1'shui3
瞎忙	xia1'mang2
下品	xia4'pin3
相恋	xiang1'lian4
镶金	xiang1'jin1
歇手	xie1'shou3
心善	xin1'shan4
新课	xin1'ke4
新姿	xin1'zi1
兴师问罪	xing1'shi1'wen4'zui4
绣品	xiu4'pin3
虚火	xu1'huo3
血液病	xue4'ye4'bing4
压缩空气	ya1'suo1'kong1'qi4
轧花机	ya4'hua1'ji1
言之成理	yan2'zhi1'cheng2'li3
验光	yan4'guang1
阳伞	yang2'san3
洋洋自得	yang2'yang2'zi4'de2
样书	yang4'shu1
妖气	yao1'qi4
妖言惑众	yao1'yan2'huo4'zhong4
药味	yao4'wei4
一个心眼儿	yi1'ge'xin1'yan3'er
一念之差	yi1'nian4'zhi1'cha1
胰腺炎	yi2'xian4'yan2
以小见大	yi3'xiao3'jian4'da4
倚势	yi3'shi4
意兴	yi4'xing4
幽微	you1'wei1
邮册	you2'ce4
油汪汪	you2'wang1'wang1
鱼肚白	yu2'du4'bai2
圆领	yuan2'ling3
云际	yun2'ji4
张挂	zhang1'gua4
张三李四	zhang1'san1'li3'si4
招笑	zhao1'xiao4
榛子	zhen1'zi3
诊断书	zhen3'duan4'shu1
正业	zheng4'ye4
知根知底	zhi1'gen1'zhi1'di3
纸醉金迷	zhi3'zui4'jin1'mi2
钟乳石	zhong1'ru3'shi2
助跑	zhu4'pao3
准点	zhun3'dian3
滋阴	zi1'yin1
自成一体	zi4'cheng2'yi1'ti3
自顾不暇	zi4'gu4'bu4'xia2
自画像	zi4'hua4'xiang4
自斟	zi4'zhen1
宗主国	zong1'zhu3'guo2
租户	zu1'hu4
祖居	zu3'ju1
氨气	an1'qi4
白蜡	bai2'la4
半路出家	ban4'lu4'chu1'jia1
半身像	ban4'shen1'xiang4
包租	bao1'zu1
报时	bao4'shi2
备马	bei4'ma3
本名	ben3'ming2
比丘	bi3'qiu1
病疫	bing4'yi4
不打自招	bu4'da3'zi4'zhao1
布帛	bu4'bo2
才思	cai2'si1
残虐	can2'nve4
舱室	cang1'shi4
超拔	chao1'ba2
成说	cheng2'shuo1
橙汁	cheng2'zhi1
驰驱	chi2'qu1
尺码	chi3'ma3
厨艺	chu2'yi4
喘吁吁	chuan3'xu1'xu1
吹胡子瞪眼	chui1'hu2'zi3'deng4'yan3
垂首	chui2'shou3
春情	chun1'qing2
次女	ci4'nv3
赐教	ci4'jiao4
催眠术	cui1'mian2'shu4
打挺儿	da3'ting3'er
大不敬	da4'bu4'jing4
丹凤眼	dan1'feng4'yan3
单科	dan1'ke1
党同伐异	dang3'tong2'fa2'yi4
倒背如流	dao4'bei4'ru2'liu2
悼亡	dao4'wang2
低热	di1're4
敌占区	di2'zhan4'qu1
颠来倒去	dian1'lai2'dao3'qu4
钉鞋	ding1'xie2
丢丑	diu1'chou3
冬装	dong1'zhuang1
黩武	du2'wu3
断断	duan4'duan4
恩准	en1'zhun3
发涩	fa1'se4
发硬	fa1'ying4
纺锤	fang3'chui2
飞虫	fei1'chong2
凤眼	feng4'yan3
奉使	feng4'shi3
干鲜果品	gan1'xian1'guo3'pin3
甘休	gan1'xiu1
感慨系之	gan3'kai3'xi4'zhi1
各奔前程	ge4'ben4'qian2'cheng2
各别	ge4'bie2
姑息养奸	gu1'xi1'yang3'jian1
故伎重演	gu4'ji4'chong2'yan3
故纸堆	gu4'zhi3'dui1
官架子	guan1'jia4'zi3
海誓山盟	hai3'shi4'shan1'meng2
横征暴敛	heng2'zheng1'bao4'lian3
后起	hou4'qi3
忽悠	hu1'you1
弧光	hu2'guang1
胡人	hu2'ren2
糊涂账	hu2'tu'zhang4
虎骨	hu3'gu3
划水	hua4'shui3
化学纤维	hua4'xue2'xian1'wei2
画夹	hua4'jia1
换汇	huan4'hui4
磺胺	huang2'an4
回采	hui2'cai3
诨名	hun4'ming2
积善	ji1'shan4
积雨	ji1'yu3
基干	ji1'gan4
脊椎骨	ji3'zhui1'gu3
假钞	jia3'chao1
假洋鬼子	jia3'yang2'gui3'zi3
剑侠	jian4'xia2
讲交情	jiang3'jiao1'qing2
绞杀	jiao3'sha1
绞刑架	jiao3'xing2'jia4
节录	jie2'lu4
借据	jie4'ju4
金笔	jin1'bi3
锦标	jin3'biao1
聚齐	ju4'qi2
开航	kai1'hang2
开镰	kai1'lian2
课税	ke4'shui4
枯寂	ku1'ji4
拉祜族	la1'hu4'zu2
老粗	lao3'cu1
老辣	lao3'la4
冷处理	leng3'chu3'li3
离合器	li2'he2'qi4
寥若晨星	liao2'ruo4'chen2'xing1
螺丝刀	luo2'si1'dao1
落地窗	luo4'di4'chuang1
曼声	man4'sheng1
猫眼	mao1'yan3
美人蕉	mei3'ren2'jiao1
蒙混	meng2'hun4
米线	mi3'xian4
面片儿	mian4'pian1'er
面生	mian4'sheng1
蘑菇云	mo2'gu1'yun2
内涝	nei4'lao4
内迁	nei4'qian1
年根	nian2'gen1
年息	nian2'xi1
鸟枪换炮	niao3'qiang1'huan4'pao4
凝脂	ning2'zhi1
捧读	peng3'du2
皮疹	pi2'zhen3
平底	ping2'di3
评理	ping2'li3
剖白	pou1'bai2
起吊	qi3'diao4
起居室	qi3'ju1'shi4
气层	qi4'ceng2
弃儿	qi4'er2
清凉油	qing1'liang2'you2
求诊	qiu2'zhen3
拳师	quan2'shi1
日晒雨淋	ri4'shai4'yu3'lin2
戎马倥偬	rong2'ma3'kong3'zong3
肉馅儿	rou4'xian4'er2
洒扫	sa3'sao3
三思而行	san1'si1'er2'xing2
三维空间	san1'wei2'kong1'jian1
丧乱	sang1'luan4
杀身成仁	sha1'shen1'cheng2'ren2
商亭	shang1'ting2
上货	shang4'huo4
上镜	shang4'jing4
烧碱	shao1'jian3
审读	shen3'du2
升势	sheng1'shi4
声扬	sheng1'yang2
石竹	shi2'zhu2
释文	shi4'wen2
瘦猴儿	shou4'hou2'er2
数说	shu3'shuo1
水战	shui3'zhan4
睡袋	shui4'dai4
说白	shuo1'bai2
厮磨	si1'mo2
苏绣	su1'xiu4
台柱子	tai2'zhu4'zi
泰然处之	tai4'ran2'chu3'zhi1
探察	tan4'cha2
堂妹	tang2'mei4
提花	ti2'hua1
天干	tian1'gan1
天灵盖	tian1'ling2'gai4
条案	tiao2'an4
跳级	tiao4'ji2
贴面	tie1'mian4
挺括	ting3'gua1
通观	tong1'guan1
同心圆	tong2'xin1'yuan2
统摄	tong3'she4
投医	tou2'yi1
突击手	tu1'ji1'shou3
脱壳	tuo1'ke2
外交辞令	wai4'jiao1'ci2'ling4
乌木	wu1'mu4
污言秽语	wu1'yan2'hui4'yu3
无冕之王	wu2'mian3'zhi1'wang2
无师自通	wu2'shi1'zi4'tong1
下半旗	xia4'ban4'qi2
下力	xia4'li4
涎着脸	xian2'zhe'lian3
险遭	xian3'zao1
现大洋	xian4'da4'yang2
相许	xiang1'xu3
饷银	xiang3'yin2
小解	xiao3'jie3
小可	xiao3'ke3
小巫见大巫	xiao3'wu1'jian4'da4'wu1
小崽子	xiao3'zai3'zi3
小酌	xiao3'zhuo2
啸聚	xiao4'ju4
薪俸	xin1'feng4
袖管	xiu4'guan3
绣像	xiu4'xiang4
押宝	ya1'bao3
押赴	ya1'fu4
烟道	yan1'dao4
眼眉	yan3'mei2
扬花	yang2'hua1
仰首	yang3'shou3
咬耳朵	yao3'er3'duo
鹞子	yao4'zi3
耶和华	ye1'he2'hua2
以强凌弱	yi3'qiang2'ling2'ruo4
音系	yin1'xi4
引产	yin3'chan3
瘾君子	yin3'jun1'zi3
印儿	yin4'er2
用武	yong4'wu3
游艺机	you2'yi4'ji1
右首	you4'shou3
原发性	yuan2'fa1'xing4
再世	zai4'shi4
藏戏	zang4'xi4
展卖	zhan3'mai4
征尘	zheng1'chen2
枝丫	zhi1'ya1
直待	zhi2'dai4
植皮	zhi2'pi2
制动器	zhi4'dong4'qi4
中上层	zhong1'shang4'ceng2
猪蹄	zhu1'ti2
竹节	zhu2'jie2
主根	zhu3'gen1
状语	zhuang4'yu3
准头	zhun3'tou2
紫铜	zi3'tong2
自我标榜	zi4'wo3'biao1'bang3
字帖	zi4'tie4
棕榈油	zong1'lv2'you2
阻遏	zu3'e4
暗探	an4'tan4
摆谱儿	bai3'pu3'er
碑记	bei1'ji4
碑铭	bei1'ming2
毙伤	bi4'shang1
筚路蓝缕	bi4'lu4'lan2'lv3
秉烛	bing3'zhu2
不耻下问	bu4'chi3'xia4'wen4
不端	bu4'duan1
草虫	cao3'chong2
测字	ce4'zi4
长毛兔	chang2'mao2'tu4
常例	chang2'li4
车胎	che1'tai1
辰时	chen2'shi2
谶语	chen4'yu3
城厢	cheng2'xiang1
吃派饭	chi1'pai4'fan4
哧溜	chi1'liu1
赤豆	chi4'dou4
重光	chong2'guang1
抽油烟机	chou1'you2'yan1'ji1
初旬	chu1'xun2
雏儿	chu2'er
搐动	chu4'dong4
传本	chuan2'ben3
垂成	chui2'cheng2
催泪弹	cui1'lei4'dan4
大换血	da4'huan4'xie3
呆傻	dai1'sha3
胆小如鼠	dan3'xiao3'ru2'shu3
淡青	dan4'qing1
挡路	dang3'lu4
当票	dang4'piao4
倒打一耙	dao4'da3'yi1'pa2
灯彩	deng1'cai3
垫圈	dian4'quan1
调派	diao4'pai4
定息	ding4'xi1
毒计	du2'ji4
独个儿	du2'ge4'er
独幕剧	du2'mu4'ju4
犊子	du2'zi3
赌棍	du3'gun4
度量衡	du4'liang4'heng2
多嘴多舌	duo1'zui3'duo1'she2
鹅蛋脸	e2'dan4'lian3
