烟子	yan1'zi
严师	yan2'shi1
严霜	yan2'shuang1
眼袋	yan3'dai4
演兵场	yan3'bing1'chang3
演播厅	yan3'bo1'ting1
摇椅	yao2'yi3
叶落归根	ye4'luo4'gui1'gen1
一息尚存	yi1'xi1'shang4'cun2
遗著	yi2'zhu4
奕奕	yi4'yi4
引逗	yin3'dou4
引信	yin3'xin4
印堂	yin4'tang2
应许	ying1'xu3
鹰隼	ying1'sun3
油层	you2'ceng2
油子	you2'zi3
有伤风化	you3'shang1'feng1'hua4
有头有尾	you3'tou2'you3'wei3
榆钱	yu2'qian2
语源	yu3'yuan2
狱警	yu4'jing3
御制	yu4'zhi4
远海	yuan3'hai3
扎染	zha1'ran3
灾星	zai1'xing1
在教	zai4'jiao4
战书	zhan4'shu1
站相	zhan4'xiang1
招领	zhao1'ling3
招租	zhao1'zu1
正当时	zheng4'dang1'shi2
栀子花	zhi1'zi3'hua1
执政府	zhi2'zheng4'fu3
中国通	zhong1'guo2'tong1
中规中矩	zhong1'gui1'zhong1'ju3
重判	zhong4'pan4
竹器	zhu2'qi4
竹榻	zhu2'ta4
主题词	zhu3'ti2'ci2
转译	zhuan3'yi4
转轴	zhuan4'zhou2
准星	zhun3'xing1
自供	zi4'gong4
嘴尖	zui3'jian1
嘴头	zui3'tou2
尊姓大名	zun1'xing4'da4'ming2
做东	zuo4'dong1
阿斗	a1'dou3
拔刀相助	ba2'dao1'xiang1'zhu4
白文	bai2'wen2
败絮	bai4'xu4
拜天地	bai4'tian1'di4
板鸭	ban3'ya1
褒贬	bao1'bian
避世	bi4'shi4
冰镇	bing1'zhen4
玻璃纸	bo1'li2'zhi3
不忿	bu4'fen4
不果	bu4'guo3
不自量	bu4'zi4'liang4
才貌	cai2'mao4
操行	cao1'xing2
草鸡	cao3'ji1
插页	cha1'ye4
柴刀	chai2'dao1
铲车	chan3'che1
唱对台戏	chang4'dui4'tai2'xi4
超低温	chao1'di1'wen1
车技	che1'ji4
舂米	chong1'mi3
抽头	chou1'tou2
除暴安良	chu2'bao4'an1'liang2
窗帷	chuang1'wei2
床架	chuang2'jia4
床罩	chuang2'zhao4
从师	cong2'shi1
搓揉	cuo1'rou2
打诨	da3'hun4
带累	dai4'lei3
弹尽粮绝	dan4'jin4'liang2'jue2
得数	de2'shu4
底肥	di3'fei2
底账	di3'zhang4
定评	ding4'ping2
动嘴	dong4'zui3
豆芽菜	dou4'ya2'cai4
断指	duan4'zhi3
断子绝孙	duan4'zi3'jue2'sun1
对答如流	dui4'da2'ru2'liu2
二茬	er4'cha2
发愤图强	fa1'fen4'tu2'qiang2
发汗	fa1'han4
发际	fa4'ji4
樊笼	fan2'long2
繁文缛节	fan2'wen2'ru4'jie2
返修	fan3'xiu1
芳容	fang1'rong2
妨事	fang2'shi4
风压	feng1'ya1
敷药	fu1'yao4
辅导站	fu3'dao3'zhan4
赴难	fu4'nan4
改订	gai3'ding4
鸽哨	ge1'shao4
革故鼎新	ge2'gu4'ding3'xin1
各领风骚	ge4'ling3'feng1'sao1
更鼓	geng1'gu3
功夫茶	gong1'fu'cha2
攻守同盟	gong1'shou3'tong2'meng2
故地重游	gu4'di4'zhong4'you2
官运亨通	guan1'yun4'heng1'tong1
光污染	guang1'wu1'ran3
归期	gui1'qi1
鬼蜮	gui3'yu4
国药	guo2'yao4
国优	guo2'you1
海外关系	hai3'wai4'guan1'xi4
海鱼	hai3'yu2
酣饮	han1'yin3
汗津津	han4'jin1'jin1
好赖	hao3'lai4
皓首	hao4'shou3
河汉	he2'han4
厚利	hou4'li4
华发	hua2'fa4
化粪池	hua4'fen4'chi2
画架	hua4'jia4
荒谬绝伦	huang1'miu4'jue2'lun2
回炉	hui2'lu2
活页	huo2'ye4
货畅其流	huo4'chang4'qi2'liu2
货单	huo4'dan1
积欠	ji1'qian4
基坑	ji1'keng1
加号	jia1'hao4
金牙	jin1'ya2
晋剧	jin4'ju4
浸渍	jin4'zi4
精纺	jing1'fang3
空疏	kong1'shu1
空转	kong1'zhuan4
跨年度	kua4'nian2'du4
狂跌	kuang2'die1
拉郎配	la1'lang2'pei4
拉下水	la1'xia4'shui3
拦挡	lan2'dang3
狼心狗肺	lang2'xin1'gou3'fei4
老面孔	lao3'mian4'kong3
梨园戏	li2'yuan2'xi4
厉兵秣马	li4'bing1'mo4'ma3
立此存照	li4'ci3'cun2'zhao4
连襟	lian2'jin1
凉台	liang2'tai2
龙门阵	long2'men2'zhen4
轮次	lun2'ci4
卖笑	mai4'xiao4
满堂红	man3'tang2'hong2
慢镜头	man4'jing4'tou2
芒种	mang2'zhong4
没心没肺	mei2'xin1'mei2'fei4
煤屑	mei2'xie4
昧良心	mei4'liang2'xin1
蒙难	meng2'nan4
棉区	mian2'qu1
面汤	mian4'tang1
名宿	ming2'su4
明文	ming2'wen2
明艳	ming2'yan4
莫逆之交	mo4'ni4'zhi1'jiao1
木呆呆	mu4'dai1'dai1
纳粮	na4'liang2
南纬	nan2'wei3
昵称	ni4'cheng1
逆时针	ni4'shi2'zhen1
年老力衰	nian2'lao3'li4'shuai1
牛蒡	niu2'bang4
排阵	pai2'zhen4
抛却	pao1'que4
跑光	pao3'guang1
棚户	peng2'hu4
漂亮话	piao4'liang'hua4
品头论足	pin3'tou2'lun4'zu2
苹果绿	ping2'guo3'lv4
漆皮	qi1'pi2
歧异	qi2'yi4
桥身	qiao2'shen1
罄竹难书	qing4'zhu2'nan2'shu1
屈身	qu1'shen1
趋奉	qu1'feng4
全活	quan2'huo2
阙如	que1'ru2
仁儿	ren2'er2
柔润	rou2'run4
