萦回	ying2'hui2
忧惧	you1'ju4
有色眼镜	you3'se4'yan3'jing4
余悸	yu2'ji4
鱼肚	yu2'du3
鱼鹰	yu2'ying1
雨鞋	yu3'xie2
语感	yu3'gan3
御赐	yu4'ci4
裕固族	yu4'gu4'zu2
原盐	yuan2'yan2
圆号	yuan2'hao4
援例	yuan2'li4
杂毛	za2'mao2
灶君	zao4'jun1
择吉	ze2'ji2
罩衫	zhao4'shan1
针织品	zhen1'zhi1'pin3
真凶	zhen1'xiong1
政治避难	zheng4'zhi4'bi4'nan4
直瞪瞪	zhi2'deng4'deng4
侄孙	zhi2'sun1
逐次	zhu2'ci4
逐句	zhu2'ju4
注疏	zhu4'shu1
专宠	zhuan1'chong3
转播台	zhuan3'bo1'tai2
妆奁	zhuang1'lian2
装假	zhuang1'jia3
追悔莫及	zhui1'hui3'mo4'ji2
滋补品	zi1'bu3'pin3
自食其果	zi4'shi2'qi2'guo3
总账	zong3'zhang4
白皑皑	bai2'ai2'ai2
拜别	bai4'bie2
背阴	bei4'yin1
本命年	ben3'ming4'nian2
迸裂	beng4'lie4
碧草	bi4'cao3
便车	bian4'che1
采种	cai3'zhong3
菜篮子工程	cai4'lan2'zi3'gong1'cheng2
层林	ceng2'lin2
充电器	chong1'dian4'qi4
重弹	zhong4'dan4
丑行	chou3'xing2
初婚	chu1'hun1
触雷	chu4'lei2
闯关东	chuang3'guan1'dong1
垂暮	chui2'mu4
唇亡齿寒	chun2'wang2'chi3'han2
凑集	cou4'ji2
打蜡	da3'la4
大海捞针	da4'hai3'lao1'zhen1
挡车	dang3'che1
荡舟	dang4'zhou1
低平	di1'ping2
地牢	di4'lao2
第三人称	di4'san1'ren2'cheng1
碘酒	dian3'jiu3
电门	dian4'men2
电热毯	dian4're4'tan3
雕虫小技	diao1'chong2'xiao3'ji4
雕凿	diao1'zao2
迭次	die2'ci4
鼎足	ding3'zu2
定例	ding4'li4
洞若观火	dong4'ruo4'guan1'huo3
陡壁	dou3'bi4
独夫	du2'fu1
独酌	du2'zhuo2
断肢	duan4'zhi1
发横财	fa1'heng4'cai2
发酒疯	fa1'jiu3'feng1
反诘	fan3'jie2
泛称	fan4'cheng1
贩私	fan4'si1
方音	fang1'yin1
防弹衣	fang2'dan4'yi1
防风林	fang2'feng1'lin2
费尽心思	fei4'jin4'xin1'si
分机	fen1'ji1
纷杂	fen1'za2
坟丘	fen2'qiu1
服老	fu2'lao3
服色	fu2'se4
付梓	fu4'zi3
甘为	gan1'wei2
秆儿	gan3'er
搞法	gao3'fa3
工潮	gong1'chao2
孤胆	gu1'dan3
姑婆	gu1'po2
谷穗	gu3'sui4
鬼把戏	gui3'ba3'xi4
国葬	guo2'zang4
过磅	guo4'bang4
过誉	guo4'yu4
寒微	han2'wei1
寒衣	han2'yi1
号手	hao4'shou3
恒山	heng2'shan1
湖沼	hu2'zhao3
虎头虎脑	hu3'tou2'hu3'nao3
护岸	hu4'an4
画舫	hua4'fang3
黄曲霉	huang2'qu1'mei2
回教徒	hui2'jiao4'tu2
秽语	hui4'yu3
活菩萨	huo2'pu2'sa
机谋	ji1'mou2
基线	ji1'xian4
集束	ji2'shu4
假死	jia3'si3
贱骨头	jian4'gu3'tou
箭竹	jian4'zhu2
江轮	jiang1'lun2
讲和	jiang3'he2
酱色	jiang4'se4
交叉科学	jiao1'cha1'ke1'xue2
矫形	jiao3'xing2
疖子	jie1'zi3
接站	jie1'zhan4
