扯平	che3'ping2
辰光	chen2'guang1
成日	cheng2'ri4
承想;成想	cheng2'xiang3
吃客	chi1'ke4
持论	chi2'lun4
创痕	chuang1'hen2
创演	chuang4'yan3
春风满面	chun1'feng1'man3'mian4
蠢话	chun3'hua4
翠玉	cui4'yu4
打歼灭战	da3'jian1'mie4'zhan4
打屁股	da3'pi4'gu
大舅子	da4'jiu4'zi
大样	da4'yang4
盗卖	dao4'mai4
嫡传	di2'chuan2
抵罪	di3'zui4
地峡	di4'xia2
电子汇款	dian4'zi3'hui4'kuan3
冬宫	dong1'gong1
动问	dong4'wen4
动窝	dong4'wo1
夺占	duo2'zhan4
发饷	fa1'xiang3
繁体	fan2'ti3
反话	fan3'hua4
芳邻	fang1'lin2
房管所	fang2'guan3'suo3
废票	fei4'piao4
粉碎性	fen3'sui4'xing4
风纪扣	feng1'ji4'kou4
疯人	feng1'ren2
蜂箱	feng1'xiang1
蜉蝣	fu2'you2
赶脚	gan3'jiao3
感恩图报	gan3'en1'tu2'bao4
高堂	gao1'tang2
割胶	ge1'jiao1
珙桐	gong3'tong2
挂号处	gua4'hao4'chu3
关门大吉	guan1'men2'da4'ji2
国色天香	guo2'se4'tian1'xiang1
焊缝	han4'feng4
禾场	he2'chang2
黑咕隆咚	hei1'gu'long1'dong1
横匾	heng2'bian3
后晋	hou4'jin4
呼隆	hu1'long2
狐狸尾巴	hu2'li'wei3'ba
胡麻	hu2'ma2
护佑	hu4'you4
荒丘	huang1'qiu1
挥鞭	hui1'bian1
悔过书	hui3'guo4'shu1
获选	huo4'xuan3
讥嘲	ji1'chao2
继业	ji4'ye4
减震	jian3'zhen4
见所未见	jian4'suo3'wei4'jian4
酱缸	jiang4'gang1
交底	jiao1'di3
骄奢淫逸	jiao1'she1'yin2'yi4
接听	jie1'ting1
街角	jie1'jiao3
劫狱	jie2'yu4
结核菌	jie2'he2'jun1
截稿	jie2'gao3
解乏	jie3'fa2
金箍棒	jin1'gu1'bang4
经纶	jing1'lun2
井底之蛙	jing3'di3'zhi1'wa1
旧案	jiu4'an4
抗暴	kang4'bao4
口型	kou3'xing2
叩问	kou4'wen4
酷烈	ku4'lie4
葵花籽	kui2'hua1'zi3
傀儡戏	kui3'lei3'xi4
老皇历	lao3'huang2'li
老套子	lao3'tao4'zi3
连翘	lian2'qiao2
链霉素	lian4'mei2'su4
撂挑子	liao4'tiao1'zi
磷火	lin2'huo3
陵寝	ling2'qin3
令人捧腹	ling4'ren2'peng3'fu4
溜冰场	liu1'bing1'chang3
没词儿	mei2'ci2'er
没大没小	mei2'da4'mei2'xiao3
煤气灯	mei2'qi4'deng1
霉气	mei2'qi4
民变	min2'bian4
南拳	nan2'quan2
闹洞房	nao4'dong4'fang2
嫩白	nen4'bai2
脓包	nong2'bao1
挪步	nuo2'bu4
旁听生	pang2'ting1'sheng1
泡吧	pao4'ba1
皮纸	pi2'zhi3
偏信	pian1'xin4
平绒	ping2'rong2
欺软怕硬	qi1'ruan3'pa4'ying4
蛴螬	qi2'cao2
弃学	qi4'xue2
铅丝	qian1'si1
侨汇	qiao2'hui4
翘尾巴	qiao4'wei3'ba
琴瑟	qin2'se4
沁人肺腑	qin4'ren2'fei4'fu3
倾耳	qing1'er3
请调	qing3'diao4
秋老虎	qiu1'lao3'hu3
囚牢	qiu2'lao2
求欢	qiu2'huan1
驱策	qu1'ce4
全托	quan2'tuo1
缺编	que1'bian1
人前人后	ren2'qian2'ren2'hou4
人造纤维	ren2'zao4'xian1'wei2
色狼	se4'lang2
沙荒	sha1'huang1
沙枣	sha1'zao3
上半夜	shang4'ban4'ye4
少不更事	shao4'bu4'geng1'shi4
设色	she4'se4
神勇	shen2'yong3
审察	shen3'cha2
审改	shen3'gai3
声源	sheng1'yuan2
师传	shi1'chuan2
湿疹	shi1'zhen3
食不果腹	shi2'bu4'guo3'fu4
嗜血	shi4'xue4
收揽	shou1'lan3
手柄	shou3'bing3
手链	shou3'lian4
手痒	shou3'yang3
首级	shou3'ji2
输尿管	shu1'niao4'guan3
衰草	shuai1'cao3
嘶喊	si1'han3
送丧	song4'sang1
送一程	song4'yi1'cheng2
素白	su4'bai2
素日	su4'ri4
遂心	sui4'xin1
损兵折将	sun3'bing1'zhe2'jiang4
瘫子	tan1'zi3
套曲	tao4'qu3
套印	tao4'yin4
天趣	tian1'qu4
铁观音	tie3'guan1'yin1
铁将军	tie3'jiang1'jun1
通性	tong1'xing4
统包	tong3'bao1
统销	tong3'xiao1
投生	tou2'sheng1
图利	tu2'li4
土坝	tu3'ba4
拖儿带女	tuo1'er'dai4'nv3
脱盲	tuo1'mang2
万人坑	wan4'ren2'keng1
温湿	wen1'shi1
文武双全	wen2'wu3'shuang1'quan2
翁婿	weng1'xu4
五月节	wu3'yue4'jie2
物以类聚	wu4'yi3'lei4'ju4
习艺	xi2'yi4
细目	xi4'mu4
罅隙	xia4'xi4
线圈	xian4'quan1
乡规民约	xiang1'gui1'min2'yue1
相对真理	xiang1'dui4'zhen1'li3
湘绣	xiang1'xiu4
小公共	xiao3'gong1'gong4
斜街	xie2'jie1
斜井	xie2'jing3
信女	xin4'nv3
刑事判决	xing2'shi4'pan4'jue2
形神兼备	xing2'shen2'jian1'bei4
续娶	xu4'qu3
续约	xu4'yue1
选录	xuan3'lu4
烟膏	yan1'gao1
岩心	yan2'xin1
燕尾服	yan4'wei3'fu2
阳世	yang2'shi4
咬合	yao3'he2
药棉	yao4'mian2
要略	yao4'lue4
一把好手	yi1'ba3'hao3'shou3
一笔带过	yi1'bi3'dai4'guo4
一表人才	yi1'biao3'ren2'cai2
一语中的	yi1'yu3'zhong4'di4
益寿	yi4'shou4
益友	yi4'you3
阴德	yin1'de2
淫欲	yin2'yu4
硬功	ying4'gong1
硬着陆	ying4'zhuo2'lu4
优价	you1'jia4
幽魂	you1'hun2
油矿	you2'kuang4
油嘴	you2'zui3
友邻	you3'lin2
有染	you3'ran3
宇航服	yu3'hang2'fu2
浴液	yu4'ye4
陨星	yun3'xing1
杂处	za2'chu3
杂牌	za2'pai2
杂书	za2'shu1
枣核	zao3'he2
增光添彩	zeng1'guang1'tian1'cai3
账款	zhang4'kuan3
整训	zheng3'xun4
支派	zhi1'pai4
织锦缎	zhi1'jin3'duan4
纸捻	zhi3'nian3
治山	zhi4'shan1
竹凳	zhu2'deng4
