吱吱喳喳	zhi1'zhi1'cha1'cha1
咫尺天涯	zhi3'chi3'tian1'ya2
趾甲	zhi3'jia3
中立国	zhong1'li4'guo2
众说	zhong4'shuo1
重残	zhong4'can2
竹马	zhu2'ma3
助燃	zhu4'ran2
著作等身	zhu4'zuo4'deng3'shen1
装配线	zhuang1'pei4'xian4
子爵	zi3'jue2
坐天下	zuo4'tian1'xia4
八面威风	ba1'mian4'wei1'feng1
百日咳	bai3'ri4'ke2
斑痕	ban1'hen2
绊子	ban4'zi3
保鲜剂	bao3'xian1'ji4
刨花	bao4'hua1
北极光	bei3'ji2'guang1
背光	bei4'guang1
比兴	bi3'xing1
避忌	bi4'ji4
辩才	bian4'cai2
兵不厌诈	bing1'bu4'yan4'zha4
波斯猫	bo1'si1'mao1
驳杂	bo2'za2
不即不离	bu4'ji2'bu4'li2
布朗族	bu4'lang3'zu2
财迷	cai2'mi2
婵娟	chan2'juan1
敞篷	chang3'peng2
超龄	chao1'ling2
陈诉	chen2'su4
城下之盟	cheng2'xia4'zhi1'meng2
吃馆子	chi1'guan3'zi3
痴望	chi1'wang4
斥退	chi4'tui4
臭美	chou4'mei3
出丧	chu1'sang1
初升	chu1'sheng1
除旧布新	chu2'jiu4'bu4'xin1
垂帘听政	chui2'lian2'ting1'zheng4
唇红齿白	chun2'hong2'chi3'bai2
刺儿头	ci4'er'tou2
催讨	cui1'tao3
存户	cun2'hu4
打工族	da3'gong1'zu2
打内战	da3'nei4'zhan4
大寒	da4'han2
戴罪立功	dai4'zui4'li4'gong1
弹孔	dan4'kong3
刀背	dao1'bei4
稻壳	dao4'ke2
稻苗	dao4'miao2
等次	deng3'ci4
等级制	deng3'ji2'zhi4
地震波	di4'zhen4'bo1
地震带	di4'zhen4'dai4
点验	dian3'yan4
电子眼	dian4'zi3'yan3
垫脚石	dian4'jiao3'shi2
碉楼	diao1'lou2
洞见	dong4'jian4
斗车	dou3'che1
豆面	dou4'mian4
肚脐眼儿	du4'qi2'yan3'er2
短训	duan3'xun4
断乎	duan4'hu1
对酌	dui4'zhuo2
蹲守	dun1'shou3
饿虎	e4'hu3
耳廓	er3'kuo4
二踢脚	er4'ti1'jiao3
房基	fang2'ji1
放毒	fang4'du2
飞絮	fei1'xu4
废置	fei4'zhi4
焚书坑儒	fen2'shu1'keng1'ru2
粉嫩	fen3'nen4
封建主	feng1'jian4'zhu3
伏线	fu2'xian4
拂逆	fu2'ni4
附议	fu4'yi4
富国强兵	fu4'guo2'qiang2'bing1
改名换姓	gai3'ming2'huan4'xing4
各行其道	ge4'xing2'qi2'dao4
更生	geng1'sheng1
工休	gong1'xiu1
工贼	gong1'zei2
够得着	gou4'de2'zhe
呱呱坠地	gu1'gu1'zhui4'di4
顾主	gu4'zhu3
怪相	guai4'xiang1
官官相护	guan1'guan1'xiang1'hu4
管见	guan3'jian4
过话	guo4'hua4
过滤嘴儿	guo4'lv4'zui3'er2
过眼云烟	guo4'yan3'yun2'yan1
过犹不及	guo4'you2'bu4'ji2
孩子头儿	hai2'zi3'tou2'er2
罕闻	han3'wen2
汗珠子	han4'zhu1'zi
豪宅	hao2'zhai2
好样儿的	hao3'yang4'er'de
