身怀六甲	shen1'huai2'liu4'jia3
施与	shi1'yu3
十年寒窗	shi2'nian2'han2'chuang1
时价	shi2'jia4
识文断字	shi2'wen2'duan4'zi4
视若无睹	shi4'ruo4'wu2'du3
授受	shou4'shou4
书脊	shu1'ji3
束身	shu4'shen1
双百方针	shuang1'bai3'fang1'zhen1
说不得	shuo1'bu'de
松心	song1'xin1
宿怨	su4'yuan4
酸麻	suan1'ma2
塌落	ta1'luo4
钛合金	tai4'he2'jin1
贪睡	tan1'shui4
韬光养晦	tao1'guang1'yang3'hui4
套鞋	tao4'xie2
特别快车	te4'bie2'kuai4'che1
踢皮球	ti1'pi2'qiu2
剃光头	ti4'guang1'tou2
天诛地灭	tian1'zhu1'di4'mie4
添枝加叶	tian1'zhi1'jia1'ye4
调匀	tiao2'yun2
贴钱	tie1'qian2
童男	tong2'nan2
偷安	tou1'an1
投诉率	tou2'su4'lv4
推延	tui1'yan2
吞服	tun1'fu2
脱毛	tuo1'mao2
外侨	wai4'qiao2
尾羽	wei3'yu3
未亡人	wei4'wang2'ren2
温控	wen1'kong4
文如其人	wen2'ru2'qi2'ren2
闻人	wen2'ren2
问案	wen4'an4
无霜期	wu2'shuang1'qi1
武旦	wu3'dan4
惜售	xi1'shou4
习用	xi2'yong4
系列剧	xi4'lie4'ju4
细巧	xi4'qiao3
先行官	xian1'xing2'guan1
闲田	xian2'tian2
弦索	xian2'suo3
苋菜	xian4'cai4
线人	xian4'ren2
香饵	xiang1'er3
晓月	xiao3'yue4
鞋油	xie2'you2
欣羡	xin1'xian4
修枝	xiu1'zhi1
羞愤	xiu1'fen4
眩惑	xuan4'huo4
延聘	yan2'pin4
阳虚	yang2'xu1
腰杆子	yao1'gan3'zi
杳然	yao3'ran2
野汉子	ye3'han4'zi3
叶酸	ye4'suan1
一股劲儿	yi1'gu3'jin4'er
医方	yi1'fang1
揖让	yi1'rang4
以观后效	yi3'guan1'hou4'xiao4
以近	yi3'jin4
益鸟	yi4'niao3
意见簿	yi4'jian4'bu4
银锭	yin2'ding4
